[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=7.58933E-157]
[locus_tag=SynWH7803_0057],[protein_id=CAK22483.1],[gene=None],[protein=Tetratricopeptide repeat domain containing protein],[locus_tag=PMM1663],[protein_id=CAE20122.1],[gene=None],[protein=putative photosystem I assembly related protein Ycf37],[evalue=8.13343E-47]
[locus_tag=SynWH7803_0058],[protein_id=CAK22484.1],[gene=rplT],[protein=50S ribosomal protein L20],[locus_tag=PMM1662],[protein_id=CAE20121.1],"[gene=rpl20, rplT]",[protein=50S ribosomal protein L20],[evalue=7.07572E-50]
[locus_tag=SynWH7803_0059],[protein_id=CAK22485.1],[gene=rpmI],[protein=50S ribosomal protein L35],[locus_tag=PMM1661],[protein_id=CAE20120.1],"[gene=rpl35, rpmI]",[protein=50S ribosomal protein L35],[evalue=1.95608E-32]
[locus_tag=SynWH7803_0060],[protein_id=CAK22486.1],[gene=None],[protein=SpoIID sporulation protein homolog],[locus_tag=PMM1660],[protein_id=CAE20119.1],[gene=None],[protein=possible amidase enhancer],[evalue=5.75089E-101],[locus_tag=PMM1348],[protein_id=CAE19807.1],[gene=spoIID],[protein=possible sporulation protein SpoIID],[evalue=4.17449E-24]
[locus_tag=SynWH7803_0061],[protein_id=CAK22487.1],[gene=None],[protein=Glycosyltransferase of family GT2; possible processive Glycosyltransferase],[locus_tag=PMM1659],[protein_id=CAE20118.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=1.59261E-157]
[locus_tag=SynWH7803_0062],[protein_id=CAK22488.1],[gene=dnaX],[protein=DNA polymerase III gamma/tau subunit],[locus_tag=PMM1658],[protein_id=CAE20117.1],[gene=dnaX],"[protein=DNA polymerase, gamma and tau subunits]",[evalue=7.56161E-168],[locus_tag=PMM0129],[protein_id=CAE18588.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]",[evalue=2.98395E-13]
[locus_tag=SynWH7803_0064],[protein_id=CAK22490.1],[gene=clpX],"[protein=ATP-dependent Clp protease ATP-binding subunit, ClpX]",[locus_tag=PMM1657],[protein_id=CAE20116.1],[gene=clpX],"[protein=Clp protease ATP-binding subunit, ClpX]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_0070],[protein_id=CAK22496.1],[gene=clpP],[protein=Protease subunit of ATP-dependent Clp protease],[locus_tag=PMM1656],[protein_id=CAE20115.1],[gene=clpP2],[protein=Clp protease proteolytic subunit],[evalue=1.78196E-118],[locus_tag=PMM0742],[protein_id=CAE19201.1],[gene=clpP1],[protein=Clp protease subunit],[evalue=5.06408E-90],[locus_tag=PMM1314],[protein_id=CAE19773.1],[gene=clpP3],[protein=Clp protease proteolytic subunit],[evalue=1.21440E-78]
[locus_tag=SynWH7803_0071],[protein_id=CAK22497.1],[gene=tig],[protein=Trigger factor],[locus_tag=PMM1655],[protein_id=CAE20114.1],[gene=None],[protein=FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase)],[evalue=1.54815E-159]
[locus_tag=SynWH7803_0072],[protein_id=CAK22498.1],[gene=asd],[protein=Aspartate-semialdehyde dehydrogenase],[locus_tag=PMM1654],[protein_id=CAE20113.1],[gene=asd],[protein=aspartate Semialdehyde dehydrogenase],[evalue=1.66112E-155]
[locus_tag=SynWH7803_0073],[protein_id=CAK22499.1],[gene=dapA],[protein=Dihydrodipicolinate synthase],[locus_tag=PMM1653],[protein_id=CAE20112.1],[gene=dapA],[protein=Dihydrodipicolinate synthetase],[evalue=6.69057E-127]
[locus_tag=SynWH7803_0074],[protein_id=CAK22500.1],[gene=None],[protein=Predicted hydrolase of the metallo-beta-lactamase superfamily],[locus_tag=PMM1652],[protein_id=CAE20111.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0076],[protein_id=CAK22502.1],[gene=mesJ],[protein=tRNA(Ile)-lysidine synthase],[locus_tag=PMM1651],[protein_id=CAE20110.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.19757E-84]
[locus_tag=SynWH7803_0077],[protein_id=CAK22503.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1650],[protein_id=CAE20109.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.85725E-99]
[locus_tag=SynWH7803_0080],[protein_id=CAK22506.1],[gene=uvrB],[protein=Helicase subunit of the DNA excision repair complex],[locus_tag=PMM1649],[protein_id=CAE20108.1],[gene=uvrB],[protein=Excinuclease ABC subunit B (UvrB)],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0081],[protein_id=CAK22507.1],[gene=lysC],[protein=Aspartokinase],[locus_tag=PMM1648],[protein_id=CAE20107.1],[gene=lysC],[protein=Aspartate kinase],[evalue=0.00000E+00],[locus_tag=PMM1648],[protein_id=CAE20107.1],[gene=lysC],[protein=Aspartate kinase],[evalue=7.27190E-17]
[locus_tag=SynWH7803_0082],[protein_id=CAK22508.1],[gene=holA],"[protein=DNA polymerase III, delta subunit]",[locus_tag=PMM1647],[protein_id=CAE20106.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.83696E-82]
[locus_tag=SynWH7803_0083],[protein_id=CAK22509.1],[gene=cobH],[protein=Precorrin-8X methylmutase],[locus_tag=PMM1646],[protein_id=CAE20105.1],[gene=cobH],[protein=putative Precorrin-8X methylmutase CobH],[evalue=2.48517E-60]
[locus_tag=SynWH7803_0084],[protein_id=CAK22510.1],[gene=mutS],[protein=DNA mismatch repair protein MutS],[locus_tag=PMM1645],[protein_id=CAE20104.1],"[gene=mutS,fdv]",[protein=putative DNA mismatch repair protein],[evalue=0.00000E+00],[locus_tag=PMM0217],[protein_id=CAE18676.1],[gene=mutS],[protein=putative DNA mismatch repair protein MutS family],[evalue=9.07339E-14]
[locus_tag=SynWH7803_0088],[protein_id=CAK22514.1],[gene=ribH],[protein=ribH Riboflavin synthase beta-chain],[locus_tag=PMM1643],[protein_id=CAE20102.1],[gene=ribH],"[protein=Putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain]",[evalue=1.29950E-81]
[locus_tag=SynWH7803_0092],[protein_id=CAK22518.1],[gene=galE],[protein=UDP-glucose-4-epimerase],[locus_tag=PMM1209],[protein_id=CAE19668.1],[gene=galE],[protein=UDP-glucose-4-epimerase],[evalue=4.65188E-112],[locus_tag=PMM1219],[protein_id=CAE19678.1],[gene=None],[protein=putative nucleoside-diphosphate sugar epimerase],[evalue=2.44403E-21],[locus_tag=PMM1210],[protein_id=CAE19669.1],[gene=None],[protein=Putative nucleotide sugar epimerase],[evalue=2.56675E-21]
[locus_tag=SynWH7803_0098],[protein_id=CAK22524.1],[gene=None],[protein=Possible acetyltransferase],[locus_tag=PMM1640],[protein_id=CAE20099.1],[gene=None],"[protein=putative acetyltransferase, GNAT family]",[evalue=7.00108E-55],[locus_tag=PMM0562],[protein_id=CAE19021.1],[gene=None],[protein=possible acetyltransferase],[evalue=2.33587E-12]
[locus_tag=SynWH7803_0102],[protein_id=CAK22528.1],"[gene=rmlA, rfbA]",[protein=glucose-1-phosphate thymidylyltransferase],[locus_tag=PMM1216],[protein_id=CAE19675.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[evalue=1.94881E-13]
[locus_tag=SynWH7803_0107],[protein_id=CAK22533.1],[gene=rfbB],"[protein=dTDP-glucose-4,6-dehydratase]",[locus_tag=PMM1210],[protein_id=CAE19669.1],[gene=None],[protein=Putative nucleotide sugar epimerase],[evalue=9.57308E-20],[locus_tag=PMM1257],[protein_id=CAE19716.1],[gene=None],"[protein=possible dTDP-glucose 4,6-dehydratase]",[evalue=1.57846E-18],[locus_tag=PMM1208],[protein_id=CAE19667.1],[gene=gmd],"[protein=GDPmannose 4,6-dehydratase]",[evalue=9.53482E-18]
[locus_tag=SynWH7803_0110],[protein_id=CAK22536.1],[gene=None],[protein=similar to N-terminal part of GDP-fucose synthetase],[locus_tag=PMM1207],[protein_id=CAE19666.1],[gene=None],[protein=Putative fucose synthetase],[evalue=1.01785E-18]
[locus_tag=SynWH7803_0111],[protein_id=CAK22537.1],[gene=None],[protein=Atypical alkaline phosphatase with phytase-like insertion],[locus_tag=PMM0708],[protein_id=CAE19167.1],[gene=None],[protein=putative secreted protein],[evalue=1.38763E-17]
[locus_tag=SynWH7803_0113],[protein_id=CAK22539.1],[gene=wcaG],[protein=GDP-L fucose synthetase],[locus_tag=PMM1207],[protein_id=CAE19666.1],[gene=None],[protein=Putative fucose synthetase],[evalue=1.71515E-120]
[locus_tag=SynWH7803_0114],[protein_id=CAK22540.1],[gene=gmd],"[protein=GDP-mannose 4,6-dehydratase]",[locus_tag=PMM1208],[protein_id=CAE19667.1],[gene=gmd],"[protein=GDPmannose 4,6-dehydratase]",[evalue=0.00000E+00],[locus_tag=PMM1203],[protein_id=CAE19662.1],[gene=rfbG],"[protein=CDP-glucose 4,6-dehydratase]",[evalue=2.78115E-14]
[locus_tag=SynWH7803_0128],[protein_id=CAK22554.1],[gene=None],"[protein=ABC-type multidrug transport system, ATPase and permease components]",[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=5.69840E-65],[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.53134E-62],[locus_tag=PMM0827],[protein_id=CAE19286.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]",[evalue=3.10208E-62]
[locus_tag=SynWH7803_0141],[protein_id=CAK22567.1],[gene=secA],[protein=Preprotein translocase SecA subunit],[locus_tag=PMM1639],[protein_id=CAE20098.1],[gene=secA],[protein=Preprotein translocase SecA subunit],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0142],[protein_id=CAK22568.1],[gene=cysE],[protein=Serine acetyltransferase],[locus_tag=PMM1638],[protein_id=CAE20097.1],[gene=cysE],[protein=Serine acetyltransferase],[evalue=2.46795E-126]
[locus_tag=SynWH7803_0143],[protein_id=CAK22569.1],[gene=None],[protein=cyanobacteria-specific GntR-like HTH domain containing transcriptional regulator],[locus_tag=PMM1637],[protein_id=CAE20096.1],[gene=None],[protein=possible transcriptional regulator],[evalue=1.42009E-171]
[locus_tag=SynWH7803_0145],[protein_id=CAK22571.1],[gene=infC],[protein=Translation initiation factor IF-3],[locus_tag=PMM1636],[protein_id=CAE20095.1],[gene=infC],[protein=Translation Initiation factor 3],[evalue=2.65306E-112]
[locus_tag=SynWH7803_0146],[protein_id=CAK22572.1],[gene=miaA],[protein=tRNA delta(2)-isopentenylpyrophosphatetransferase],[locus_tag=PMM1635],[protein_id=CAE20094.1],"[gene=miaA,trpX]",[protein=tRNA delta-2-isopentenylpyrophosphate (IPP) transferase],[evalue=5.74093E-105]
[locus_tag=SynWH7803_0147],[protein_id=CAK22573.1],[gene=gyrB],[protein=DNA gyrase subunit B],[locus_tag=PMM1634],[protein_id=CAE20093.1],[gene=gyrB],"[protein=DNA gyrase, subunit B]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_0148],[protein_id=CAK22574.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM1633],[protein_id=CAE20092.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.83932E-17]
[locus_tag=SynWH7803_0151],[protein_id=CAK22577.1],[gene=None],[protein=Glutathione peroxidase],[locus_tag=PMM1006],[protein_id=CAE19465.1],[gene=None],[protein=Glutathione peroxidase],[evalue=1.32800E-71]
[locus_tag=SynWH7803_0152],[protein_id=CAK22578.1],[gene=mgtE],[protein=Mg/Co/Ni transporter MgtE],[locus_tag=PMM1630],[protein_id=CAE20089.1],[gene=None],"[protein=MgtE family, putative magnesium transport protein]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_0153],[protein_id=CAK22579.1],[gene=rpoD],"[protein=Alternative RNA polymerase sigma factor, sigma-70 family]",[locus_tag=PMM1629],[protein_id=CAE20088.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=5.21244E-180],[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=5.01719E-84],[locus_tag=PMM1697],[protein_id=CAE20156.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=3.19330E-78]
[locus_tag=SynWH7803_0155],[protein_id=CAK22581.1],[gene=None],[protein=Alpha/beta hydrolase superfamily],[locus_tag=PMM1628],[protein_id=CAE20087.1],[gene=None],[protein=possible alpha/beta hydrolase superfamily],[evalue=1.07076E-110],[locus_tag=PMM1599],[protein_id=CAE20058.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.93205E-46],[locus_tag=PMM1153],[protein_id=CAE19612.1],[gene=None],[protein=predicted alpha/beta hydrolase superfamily protein],[evalue=6.83442E-32]
[locus_tag=SynWH7803_0159],[protein_id=CAK22585.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1429],[protein_id=CAE19888.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.81717E-20],[locus_tag=PMM0647],[protein_id=CAE19106.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.21874E-19]
[locus_tag=SynWH7803_0165],[protein_id=CAK22591.1],[gene=csck],[protein=Fructokinase],[locus_tag=PMM1627],[protein_id=CAE20086.1],[gene=None],[protein=Putative carbohydrate kinase],[evalue=8.39844E-88]
[locus_tag=SynWH7803_0167],[protein_id=CAK22593.1],[gene=rbsK],"[protein=Sugar kinase, ribokinase family]",[locus_tag=PMM0505],[protein_id=CAE18964.1],[gene=None],[protein=Possible carbohydrate kinase],[evalue=1.14632E-15]
[locus_tag=SynWH7803_0168],[protein_id=CAK22594.1],[gene=None],[protein=Uncharacterised P-loop hydrolase],[locus_tag=PMM1626],[protein_id=CAE20085.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.65882E-37]
[locus_tag=SynWH7803_0169],[protein_id=CAK22595.1],[gene=ahcY],[protein=Adenosylhomocysteinase],[locus_tag=PMM1625],[protein_id=CAE20084.1],"[gene=ahcY, sahH]",[protein=putative adenosylhomocysteinase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0170],[protein_id=CAK22596.1],[gene=None],"[protein=Uncharacterised conserved membrane protein, DedA family]",[locus_tag=PMM1624],[protein_id=CAE20083.1],[gene=None],[protein=DedA family; putative alkaline phosphatase-like protein],[evalue=4.08421E-71]
[locus_tag=SynWH7803_0171],[protein_id=CAK22597.1],[gene=ssb],[protein=Single-stranded DNA-binding protein],[locus_tag=PMM1623],[protein_id=CAE20082.1],[gene=ssb],[protein=single-stranded DNA-binding protein],[evalue=8.08771E-59]
