[locus_tag=SynWH8103_00001],[protein_id=CRY90759.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.93831E-159]
[locus_tag=SynWH8103_00101],[protein_id=CRY90856.1],[gene=None],[protein=crcB-like family protein],[locus_tag=PMM1632],[protein_id=CAE20091.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.88781E-06]
[locus_tag=SynWH8103_00103],[protein_id=CRY90857.1],[gene=None],[protein=crcB-like family protein],[locus_tag=PMM1632],[protein_id=CAE20091.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.36167E-06]
[locus_tag=SynWH8103_00102],[protein_id=CRY90858.1],[gene=None],[protein=Glutathione peroxidase],[locus_tag=PMM1006],[protein_id=CAE19465.1],[gene=None],[protein=Glutathione peroxidase],[evalue=3.79254E-71]
[locus_tag=SynWH8103_00106],[protein_id=CRY90861.1],[gene=mgtE],"[protein=MgtE family, putative magnesium transport protein]",[locus_tag=PMM1630],[protein_id=CAE20089.1],[gene=None],"[protein=MgtE family, putative magnesium transport protein]",[evalue=0.00000E+00]
[locus_tag=SynWH8103_00107],[protein_id=CRY90862.1],[gene=rpoD8],"[protein=RNA polymerase sigma factor, type II]",[locus_tag=PMM1629],[protein_id=CAE20088.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=0.00000E+00],[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=6.67147E-84],[locus_tag=PMM0496],[protein_id=CAE18955.1],"[gene=sigA, rpoD]",[protein=Putative principal RNA polymerase sigma factor],[evalue=4.38537E-81]
[locus_tag=SynWH8103_00113],[protein_id=CRY90868.1],[gene=None],[protein=Transglutaminase-like protein],[locus_tag=PMM1040],[protein_id=CAE19499.1],[gene=None],[protein=Transglutaminase-like superfamily],[evalue=1.46563E-06]
[locus_tag=SynWH8103_00124],[protein_id=CRY90876.1],[gene=None],[protein=pfkB carbohydrate kinase family protein],[locus_tag=PMM1627],[protein_id=CAE20086.1],[gene=None],[protein=Putative carbohydrate kinase],[evalue=1.84264E-81]
[locus_tag=SynWH8103_00123],[protein_id=CRY90877.1],[gene=None],[protein=tRNA threonylcarbamoyl adenosine modification protein YjeE],[locus_tag=PMM1626],[protein_id=CAE20085.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.23937E-44]
[locus_tag=SynWH8103_00125],[protein_id=CRY90878.1],[gene=ahcY],[protein=Adenosylhomocysteinase],[locus_tag=PMM1625],[protein_id=CAE20084.1],"[gene=ahcY, sahH]",[protein=putative adenosylhomocysteinase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00126],[protein_id=CRY90879.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1624],[protein_id=CAE20083.1],[gene=None],[protein=DedA family; putative alkaline phosphatase-like protein],[evalue=5.29598E-70]
[locus_tag=SynWH8103_00127],[protein_id=CRY90880.1],[gene=ssb],[protein=single-stranded DNA-binding protein],[locus_tag=PMM1623],[protein_id=CAE20082.1],[gene=ssb],[protein=single-stranded DNA-binding protein],[evalue=6.19315E-58]
[locus_tag=SynWH8103_00128],[protein_id=CRY90881.1],[gene=mreB],[protein=MreB protein],[locus_tag=PMM1622],[protein_id=CAE20081.1],[gene=mreB],[protein=Rod shape determining protein],[evalue=0.00000E+00],[locus_tag=PMM1704],[protein_id=CAE20163.1],[gene=dnaK2],"[protein=Molecular chaperone DnaK2, heat shock protein hsp70-2]",[evalue=8.41035E-10],[locus_tag=PMM0897],[protein_id=CAE19356.1],[gene=dnaK],"[protein=Molecular chaperone DnaK, heat shock protein hsp70]",[evalue=4.69413E-09]
[locus_tag=SynWH8103_00129],[protein_id=CRY90882.1],[gene=mreC],[protein=MreC protein],[locus_tag=PMM1621],[protein_id=CAE20080.1],[gene=mreC],[protein=putative rod shape-determining protein],[evalue=3.06672E-74]
[locus_tag=SynWH8103_00130],[protein_id=CRY90883.1],[gene=None],[protein=putative membrane protein],[locus_tag=PMM1620],[protein_id=CAE20079.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.58746E-24]
[locus_tag=SynWH8103_00132],[protein_id=CRY90885.1],[gene=srrA],"[protein=NblS-interacting two-component response regulator, OmpR family]",[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[evalue=9.86334E-134],[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[evalue=2.40342E-82],[locus_tag=PMM0128],[protein_id=CAE18587.1],[gene=rpaA],[protein=two-component response regulator],[evalue=8.85204E-49]
[locus_tag=SynWH8103_00133],[protein_id=CRY90886.1],[gene=lysS],[protein=lysine--tRNA ligase],[locus_tag=PMM1618],[protein_id=CAE20077.1],[gene=lysS],[protein=Lysyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=PMM1688],[protein_id=CAE20147.1],[gene=aspS],[protein=Aspartyl-tRNA synthetase],[evalue=7.62054E-17],[locus_tag=PMM1688],[protein_id=CAE20147.1],[gene=aspS],[protein=Aspartyl-tRNA synthetase],[evalue=1.48112E-07]
[locus_tag=SynWH8103_00134],[protein_id=CRY90887.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1617],[protein_id=CAE20076.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.03737E-46]
