Locus tag,Protein ID,Gene,Protein name
PMM0383,CAE18842.1,None,probable periplasmic protein
PMM0384,CAE18843.1,spnII-interrupted-C,"possible uncharacterized restriction enzyme, interrupted-C"
PMM1841,CAP16345.1,None,Type III restriction system endonuclease
PMM0386,CAE18845.1,None,possible uncharacterized DNA methylase
PMM1842,CAP16346.1,None,Hypothetical protein
PMM1843,CAP16347.1,None,Hypothetical protein
PMM0404,CAE18863.1,None,hypothetical
PMM1844,CAP16348.1,None,Conserved hypothetical protein
PMM1845,CAP16349.1,None,Conserved hypothetical protein
PMM0417,CAE18876.1,None,hypothetical
PMM1847,CAP16351.1,None,Conserved hypothetical protein
PMM1848,CAP16352.1,None,Hypothetical protein
PMM1849,CAP16353.1,None,Conserved hypothetical protein
PMM0432,CAE18891.1,None,conserved hypothetical protein
PMM0437,CAE18896.1,None,hypothetical
PMM0451,CAE18910.1,None,possible Arenavirus glycoprotein
PMM0465,CAE18924.1,None,hypothetical
PMM0485,CAE18944.1,None,conserved hypothetical protein
PMM0510,CAE18969.1,None,possible Reverse transcriptase (RNA-dependent
PMM0517,CAE18976.1,None,hypothetical protein
PMM0540,CAE18999.1,psaM,possible photosystem I reaction centre subunit XII (PsaM)
PMM0575,CAE19034.1,None,conserved hypothetical
PMM0624,CAE19083.1,None,possible Hantavirus glycoprotein G2
PMM0625,CAE19084.1,None,hypothetical
PMM0626,CAE19085.1,None,hypothetical
PMM1852,CAP16356.1,None,Conserved hypothetical protein
PMM0628,CAE19087.1,None,"possible sodium:solute symporter, ESS family"
PMM0631,CAE19090.1,None,possible NADH-Ubiquinone/plastoquinone (comple
PMM0636,CAE19095.1,None,Isochorismatase hydrolase family
PMM0650,CAE19109.1,None,possible LEM domain
PMM0652,CAE19111.1,None,"possible 5'-3' exonuclease, C-terminal SAM fol"
PMM1853,CAP16357.1,None,Hypothetical protein
PMM0655,CAE19114.1,None,hypothetical
PMM0656,CAE19115.1,None,possible 7TM chemoreceptor
PMM1854,CAP16358.1,None,Conserved hypothetical protein
PMM2043,None,None,Hypothetical protein
PMM1855,CAP16359.1,None,Conserved hypothetical protein
PMM0657,CAE19116.1,None,possible Vanadium/alternative nitrogenase delt
PMM0659,CAE19118.1,None,NAD-dependent DNA ligase N-terminus
PMM1856,CAP16360.1,None,Hypothetical protein
PMM1857,CAP16361.1,None,Conserved hypothetical protein
PMM1858,None,None,None
PMM1859,CAP16363.1,None,Conserved hypothetical protein
PMM0660,CAE19119.1,None,"possible RNA recognition motif. (a.k.a. RRM, R"
PMM0684,CAE19143.1,None,"possible Zinc finger, C2H2 type"
PMM1860,CAP16364.1,None,Conserved hypothetical protein
PMM0685,CAE19144.1,None,hypothetical protein
PMM1861,CAP16365.1,None,Hypothetical protein
PMM2046,CAX37116.1,None,Hypothetical protein
PMM1862,CAP16366.1,None,Hypothetical protein
PMM1863,CAP16367.1,None,Conserved hypothetical protein
PMM1864,CAP16368.1,None,Conserved hypothetical protein
PMM1865,CAP16369.1,None,Conserved hypothetical protein
PMM0688,CAE19147.1,None,possible Elongation factor Tu domain 2
PMM1866,CAP16370.1,None,Hypothetical protein
PMM1867,CAP16371.1,None,Hypothetical protein
PMM2051,CAX37117.1,None,Hypothetical protein
PMM1868,CAP16372.1,None,Hypothetical protein
PMM0689,CAE19148.1,hli22,possible high light inducible protein
PMM0690,CAE19149.1,hli21,possible high light inducible protein
PMM1869,CAP16373.1,None,Conserved hypothetical protein
PMM1870,CAP16374.1,None,Conserved hypothetical protein
PMM0692,CAE19151.1,None,possible DDT domain
PMM1871,CAP16375.1,None,Conserved hypothetical protein
PMM1872,CAP16376.1,None,Conserved hypothetical protein
PMM0693,CAE19152.1,None,possible Hepatitis C virus envelope glycoprote
PMM2052,CAX37118.1,None,Hypothetical protein
PMM0696,CAE19155.1,None,hypothetical
PMM0697,CAE19156.1,None,possible D12 class N6 adenine-specific DNA met
PMM1873,CAP16377.1,None,protein family PM-16
PMM0698,CAE19157.1,None,possible DnaJ central domain (4 repeats)
PMM1874,CAP16378.1,None,Conserved hypothetical protein
PMM0700,CAE19159.1,None,conserved hypothetical protein
PMM1875,CAP16379.1,None,Conserved hypothetical protein
PMM0701,CAE19160.1,None,possible LysM domain
PMM0702,CAE19161.1,None,possible DUP family
PMM1876,CAP16380.1,None,Conserved hypothetical protein
PMM1877,CAP16381.1,None,Conserved hypothetical protein
PMM0707,CAE19166.1,None,possible Lipoprotein
PMM0708,CAE19167.1,None,putative secreted protein
PMM1878,CAP16382.1,None,Hypothetical protein
PMM0715,CAE19174.1,None,possible chorismate binding enzyme
PMM0717,CAE19176.1,None,conserved hypothetical protein
PMM1879,None,None,None
PMM1880,CAP16384.1,None,Hypothetical protein
PMM0720,CAE19179.1,None,possible Poly A polymerase regulatory subunit
PMM0721,CAE19180.1,None,possible Myosin N-terminal SH3-like domain
PMM1881,CAP16385.1,None,Conserved hypothetical protein
PMM0726,CAE19185.1,None,hypothetical
PMM0731,CAE19190.1,None,possible COMC family
PMM0732,CAE19191.1,None,possible Major surface glycoprotein
PMM0734,CAE19193.1,None,"possible Helix-turn-helix protein, copG family"
PMM1882,CAP16386.1,None,Hypothetical protein
PMM1884,CAP16388.1,None,Conserved hypothetical protein
PMM1885,CAP16389.1,None,Conserved hypothetical protein
PMM1886,CAP16390.1,None,Conserved hypothetical protein
PMM0736,CAE19195.1,None,possible Alpha-2-macroglobulin family N-termin
PMM1887,CAP16391.1,None,protein family PM-1
PMM0737,CAE19196.1,None,hypothetical membrane protein
PMM1888,CAP16392.1,None,Conserved hypothetical protein
PMM1889,CAP16393.1,None,Hypothetical protein
PMM0755,CAE19214.1,None,possible Adenylate cyclase
PMM1890,CAP16394.1,None,Conserved hypothetical protein
PMM2054,CAX37119.1,None,Hypothetical protein
PMM0805,CAE19264.1,None,hypothetical
PMM2055,CAX37120.1,None,Hypothetical protein
PMM0809,CAE19268.1,None,possible S1 RNA binding domain
PMM1891,CAP16395.1,None,Conserved hypothetical protein
PMM0810,CAE19269.1,None,hypothetical
PMM1892,CAP16396.1,None,Conserved hypothetical protein
PMM1893,CAP16397.1,None,Conserved hypothetical protein
PMM0811,CAE19270.1,None,possible (AF143461) BdrC3 [Borrelia hermsii
PMM0812,CAE19271.1,None,hypothetical
PMM0813,CAE19272.1,None,hypothetical
PMM0814,CAE19273.1,None,possible Cytochrome oxidase c subunit VIb
PMM1894,CAP16398.1,None,Conserved hypothetical protein
PMM1895,CAP16399.1,None,Hypothetical protein
PMM0815,CAE19274.1,hli19,possible high light inducible protein
PMM0816,CAE19275.1,hli18,possible high light inducible protein
PMM0818,CAE19277.1,hli16,possible high light inducible protein
PMM1897,CAP16401.1,None,Conserved hypothetical protein
PMM1898,CAP16402.1,None,Conserved hypothetical protein
PMM0819,CAE19278.1,None,hypothetical
PMM0820,CAE19279.1,None,possible EPSP synthase (3-phosphoshikimate 1-c
PMM0835,CAE19294.1,None,conserved hypothetical protein
PMM0838,CAE19297.1,None,possible Nucleoside diphosphate kinase
PMM1899,CAP16403.1,None,Conserved hypothetical protein
PMM0846,CAE19305.1,None,"possible Uncharacterized secreted proteins, Ya"
PMM1900,CAP16404.1,None,Conserved hypothetical protein
PMM0852,CAE19311.1,None,conserved hypothetical protein
PMM0855,CAE19314.1,None,conserved hypothetical
PMM1901,CAP16405.1,None,Conserved hypothetical protein
PMM1902,CAP16406.1,None,Conserved hypothetical protein
PMM0857,CAE19316.1,None,possible Influenza RNA-dependent RNA polymeras
PMM1903,CAP16407.1,None,Conserved hypothetical protein
PMM1904,CAP16408.1,None,Conserved hypothetical protein
PMM1905,CAP16409.1,None,Conserved hypothetical protein
PMM1906,CAP16410.1,None,Conserved hypothetical protein
PMM1907,CAP16411.1,None,Conserved hypothetical protein
PMM0858,CAE19317.1,None,hypothetical
PMM1908,CAP16412.1,None,Conserved hypothetical protein
PMM1909,CAP16413.1,None,Conserved hypothetical protein
PMM0859,CAE19318.1,None,hypothetical
PMM1910,CAP16414.1,None,Conserved hypothetical protein
PMM1911,CAP16415.1,None,Hypothetical protein
PMM1912,CAP16416.1,None,Hypothetical protein
PMM1913,CAP16417.1,None,Hypothetical protein
PMM0860,CAE19319.1,None,possible Hantavirus glycoprotein G1
PMM0861,CAE19320.1,None,possible Virion host shutoff protein
PMM1914,CAP16418.1,None,Hypothetical protein
PMM0864,CAE19323.1,None,possible Fusion glycoprotein F0.
PMM0866,CAE19325.1,None,possible SMC domain N terminal domain
PMM1915,CAP16419.1,None,Conserved hypothetical protein
PMM1916,None,None,None
PMM0934,CAE19393.1,None,conserved hypothetical protein
PMM0938,CAE19397.1,None,possible Serine hydroxymethyltransferase
PMM0941,CAE19400.1,None,possible cAMP phosphodiesterases class-II
PMM0957,CAE19416.1,None,possible GRAM domain
PMM1917,CAP16422.1,None,Conserved hypothetical protein
PMM1918,CAP16423.1,None,Conserved hypothetical protein
PMM1920,CAP16425.1,None,Conserved hypothetical protein
PMM1921,CAP16426.1,None,Conserved hypothetical protein
PMM1922,CAP16427.1,None,Conserved hypothetical protein
PMM0979,CAE19438.1,None,hypothetical
PMM0980,CAE19439.1,None,hypothetical
PMM1923,CAP16428.1,None,Conserved hypothetical protein
PMM0983,CAE19442.1,None,possible ATP synthase protein 8
PMM1924,CAP16429.1,None,Conserved hypothetical protein
PMM1925,CAP16430.1,None,Conserved hypothetical protein
PMM0984,CAE19443.1,None,possible Josephin
PMM1926,CAP16431.1,None,Conserved hypothetical protein
PMM0988,CAE19447.1,None,Helix-hairpin-helix DNA-binding motif class 1
PMM0989,CAE19448.1,None,ATP/GTP-binding site motif A (P-loop)
PMM0991,CAE19450.1,None,possible Paired amphipathic helix repeat
PMM1927,CAP16432.1,None,Hypothetical protein
PMM0993,CAE19452.1,None,conserved hypothetical protein
PMM0995,CAE19454.1,None,hypothetical
PMM1928,CAP16433.1,None,Conserved hypothetical protein
PMM0996,CAE19455.1,None,conserved hypothetical protein
PMM1929,CAP16434.1,None,Conserved hypothetical protein
PMM1930,CAP16435.1,None,Conserved hypothetical protein
PMM0997,CAE19456.1,None,possible Protein of unknown function DUF67
PMM1931,CAP16436.1,None,Conserved hypothetical protein
PMM0999,CAE19458.1,None,hypothetical
PMM1932,CAP16437.1,None,Conserved hypothetical protein
PMM1933,CAP16438.1,None,Hypothetical protein
PMM1003,CAE19462.1,None,possible Photosystem II reaction centre N prot
PMM1934,CAP16439.1,None,Conserved hypothetical protein
PMM1005,CAE19464.1,None,possible Legume lectins alpha domain
PMM1007,CAE19466.1,None,None
PMM1008,CAE19467.1,None,hypothetical
PMM1935,CAP16440.1,None,Conserved hypothetical protein
PMM1011,CAE19470.1,None,hypothetical
PMM1936,CAP16441.1,None,Conserved hypothetical protein
PMM1937,CAP16442.1,None,Conserved hypothetical protein
PMM1014,CAE19473.1,None,conserved hypothetical protein
PMM1938,CAP16443.1,None,Conserved hypothetical protein
PMM1016,CAE19475.1,None,possible Virion host shutoff protein
PMM1017,CAE19476.1,None,conserved hypothetical
PMM1018,CAE19477.1,None,hypothetical
PMM1939,CAP16444.1,None,Conserved hypothetical protein
PMM1940,CAP16445.1,None,Conserved hypothetical protein
PMM1019,CAE19478.1,None,possible Integrin alpha cytoplasmic region
PMM1941,CAP16446.1,None,Conserved hypothetical protein
PMM1021,CAE19480.1,None,possible Gram-negative pili assembly chaperone
PMM1022,CAE19481.1,None,conserved hypothetical
PMM1942,None,None,None
PMM1943,CAP16448.1,None,Conserved hypothetical protein
PMM1944,CAP16449.1,None,Conserved hypothetical protein
PMM1023,CAE19482.1,None,"possible lactate/malate dehydrogenase, alpha/b"
PMM1024,CAE19483.1,None,hypothetical
PMM1025,CAE19484.1,None,putative stress-induced protein OsmC
PMM1945,CAP16450.1,None,Conserved hypothetical protein
PMM1946,CAP16451.1,None,Conserved hypothetical protein
PMM1947,None,None,None
PMM1027,CAE19486.1,None,possible Inward rectifier potassium channel
PMM1948,CAP16453.1,None,Conserved hypothetical protein
PMM1949,CAP16454.1,None,Conserved hypothetical protein
PMM1950,CAP16455.1,None,Conserved hypothetical protein
PMM1032,CAE19491.1,None,"ABC transporter, substrate binding protein, possibly Mn."
PMM1034,CAE19493.1,None,G-protein beta WD-40 repeats
PMM1951,CAP16456.1,None,Conserved hypothetical protein
PMM2057,CAX37121.1,None,Hypothetical protein
PMM1952,CAP16457.1,None,Conserved hypothetical protein
PMM1035,CAE19494.1,None,"possible DNA gyrase/topoisomerase IV, subunit"
PMM1036,CAE19495.1,None,hypothetical
PMM1043,CAE19502.1,None,possible Borrelia lipoprotein
PMM1953,CAP16458.1,None,Conserved hypothetical protein
PMM1050,CAE19509.1,None,conserved hypothetical protein
PMM1058,CAE19517.1,petG,"Cytochrome b6/f complex, subunit V"
PMM1067,CAE19526.1,None,possible Adenoviral fiber protein (repeat/shaf
PMM1082,CAE19541.1,None,possible Helix-turn-helix
PMM1100,CAE19559.1,None,hypothetical
PMM1104,CAE19563.1,None,conserved hypothetical protein
PMM1117,CAE19576.1,psbY,possible Photosystem II reaction center Y protein (PsbY)
PMM1118,CAE19577.1,hli4,possible high light inducible protein
PMM1120,CAE19579.1,None,Sulfotransferase:TPR repeat
PMM1954,CAP16459.1,None,Conserved hypothetical protein
PMM1955,CAP16460.1,None,Conserved hypothetical protein
PMM1124,CAE19583.1,None,possible Natural resistance-associated macroph
PMM1125,CAE19584.1,None,"possible Bacterial regulatory proteins, deoR f"
PMM1126,CAE19585.1,None,Domain of unknown function DUF33
PMM2059,CAX37122.1,None,Hypothetical protein
PMM1127,CAE19586.1,None,possible NAD(P) transhydrogenase beta subunit
PMM1128,CAE19587.1,hli15,possible high light inducible protein
PMM1956,CAP16461.1,None,Hypothetical protein
PMM1129,CAE19588.1,None,possible Notch (DSL) domain
PMM1130,CAE19589.1,None,hypothetical
PMM1957,CAP16462.1,None,Conserved hypothetical protein
PMM1958,CAP16463.1,None,Conserved hypothetical protein
PMM1959,CAP16464.1,None,Conserved hypothetical protein
PMM2061,CAX37123.1,None,Hypothetical protein
PMM1133,CAE19592.1,None,conserved hypothetical protein
PMM1960,CAP16465.1,None,Conserved hypothetical protein
PMM1961,CAP16466.1,None,Conserved hypothetical protein
PMM1134,CAE19593.1,None,possible Phosphatidylinositol-specific phospho
PMM1962,CAP16467.1,None,Conserved hypothetical protein
PMM1136,CAE19595.1,None,possible Uncharacterized protein family UPF005
PMM1963,CAP16468.1,None,Hypothetical protein
PMM1137,CAE19596.1,None,possible Cytochrome b(C-terminal)/b6/petD
PMM1964,CAP16469.1,None,Conserved hypothetical protein
PMM1965,CAP16470.1,None,Conserved hypothetical protein
PMM1162,CAE19621.1,None,conserved hypothetical protein
PMM1967,CAP16472.1,None,Hypothetical protein
PMM1163,CAE19622.1,None,possible Trehalase
PMM1968,CAP16473.1,None,Conserved hypothetical protein
PMM1969,CAP16474.1,None,Conserved hypothetical protein
PMM1970,CAP16475.1,None,Hypothetical protein
PMM1971,CAP16476.1,None,Conserved hypothetical protein
PMM1169,CAE19628.1,None,hypothetical
PMM1173,CAE19632.1,None,conserved hypothetical protein
PMM1176,CAE19635.1,None,"possible Helix-turn-helix protein, copG family"
PMM1183,CAE19642.1,"rpl34, rpmH",50S ribosomal protein L34
PMM1194,CAE19653.1,None,conserved hypothetical protein
PMM1198,CAE19657.1,None,hypothetical protein
PMM1200,CAE19659.1,None,"Glycosyl transferase, family 2"
PMM1206,CAE19665.1,None,hypothetical protein
PMM1207,CAE19666.1,None,Putative fucose synthetase
PMM1211,CAE19670.1,None,possible polysaccharide export or synthesis protein
PMM1212,CAE19671.1,None,conserved hypothetical protein
PMM1213,CAE19672.1,None,Glycosyl transferases group 1
PMM1214,CAE19673.1,None,possible phosphatase
PMM1215,CAE19674.1,None,conserved hypothetical protein
PMM1217,CAE19676.1,None,putative phosphoheptose isomerase
PMM1218,CAE19677.1,rfaE,putative ADP-heptose synthase
PMM1220,CAE19679.1,None,putative glycosyl transferase
PMM1221,CAE19680.1,None,"Glycosyl transferase, group 1"
PMM1222,CAE19681.1,None,possible glycosyl transferase
PMM1223,CAE19682.1,None,"putative glycosyl transferase, group 1"
PMM1224,CAE19683.1,gumB,putative polysaccharide export protein
PMM1225,CAE19684.1,None,conserved hypothetical protein
PMM1226,CAE19685.1,None,conserved hypothetical protein
PMM1228,CAE19687.1,None,hypothetical protein
PMM1231,CAE19690.1,None,conserved hypothetical
PMM1232,CAE19691.1,None,methyltransferase
PMM1233,CAE19692.1,rfbD,putative dTDP-4-dehydrorhamnose reductase
PMM1234,CAE19693.1,None,Zinc-containing alcohol dehydrogenase superfamily
PMM1237,CAE19696.1,None,conserved hypothetical protein
PMM1238,CAE19697.1,None,conserved hypothetical protein
PMM1240,CAE19699.1,None,methyltransferase
PMM1241,CAE19700.1,None,hypothetical protein
PMM1242,CAE19701.1,None,hypothetical protein
PMM1243,CAE19702.1,None,possible methyltransferase
PMM1244,CAE19703.1,None,hypothetical protein
PMM1245,CAE19704.1,None,conserved hypothetical protein
PMM1246,CAE19705.1,None,Carbamoyltransferase
PMM1247,CAE19706.1,None,hypothetical protein
PMM1248,CAE19707.1,None,hypothetical protein
PMM1249,CAE19708.1,None,conserved hypothetical protein
PMM1972,CAP16477.1,None,Conserved hypothetical protein
PMM1250,CAE19709.1,None,conserved hypothetical protein
PMM1251,CAE19710.1,None,Carbamoyltransferase
PMM1252,CAE19711.1,None,possible acetyltransferase
PMM1253,CAE19712.1,None,possible methyltransferase
PMM1254,CAE19713.1,None,"putative glycosyl transferase, family 2"
PMM1255,CAE19714.1,None,hypothetical protein
PMM1256,CAE19715.1,None,"putative glycosyl transferase, family 2"
PMM1276,CAE19735.1,None,conserved hypothetical protein
PMM1277,CAE19736.1,None,conserved hypothetical protein
PMM1973,CAP16478.1,None,Conserved hypothetical protein
PMM1317,CAE19776.1,hli13,possible high light inducible protein
PMM1974,CAP16479.1,None,Conserved hypothetical protein
PMM1318,CAE19777.1,None,conserved hypothetical
PMM1319,CAE19778.1,None,possible Beta-lactamase
PMM1320,CAE19779.1,None,hypothetical
PMM1357,CAE19816.1,None,"Steroid 5-alpha reductase, C-terminal domain"
PMM1975,CAP16480.1,None,Conserved hypothetical protein
PMM1362,CAE19821.1,None,hypothetical
PMM1976,CAP16481.1,None,Hypothetical protein
PMM2063,CAX37124.1,None,Hypothetical protein
PMM1363,CAE19822.1,None,hypothetical
PMM1365,CAE19824.1,None,possible MATH domain
PMM1977,CAP16482.1,None,Conserved hypothetical protein
PMM1978,CAP16483.1,None,Conserved hypothetical protein
PMM1979,CAP16484.1,None,Conserved hypothetical protein
PMM2064,CAX37125.1,None,Hypothetical protein
PMM1980,CAP16485.1,None,Conserved hypothetical protein
PMM1372,CAE19831.1,None,conserved hypothetical protein
PMM1981,CAP16486.1,None,Conserved hypothetical protein
PMM1982,CAP16487.1,None,Conserved hypothetical protein
PMM1983,CAP16488.1,None,Conserved hypothetical protein
PMM1984,CAP16489.1,None,Hypothetical protein
PMM1985,CAP16490.1,None,Conserved hypothetical protein
PMM1373,CAE19832.1,None,conserved hypothetical protein
PMM1986,CAP16491.1,None,Conserved hypothetical protein
PMM1374,CAE19833.1,None,possible Type I restriction modification DNA s
PMM1375,CAE19834.1,None,possible M protein repeat
PMM1987,CAP16492.1,None,Conserved hypothetical protein
PMM1377,CAE19836.1,None,similar to dihydroflavonol-4-reductase
PMM1988,CAP16493.1,None,Conserved hypothetical protein
PMM1989,CAP16494.1,None,Conserved hypothetical protein
PMM1990,CAP16495.1,None,Conserved hypothetical protein
PMM1992,CAP16497.1,None,Conserved hypothetical protein
PMM2065,None,None,Hypothetical protein
PMM1993,CAP16498.1,None,Hypothetical protein
PMM1994,CAP16499.1,None,Conserved hypothetical protein
PMM2067,CAX37127.1,None,Hypothetical protein
PMM1995,CAP16500.1,None,Conserved hypothetical protein
PMM1384,CAE19843.1,hli12,possible high light inducible protein
PMM1385,CAE19844.1,hli11,possible high light inducible protein
PMM1996,CAP16501.1,None,Hypothetical protein
PMM1997,CAP16502.1,None,Conserved hypothetical protein
PMM2069,CAX37128.1,None,Hypothetical protein
PMM1998,CAP16503.1,None,Conserved hypothetical protein
PMM1999,CAP16504.1,None,Conserved hypothetical protein
PMM2000,CAP16505.1,None,Conserved hypothetical protein
PMM2072,CAX37129.1,None,Hypothetical protein
PMM2001,CAP16506.1,None,Conserved hypothetical protein
PMM2002,None,None,None
PMM1387,CAE19846.1,None,hypothetical
PMM2003,CAP16508.1,None,Conserved hypothetical protein
PMM1390,CAE19849.1,hli10,possible high light inducible protein
PMM1391,CAE19850.1,None,"possible Helix-turn-helix protein, copG family"
PMM1392,CAE19851.1,None,possible Heat-labile enterotoxin alpha chain
PMM1393,CAE19852.1,None,possible Carbon storage regulator
PMM1394,CAE19853.1,None,hypothetical
PMM1395,CAE19854.1,None,hypothetical
PMM1396,CAE19855.1,hli9,possible high light inducible protein
PMM1397,CAE19856.1,hli8,possible high light inducible protein
PMM1399,CAE19858.1,hli6,possible high light inducible protein
PMM2005,CAP16510.1,None,Conserved hypothetical protein
PMM1401,CAE19860.1,None,conserved hypothetical
PMM2006,CAP16511.1,None,Hypothetical protein
PMM1402,CAE19861.1,None,None
PMM2007,CAP16512.1,None,Hypothetical protein
PMM2008,CAP16513.1,None,Hypothetical protein
PMM1404,CAE19863.1,hli5,possible high light inducible protein
PMM1405,CAE19864.1,None,hypothetical
PMM1406,CAE19865.1,None,hypothetical
PMM1407,CAE19866.1,None,possible SRP19 protein
PMM1408,CAE19867.1,None,hypothetical
PMM1410,CAE19869.1,None,"possible PTS system, Lactose/Cellobiose specif"
PMM2074,CAX37130.1,None,Hypothetical protein
PMM2010,CAP16515.1,None,Hypothetical protein
PMM2011,CAP16516.1,None,Hypothetical protein
PMM1411,CAE19870.1,None,hypothetical
PMM2012,CAP16517.1,None,Hypothetical protein
PMM1412,CAE19871.1,None,conserved hypothetical protein
PMM1413,CAE19872.1,None,conserved hypothetical
PMM1414,CAE19873.1,None,None
PMM1415,CAE19874.1,None,possible UBX domain
PMM2075,CAX37131.1,None,Hypothetical protein
PMM1416,CAE19875.1,None,conserved hypothetical
PMM2013,CAP16518.1,None,Hypothetical protein
PMM1418,CAE19877.1,None,possible Voltage gated chloride channel
PMM1419,CAE19878.1,None,possible ATP synthase B/B' CF(0)
PMM2014,CAP16519.1,None,Hypothetical protein
PMM1423,CAE19882.1,None,conserved hypothetical protein
PMM1424,CAE19883.1,None,possible Uncharacterized protein family UPF003
PMM2077,CAX37132.1,None,Hypothetical protein
