[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=5.02794E-142]
[locus_tag=PMM0012],[protein_id=CAE18471.1],[gene=argH],[protein=Fumarate lyase:Delta crystallin],[locus_tag=Syncc8109_0014],[protein_id=AHF62440.1],[gene=argH],[protein=argininosuccinate lyase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2289],[protein_id=AHF64615.1],[gene=purB],[protein=adenylosuccinate lyase],[evalue=9.65347E-14]
[locus_tag=PMM0013],[protein_id=CAE18472.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[locus_tag=Syncc8109_0015],[protein_id=AHF62441.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=3.50642E-45],[locus_tag=Syncc8109_1142],[protein_id=AHF63513.1],[gene=None],[protein=RNA-binding protein],[evalue=1.03017E-32],[locus_tag=Syncc8109_0982],[protein_id=AHF63356.1],[gene=rbpD],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=4.36788E-31]
[locus_tag=PMM0014],[protein_id=CAE18473.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0016],[protein_id=AHF62442.1],[gene=None],[protein=uncharacterized protein family UPF0034],[evalue=6.09864E-136],[locus_tag=Syncc8109_2124],[protein_id=AHF64461.1],[gene=None],[protein=Dihydrouridine synthase TIM-barrel protein nifR3],[evalue=7.05000E-16]
[locus_tag=PMM0015],[protein_id=CAE18474.1],[gene=None],[protein=Domain of unknown function DUF25],[locus_tag=Syncc8109_0017],[protein_id=AHF62443.1],[gene=None],[protein=Methionine sulfoxide reductase B],[evalue=1.50701E-76],[locus_tag=Syncc8109_2343],[protein_id=AHF64664.1],[gene=None],[protein=Methionine sulfoxide reductase B],[evalue=5.78644E-43]
[locus_tag=PMM0016],[protein_id=CAE18475.1],[gene=grpE],[protein=Heat shock protein GrpE],[locus_tag=Syncc8109_0022],[protein_id=AHF62448.1],[gene=grpE],[protein=putative heat shock protein GrpE],[evalue=2.59219E-86]
[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[locus_tag=Syncc8109_0023],[protein_id=AHF62449.1],[gene=dnaJ],[protein=Heat shock protein DnaJ],[evalue=3.87482E-180],[locus_tag=Syncc8109_0558],[protein_id=AHF62945.1],[gene=dnaJ3],[protein=Heat shock protein DnaJ-like protein],[evalue=1.66723E-23],[locus_tag=Syncc8109_0558],[protein_id=AHF62945.1],[gene=dnaJ3],[protein=Heat shock protein DnaJ-like protein],[evalue=1.11657E-22]
[locus_tag=PMM0018],[protein_id=CAE18477.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0024],[protein_id=AHF62450.1],[gene=None],[protein=hypothetical protein],[evalue=2.34337E-17]
[locus_tag=PMM0019],[protein_id=CAE18478.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0025],[protein_id=AHF62451.1],[gene=None],[protein=GTPase EngC],[evalue=3.71405E-64]
[locus_tag=PMM0020],[protein_id=CAE18479.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0026],[protein_id=AHF62452.1],[gene=None],[protein=hypothetical protein],[evalue=9.96241E-50]
[locus_tag=PMM0021],[protein_id=CAE18480.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[locus_tag=Syncc8109_0027],[protein_id=AHF62453.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[evalue=6.72546E-94]
[locus_tag=PMM0022],[protein_id=CAE18481.1],[gene=murC],[protein=Probable UDP-N-acetylmuramate-alanine ligase],[locus_tag=Syncc8109_0028],[protein_id=AHF62454.1],[gene=murC],[protein=UDP-N-acetylmuramate--alanine ligase],[evalue=8.47741E-125]
[locus_tag=PMM0023],[protein_id=CAE18482.1],[gene=gap2],[protein=Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)],[locus_tag=Syncc8109_0030],[protein_id=AHF62456.1],[gene=gap2],"[protein=glyceraldehyde-3-phosphate dehydrogenase, type I]",[evalue=0.00000E+00],[locus_tag=Syncc8109_0834],[protein_id=AHF63212.1],[gene=gap3],"[protein=glyceraldehyde-3-phosphate dehydrogenase, type I]",[evalue=3.01781E-95]
[locus_tag=PMM0024],[protein_id=CAE18483.1],[gene=thiL],[protein=putative thiamine-monophosphate kinase],[locus_tag=Syncc8109_0031],[protein_id=AHF62457.1],[gene=thiL],[protein=thiamine-monophosphate kinase],[evalue=5.00374E-90]
[locus_tag=PMM0025],[protein_id=CAE18484.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[locus_tag=Syncc8109_0032],[protein_id=AHF62458.1],[gene=None],[protein=putative cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=1.89616E-141],[locus_tag=Syncc8109_2093],[protein_id=AHF64431.1],[gene=None],"[protein=putative peptidyl-prolyl cis-trans isomerase, cyclophilin type]",[evalue=5.03764E-16]
[locus_tag=PMM0026],[protein_id=CAE18485.1],[gene=efp],[protein=Elongation factor P (EF-P)],[locus_tag=Syncc8109_0033],[protein_id=AHF62459.1],[gene=efp],[protein=translation elongation factor P],[evalue=7.65269E-113]
[locus_tag=PMM0027],[protein_id=CAE18486.1],"[gene=accB,fabE]",[protein=Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit],[locus_tag=Syncc8109_0034],[protein_id=AHF62460.1],[gene=accB],"[protein=acetyl-CoA carboxylase, biotin carboxyl carrier protein]",[evalue=2.37576E-58]
[locus_tag=PMM0028],[protein_id=CAE18487.1],[gene=pdxA],[protein=putative pyridoxal phosphate biosynthetic protein PdxA],[locus_tag=Syncc8109_0035],[protein_id=AHF62461.1],[gene=pdxA],[protein=4-hydroxythreonine-4-phosphate dehydrogenase],[evalue=5.96995E-114]
[locus_tag=PMM0029],[protein_id=CAE18488.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0037],[protein_id=AHF62463.1],[gene=None],[protein=hypothetical protein],[evalue=2.05292E-98]
[locus_tag=PMM0031],[protein_id=CAE18490.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[locus_tag=Syncc8109_0039],[protein_id=AHF62465.1],[gene=mcrA],[protein=HNH nuclease],[evalue=3.94711E-28]
[locus_tag=PMM0032],[protein_id=CAE18491.1],[gene=None],[protein=possible Bacterial type II secretion system pr],[locus_tag=Syncc8109_0043],[protein_id=AHF62469.1],[gene=None],[protein=hypothetical protein],[evalue=1.69744E-21]
[locus_tag=PMM0033],[protein_id=CAE18492.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0044],[protein_id=AHF62470.1],[gene=None],[protein=hypothetical protein],[evalue=2.68152E-66]
[locus_tag=PMM0034],[protein_id=CAE18493.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0047],[protein_id=AHF62473.1],[gene=None],[protein=hypothetical protein],[evalue=1.76251E-19]
[locus_tag=PMM0035],[protein_id=CAE18494.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[locus_tag=Syncc8109_0050],[protein_id=AHF62475.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[evalue=0.00000E+00],[locus_tag=Syncc8109_1473],[protein_id=AHF63835.1],[gene=spt],[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[evalue=1.52296E-56]
[locus_tag=PMM0036],[protein_id=CAE18495.1],[gene=None],[protein=CbiD protein],[locus_tag=Syncc8109_0051],[protein_id=AHF62476.1],[gene=cbiD],[protein=cobalamin biosynthesis protein CbiD],[evalue=4.96701E-91]
[locus_tag=PMM0037],[protein_id=CAE18496.1],[gene=guaA],[protein=Glutamine amidotransferase class-I:GMP synthase],[locus_tag=Syncc8109_0052],[protein_id=AHF62477.1],[gene=guaA],[protein=GMP synthase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1532],[protein_id=AHF63893.1],[gene=carA],"[protein=carbamoyl-phosphate synthase, small subunit]",[evalue=1.43990E-11]
[locus_tag=PMM0039],[protein_id=CAE18498.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0053],[protein_id=AHF62478.1],[gene=None],[protein=hypothetical protein],[evalue=3.01003E-83]
[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein],[locus_tag=Syncc8109_0055],[protein_id=AHF62480.1],[gene=None],[protein=Peptidoglycan glycosyltransferase],[evalue=0.00000E+00],[locus_tag=Syncc8109_0774],[protein_id=AHF63154.1],[gene=ftsI],[protein=Peptidoglycan glycosyltransferase],[evalue=1.65481E-18],[locus_tag=Syncc8109_1905],[protein_id=AHF64250.1],[gene=None],[protein=Penicillin-binding protein 1A],[evalue=9.95987E-13]
[locus_tag=PMM0041],[protein_id=CAE18500.1],[gene=None],[protein=possible reductase],[locus_tag=Syncc8109_2611],[protein_id=AHF64918.1],[gene=None],[protein=putative reductase],[evalue=3.38224E-67]
[locus_tag=PMM0042],[protein_id=CAE18501.1],[gene=None],[protein=flavoprotein],[locus_tag=Syncc8109_2608],[protein_id=AHF64915.1],[gene=fpaA],[protein=putative flavoprotein],[evalue=0.00000E+00],[locus_tag=Syncc8109_2607],[protein_id=AHF64914.1],[gene=fpaA],[protein=flavoprotein],[evalue=2.09828E-96]
[locus_tag=PMM0043],[protein_id=CAE18502.1],[gene=None],[protein=flavoprotein],[locus_tag=Syncc8109_2607],[protein_id=AHF64914.1],[gene=fpaA],[protein=flavoprotein],[evalue=0.00000E+00],[locus_tag=Syncc8109_2608],[protein_id=AHF64915.1],[gene=fpaA],[protein=putative flavoprotein],[evalue=3.03661E-93]
[locus_tag=PMM0044],[protein_id=CAE18503.1],[gene=alaS],[protein=Alanyl-tRNA synthetase],[locus_tag=Syncc8109_2599],[protein_id=AHF64906.1],[gene=alaS],[protein=alanyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0045],[protein_id=CAE18504.1],[gene=None],[protein=Orn/DAP/Arg decarboxylases family 2],[locus_tag=Syncc8109_2598],[protein_id=AHF64905.1],[gene=None],[protein=arginine decarboxylase],[evalue=0.00000E+00]
[locus_tag=PMM0046],[protein_id=CAE18505.1],[gene=None],[protein=Nucleoside diphosphate kinase],[locus_tag=Syncc8109_2597],[protein_id=AHF64904.1],[gene=None],[protein=Nucleoside-diphosphate kinase],[evalue=1.33230E-84]
[locus_tag=PMM0047],[protein_id=CAE18506.1],[gene=thiO],[protein=PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE],[locus_tag=Syncc8109_2596],[protein_id=AHF64903.1],[gene=thiO],[protein=putative thiamine biosynthesis oxidoreductase],[evalue=2.07024E-138]
[locus_tag=PMM0048],[protein_id=CAE18507.1],[gene=gatB],[protein=Glutamyl-tRNA (Gln) amidotransferase subunit B],[locus_tag=Syncc8109_2595],[protein_id=AHF64902.1],[gene=gatB],"[protein=glutamyl-tRNA(Gln) amidotransferase, B subunit]",[evalue=0.00000E+00]
[locus_tag=PMM0049],[protein_id=CAE18508.1],[gene=coaE],[protein=putative dephospho-CoA kinase],[locus_tag=Syncc8109_2593],[protein_id=AHF64900.1],[gene=coaE],[protein=Dephospho-CoA kinase],[evalue=1.20916E-46]
[locus_tag=PMM0050],[protein_id=CAE18509.1],[gene=argJ],[protein=ArgJ family],[locus_tag=Syncc8109_2592],[protein_id=AHF64899.1],[gene=argJ],[protein=arginine biosynthesis bifunctional protein ArgJ],[evalue=2.09700E-142]
[locus_tag=PMM0051],[protein_id=CAE18510.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1586],[protein_id=AHF63943.1],[gene=None],[protein=hypothetical protein],[evalue=1.65027E-89],[locus_tag=Syncc8109_2448],[protein_id=AHF64757.1],[gene=None],[protein=ATPases involved in chromosome partitioning-like protein],[evalue=1.70881E-84]
[locus_tag=PMM0052],[protein_id=CAE18511.1],[gene=None],[protein=Aldo/keto reductase family],[locus_tag=Syncc8109_0427],[protein_id=AHF62827.1],[gene=None],[protein=hypothetical protein],[evalue=4.63488E-105]
[locus_tag=PMM0053],[protein_id=CAE18512.1],[gene=None],[protein=Putative RNA methylase family UPF0020],[locus_tag=Syncc8109_2336],[protein_id=AHF64657.1],[gene=None],[protein=putative RNA methylase family UPF0020],[evalue=2.21173E-123]
[locus_tag=PMM0054],[protein_id=CAE18513.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2337],[protein_id=AHF64658.1],[gene=None],[protein=hypothetical protein],[evalue=1.63876E-34]
[locus_tag=PMM0055],[protein_id=CAE18514.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2338],[protein_id=AHF64659.1],[gene=None],[protein=hypothetical protein],[evalue=4.26508E-45]
[locus_tag=PMM0056],[protein_id=CAE18515.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2339],[protein_id=AHF64660.1],[gene=None],[protein=hypothetical protein],[evalue=5.99831E-18]
[locus_tag=PMM0057],[protein_id=CAE18516.1],[gene=None],"[protein=putative chromosome segregation protein, SMC ATPase superfamily]",[locus_tag=Syncc8109_2341],[protein_id=AHF64662.1],[gene=None],[protein=chromosome segregation protein SMC],[evalue=0.00000E+00]
[locus_tag=PMM0058],[protein_id=CAE18517.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2342],[protein_id=AHF64663.1],[gene=None],[protein=hypothetical protein],[evalue=2.07189E-142]
[locus_tag=PMM0059],[protein_id=CAE18518.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2344],[protein_id=AHF64665.1],[gene=None],[protein=hypothetical protein],[evalue=3.01485E-152]
[locus_tag=PMM0060],[protein_id=CAE18519.1],"[gene=accC, fabG]","[protein=acetyl-CoA carboxylase, biotin carboxylase subunit]",[locus_tag=Syncc8109_2347],[protein_id=AHF64666.1],[gene=accC],"[protein=acetyl-CoA carboxylase, biotin carboxylase]",[evalue=0.00000E+00]
[locus_tag=PMM0061],[protein_id=CAE18520.1],[gene=None],"[protein=YGGT family, conserved hypothetical integral membrane protein]",[locus_tag=Syncc8109_2348],[protein_id=AHF64667.1],[gene=None],[protein=hypothetical protein],[evalue=3.13530E-29]
[locus_tag=PMM0063],[protein_id=CAE18522.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2350],[protein_id=AHF64669.1],[gene=None],[protein=hypothetical protein],[evalue=8.40940E-82]
[locus_tag=PMM0064],[protein_id=CAE18523.1],[gene=hli2],[protein=possible high light inducible protein],[locus_tag=Syncc8109_2353],[protein_id=AHF64672.1],[gene=hli2],[protein=putative high light inducible protein],[evalue=1.66398E-18]
[locus_tag=PMM0065],[protein_id=CAE18524.1],[gene=None],"[protein=ABC transporter, ATP binding protein]",[locus_tag=Syncc8109_2354],[protein_id=AHF64673.1],[gene=None],[protein=ATPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1717],[protein_id=AHF64073.1],[gene=None],[protein=ATPase],[evalue=5.28068E-18],[locus_tag=Syncc8109_0092],[protein_id=AHF62514.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.74571E-15]
[locus_tag=PMM0067],[protein_id=CAE18526.1],[gene=None],[protein=HIT (Histidine triad) family protein],[locus_tag=Syncc8109_2355],[protein_id=AHF64674.1],[gene=None],[protein=HIT (histidine triad) family protein],[evalue=7.58749E-50]
[locus_tag=PMM0068],[protein_id=CAE18527.1],[gene=def],[protein=putative formylmethionine deformylase],[locus_tag=Syncc8109_2360],[protein_id=AHF64679.1],[gene=def],[protein=Formylmethionine deformylase],[evalue=1.20107E-94]
[locus_tag=PMM0069],[protein_id=CAE18528.1],[gene=None],[protein=Esterase/lipase/thioesterase family active site],[locus_tag=Syncc8109_2361],[protein_id=AHF64680.1],[gene=None],[protein=putative peptidase],[evalue=9.54051E-116]
[locus_tag=PMM0070],[protein_id=CAE18529.1],[gene=None],[protein=putative cysteine desulfurase or selenocysteine lyase],[locus_tag=Syncc8109_2363],[protein_id=AHF64682.1],[gene=None],"[protein=cysteine desulfurase, SufS subfamily]",[evalue=0.00000E+00],[locus_tag=Syncc8109_1288],[protein_id=AHF63655.1],[gene=nifS],[protein=putative cysteine desulfurase (class-V aminotransferase family)],[evalue=7.41913E-20],[locus_tag=Syncc8109_2540],[protein_id=AHF64847.1],[gene=nifS],[protein=NifS-like aminotransferase class-V],[evalue=2.65742E-19]
[locus_tag=PMM0071],[protein_id=CAE18530.1],[gene=None],"[protein=ABC transporter, membrane component]",[locus_tag=Syncc8109_2364],[protein_id=AHF64683.1],[gene=None],"[protein=ABC transporter, membrane component]",[evalue=6.86512E-75]
[locus_tag=PMM0072],[protein_id=CAE18531.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[locus_tag=Syncc8109_2365],[protein_id=AHF64684.1],[gene=sufC],[protein=FeS assembly ATPase SufC],[evalue=1.73085E-129],[locus_tag=Syncc8109_2565],[protein_id=AHF64872.1],[gene=None],[protein=ATPase],[evalue=1.09307E-13],[locus_tag=Syncc8109_2565],[protein_id=AHF64872.1],[gene=None],[protein=ATPase],[evalue=3.85628E-11]
[locus_tag=PMM0073],[protein_id=CAE18532.1],[gene=None],"[protein=ABC transporter, membrane component]",[locus_tag=Syncc8109_2366],[protein_id=AHF64685.1],[gene=sufB],[protein=FeS assembly protein SufB],[evalue=0.00000E+00],[locus_tag=Syncc8109_2364],[protein_id=AHF64683.1],[gene=None],"[protein=ABC transporter, membrane component]",[evalue=8.16716E-14]
[locus_tag=PMM0075],[protein_id=CAE18534.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2373],[protein_id=AHF64692.1],[gene=None],[protein=hypothetical protein],[evalue=8.41545E-141]
[locus_tag=PMM1803],[protein_id=CAP16305.1],[gene=None],[protein=membrane protein],[locus_tag=Syncc8109_2374],[protein_id=AHF64693.1],[gene=None],[protein=hypothetical protein],[evalue=2.49247E-19]
[locus_tag=PMM0076],[protein_id=CAE18535.1],[gene=pgm],[protein=Phosphoglucomutase],[locus_tag=Syncc8109_2381],[protein_id=AHF64698.1],[gene=pgm],[protein=phosphoglucomutase],[evalue=0.00000E+00]
[locus_tag=PMM0077],[protein_id=CAE18536.1],[gene=yrvN],"[protein=putative ATPase, AAA family]",[locus_tag=Syncc8109_2385],[protein_id=AHF64702.1],[gene=yrvN],[protein=ATPase],[evalue=7.89359E-163]
[locus_tag=PMM0079],[protein_id=CAE18538.1],[gene=bcp],[protein=putative bacterioferritin comigratory (BCP) protein],[locus_tag=Syncc8109_2389],[protein_id=AHF64706.1],[gene=bcp],[protein=putative bacterioferritin comigratory (BCP) protein],[evalue=2.97948E-75],[locus_tag=Syncc8109_1547],[protein_id=AHF63907.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[evalue=5.94719E-26],[locus_tag=Syncc8109_1257],[protein_id=AHF63625.1],[gene=None],[protein=Twin-arginine translocation pathway signal],[evalue=8.77169E-22]
[locus_tag=PMM0080],[protein_id=CAE18539.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2390],[protein_id=AHF64707.1],[gene=None],[protein=putative transcriptional regulator],[evalue=2.77331E-34]
[locus_tag=PMM0081],[protein_id=CAE18540.1],[gene=cysH],[protein=Phosphoadenosine phosphosulfate reductase],[locus_tag=Syncc8109_2391],[protein_id=AHF64708.1],[gene=cysH],[protein=phosphoadenosine phosphosulfate reductase],[evalue=1.14642E-98]
[locus_tag=PMM0082],[protein_id=CAE18541.1],[gene=None],"[protein=putative NADH dehydrogenase, transport associated]",[locus_tag=Syncc8109_2392],[protein_id=AHF64709.1],[gene=None],"[protein=putative NADH dehydrogenase, transport associated]",[evalue=2.38628E-97]
[locus_tag=PMM0083],[protein_id=CAE18542.1],[gene=None],"[protein=putative sodium/sulfate transporter, DASS family]",[locus_tag=Syncc8109_2394],[protein_id=AHF64711.1],[gene=None],"[protein=putative sodium/sulfate transporter, DASS family]",[evalue=0.00000E+00]
[locus_tag=PMM0084],[protein_id=CAE18543.1],[gene=None],"[protein=possible sodium transporter, Trk family]",[locus_tag=Syncc8109_2395],[protein_id=AHF64712.1],[gene=trkH],"[protein=putative sodium transporter, trk family]",[evalue=1.48820E-175]
[locus_tag=PMM0085],[protein_id=CAE18544.1],[gene=None],"[protein=putative potassium channel, VIC family]",[locus_tag=Syncc8109_2396],[protein_id=AHF64713.1],[gene=trkA],"[protein=putative potassium channel, VIC family]",[evalue=1.25178E-129]
[locus_tag=PMM0086],[protein_id=CAE18545.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=Syncc8109_2398],[protein_id=AHF64715.1],[gene=None],[protein=hypothetical protein],[evalue=1.45020E-31]
[locus_tag=PMM0087],[protein_id=CAE18546.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2399],[protein_id=AHF64716.1],[gene=None],[protein=hypothetical protein],[evalue=8.08884E-30]
[locus_tag=PMM0088],[protein_id=CAE18547.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2400],[protein_id=AHF64717.1],[gene=None],[protein=hypothetical protein],[evalue=3.45499E-22]
[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[locus_tag=Syncc8109_2402],[protein_id=AHF64719.1],[gene=None],[protein=ATPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2402],[protein_id=AHF64719.1],[gene=None],[protein=ATPase],[evalue=2.21174E-22],[locus_tag=Syncc8109_2402],[protein_id=AHF64719.1],[gene=None],[protein=ATPase],[evalue=9.93839E-19]
[locus_tag=PMM1805],[protein_id=CAP16307.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=Syncc8109_2403],[protein_id=AHF64720.1],[gene=None],[protein=hypothetical protein],[evalue=1.75525E-11]
[locus_tag=PMM0090],[protein_id=CAE18549.1],[gene=None],[protein=possible serine protease],[locus_tag=Syncc8109_2404],[protein_id=AHF64721.1],[gene=None],[protein=PDZ/DHR/GLGF protein],[evalue=1.67739E-118],[locus_tag=Syncc8109_2162],[protein_id=AHF64497.1],[gene=degP],[protein=PDZ/DHR/GLGF protein],[evalue=2.00675E-94],[locus_tag=Syncc8109_1713],[protein_id=AHF64069.1],[gene=None],[protein=PDZ/DHR/GLGF protein],[evalue=9.60204E-70]
[locus_tag=PMM0091],[protein_id=CAE18550.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2405],[protein_id=AHF64722.1],[gene=None],[protein=hypothetical protein],[evalue=2.08675E-22]
[locus_tag=PMM0092],[protein_id=CAE18551.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2406],[protein_id=AHF64723.1],[gene=None],[protein=hypothetical protein],[evalue=1.12590E-64]
[locus_tag=PMM0093],[protein_id=CAE18552.1],[gene=hli1],[protein=possible high light inducible protein],[locus_tag=Syncc8109_2409],[protein_id=AHF64726.1],[gene=hli6],[protein=putative high light inducible protein],[evalue=4.75810E-21]
[locus_tag=PMM0095],[protein_id=CAE18554.1],[gene=None],[protein=similar to serum resistance locus BrkB],[locus_tag=Syncc8109_2415],[protein_id=AHF64732.1],[gene=None],[protein=serum resistance locus BrkB-like protein],[evalue=6.19387E-94]
[locus_tag=PMM0096],[protein_id=CAE18555.1],[gene=None],[protein=inositol monophosphate family protein],[locus_tag=Syncc8109_2424],[protein_id=AHF64735.1],[gene=None],[protein=inositol monophosphate family protein],[evalue=3.53548E-109],[locus_tag=Syncc8109_1262],[protein_id=AHF63630.1],[gene=None],[protein=Inositol-1(or 4)-monophosphatase],[evalue=8.14635E-20]
[locus_tag=PMM0097],[protein_id=CAE18556.1],[gene=None],[protein=possible RND family outer membrane efflux protein],[locus_tag=Syncc8109_2425],[protein_id=AHF64736.1],[gene=None],[protein=putative RND family outer membrane efflux protein],[evalue=2.33753E-58]
[locus_tag=PMM0098],[protein_id=CAE18557.1],[gene=None],[protein=possible Fe-S oxidoreductase],[locus_tag=Syncc8109_2426],[protein_id=AHF64737.1],[gene=None],[protein=putative Fe-S oxidoreductase],[evalue=0.00000E+00]
[locus_tag=PMM0099],[protein_id=CAE18558.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2428],[protein_id=AHF64739.1],[gene=None],[protein=hypothetical protein],[evalue=1.27942E-58]
