[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]"
[locus_tag=PMM0027],[protein_id=CAE18486.1],"[gene=accB,fabE]",[protein=Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit]
[locus_tag=PMM0028],[protein_id=CAE18487.1],[gene=pdxA],[protein=putative pyridoxal phosphate biosynthetic protein PdxA]
[locus_tag=PMM0029],[protein_id=CAE18488.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0031],[protein_id=CAE18490.1],[gene=None],[protein=HNH endonuclease:HNH nuclease]
[locus_tag=PMM0032],[protein_id=CAE18491.1],[gene=None],[protein=possible Bacterial type II secretion system pr]
[locus_tag=PMM0033],[protein_id=CAE18492.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0034],[protein_id=CAE18493.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0035],[protein_id=CAE18494.1],[gene=DHSS],[protein=soluble hydrogenase small subunit]
[locus_tag=PMM0036],[protein_id=CAE18495.1],[gene=None],[protein=CbiD protein]
[locus_tag=PMM0037],[protein_id=CAE18496.1],[gene=guaA],[protein=Glutamine amidotransferase class-I:GMP synthase]
[locus_tag=PMM0039],[protein_id=CAE18498.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein]
[locus_tag=PMM0041],[protein_id=CAE18500.1],[gene=None],[protein=possible reductase]
[locus_tag=PMM0042],[protein_id=CAE18501.1],[gene=None],[protein=flavoprotein]
[locus_tag=PMM0043],[protein_id=CAE18502.1],[gene=None],[protein=flavoprotein]
[locus_tag=PMM0044],[protein_id=CAE18503.1],[gene=alaS],[protein=Alanyl-tRNA synthetase]
[locus_tag=PMM0045],[protein_id=CAE18504.1],[gene=None],[protein=Orn/DAP/Arg decarboxylases family 2]
[locus_tag=PMM0046],[protein_id=CAE18505.1],[gene=None],[protein=Nucleoside diphosphate kinase]
[locus_tag=PMM0047],[protein_id=CAE18506.1],[gene=thiO],[protein=PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE]
[locus_tag=PMM0048],[protein_id=CAE18507.1],[gene=gatB],[protein=Glutamyl-tRNA (Gln) amidotransferase subunit B]
[locus_tag=PMM0049],[protein_id=CAE18508.1],[gene=coaE],[protein=putative dephospho-CoA kinase]
[locus_tag=PMM0050],[protein_id=CAE18509.1],[gene=argJ],[protein=ArgJ family]
[locus_tag=PMM0052],[protein_id=CAE18511.1],[gene=None],[protein=Aldo/keto reductase family]
[locus_tag=PMM0053],[protein_id=CAE18512.1],[gene=None],[protein=Putative RNA methylase family UPF0020]
[locus_tag=PMM0054],[protein_id=CAE18513.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0055],[protein_id=CAE18514.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0056],[protein_id=CAE18515.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0057],[protein_id=CAE18516.1],[gene=None],"[protein=putative chromosome segregation protein, SMC ATPase superfamily]"
[locus_tag=PMM0058],[protein_id=CAE18517.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0059],[protein_id=CAE18518.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0060],[protein_id=CAE18519.1],"[gene=accC, fabG]","[protein=acetyl-CoA carboxylase, biotin carboxylase subunit]"
[locus_tag=PMM0061],[protein_id=CAE18520.1],[gene=None],"[protein=YGGT family, conserved hypothetical integral membrane protein]"
[locus_tag=PMM0063],[protein_id=CAE18522.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0064],[protein_id=CAE18523.1],[gene=hli2],[protein=possible high light inducible protein]
[locus_tag=PMM0065],[protein_id=CAE18524.1],[gene=None],"[protein=ABC transporter, ATP binding protein]"
[locus_tag=PMM0067],[protein_id=CAE18526.1],[gene=None],[protein=HIT (Histidine triad) family protein]
[locus_tag=PMM0068],[protein_id=CAE18527.1],[gene=def],[protein=putative formylmethionine deformylase]
[locus_tag=PMM0069],[protein_id=CAE18528.1],[gene=None],[protein=Esterase/lipase/thioesterase family active site]
[locus_tag=PMM0070],[protein_id=CAE18529.1],[gene=None],[protein=putative cysteine desulfurase or selenocysteine lyase]
[locus_tag=PMM0071],[protein_id=CAE18530.1],[gene=None],"[protein=ABC transporter, membrane component]"
[locus_tag=PMM0072],[protein_id=CAE18531.1],[gene=None],"[protein=ABC transporter, ATP binding component]"
[locus_tag=PMM0073],[protein_id=CAE18532.1],[gene=None],"[protein=ABC transporter, membrane component]"
[locus_tag=PMM0075],[protein_id=CAE18534.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1803],[protein_id=CAP16305.1],[gene=None],[protein=membrane protein]
[locus_tag=PMM0076],[protein_id=CAE18535.1],[gene=pgm],[protein=Phosphoglucomutase]
[locus_tag=PMM0077],[protein_id=CAE18536.1],[gene=yrvN],"[protein=putative ATPase, AAA family]"
[locus_tag=PMM0079],[protein_id=CAE18538.1],[gene=bcp],[protein=putative bacterioferritin comigratory (BCP) protein]
[locus_tag=PMM0080],[protein_id=CAE18539.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0081],[protein_id=CAE18540.1],[gene=cysH],[protein=Phosphoadenosine phosphosulfate reductase]
[locus_tag=PMM0082],[protein_id=CAE18541.1],[gene=None],"[protein=putative NADH dehydrogenase, transport associated]"
[locus_tag=PMM0083],[protein_id=CAE18542.1],[gene=None],"[protein=putative sodium/sulfate transporter, DASS family]"
[locus_tag=PMM0084],[protein_id=CAE18543.1],[gene=None],"[protein=possible sodium transporter, Trk family]"
[locus_tag=PMM0085],[protein_id=CAE18544.1],[gene=None],"[protein=putative potassium channel, VIC family]"
[locus_tag=PMM0086],[protein_id=CAE18545.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMM0087],[protein_id=CAE18546.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0088],[protein_id=CAE18547.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]"
[locus_tag=PMM0090],[protein_id=CAE18549.1],[gene=None],[protein=possible serine protease]
[locus_tag=PMM0091],[protein_id=CAE18550.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0092],[protein_id=CAE18551.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0093],[protein_id=CAE18552.1],[gene=hli1],[protein=possible high light inducible protein]
[locus_tag=PMM0095],[protein_id=CAE18554.1],[gene=None],[protein=similar to serum resistance locus BrkB]
[locus_tag=PMM0096],[protein_id=CAE18555.1],[gene=None],[protein=inositol monophosphate family protein]
[locus_tag=PMM0097],[protein_id=CAE18556.1],[gene=None],[protein=possible RND family outer membrane efflux protein]
[locus_tag=PMM0098],[protein_id=CAE18557.1],[gene=None],[protein=possible Fe-S oxidoreductase]
[locus_tag=PMM0099],[protein_id=CAE18558.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0100],[protein_id=CAE18559.1],[gene=nadB],[protein=L-aspartate oxidase]
[locus_tag=PMM0101],[protein_id=CAE18560.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0102],[protein_id=CAE18561.1],[gene=None],[protein=possible Fe-S oxidoreductase]
[locus_tag=PMM0103],[protein_id=CAE18562.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0104],[protein_id=CAE18563.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0105],[protein_id=CAE18564.1],[gene=ribG],[protein=RibD/ribG C-terminal domain]
[locus_tag=PMM0106],[protein_id=CAE18565.1],[gene=None],[protein=6-pyruvoyl tetrahydropterin synthase]
[locus_tag=PMM0107],[protein_id=CAE18566.1],[gene=aroK],[protein=Shikimate kinase]
[locus_tag=PMM0108],[protein_id=CAE18567.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0109],[protein_id=CAE18568.1],[gene=None],[protein=possible POLO box duplicated region.]
[locus_tag=PMM0110],[protein_id=CAE18569.1],[gene=None],[protein=putative glutathione S-transferase]
[locus_tag=PMM0112],[protein_id=CAE18571.1],[gene=rbfA],[protein=Ribosome-binding factor A]
[locus_tag=PMM0113],[protein_id=CAE18572.1],[gene=hemD],[protein=putative uroporphyrinogen III synthase]
[locus_tag=PMM0114],[protein_id=CAE18573.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0115],[protein_id=CAE18574.1],[gene=crtQ],[protein=zeta-carotene desaturase]
[locus_tag=PMM0116],[protein_id=CAE18575.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0117],[protein_id=CAE18576.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0118],[protein_id=CAE18577.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0120],[protein_id=CAE18579.1],[gene=None],[protein=putative cell division inhibitor]
[locus_tag=PMM0121],[protein_id=CAE18580.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0122],[protein_id=CAE18581.1],[gene=None],[protein=possible heat shock protein DnaJ]
[locus_tag=PMM0123],[protein_id=CAE18582.1],[gene=cysK2],[protein=O-acetylserine (thiol)-lyase A]
[locus_tag=PMM0124],[protein_id=CAE18583.1],[gene=None],[protein=conserved hypothetical protein in cyanobacteria]
[locus_tag=PMM0125],[protein_id=CAE18584.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]"
[locus_tag=PMM0128],[protein_id=CAE18587.1],[gene=rpaA],[protein=two-component response regulator]
[locus_tag=PMM0129],[protein_id=CAE18588.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]"
[locus_tag=PMM0130],[protein_id=CAE18589.1],[gene=None],[protein=Thymidylate kinase]
[locus_tag=PMM0131],[protein_id=CAE18590.1],[gene=None],[protein=putative P-type ATPase transporter for copper]
[locus_tag=PMM0132],[protein_id=CAE18591.1],[gene=None],[protein=cyanobacterial conserved hypothetical]
[locus_tag=PMM0133],[protein_id=CAE18592.1],[gene=radA],[protein=putative DNA repair protein RadA]
[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator]
[locus_tag=PMM0135],[protein_id=CAE18594.1],[gene=plsX],[protein=fatty acid/phospholipid synthesis protein PlsX]
[locus_tag=PMM0136],[protein_id=CAE18595.1],[gene=fabH],[protein=3-oxoacyl-[acyl-carrier-protein]
[locus_tag=PMM0137],[protein_id=CAE18596.1],[gene=fabD],[protein=Malonyl coenzyme A-acyl carrier protein transacylase]
[locus_tag=PMM0138],[protein_id=CAE18597.1],[gene=plsC],[protein=putative 1-acyl-sn-glycerol-3-phosphate acyltransferase]
[locus_tag=PMM0139],[protein_id=CAE18598.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0141],[protein_id=CAE18600.1],[gene=None],[protein=Poly A polymerase family]
[locus_tag=PMM0142],[protein_id=CAE18601.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)]
[locus_tag=PMM0143],[protein_id=CAE18602.1],"[gene=crtB,pys]",[protein=Squalene and phytoene synthases]
[locus_tag=PMM0144],[protein_id=CAE18603.1],"[gene=pds,crtD]",[protein=phytoene desaturase]
[locus_tag=PMM0145],[protein_id=CAE18604.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0146],[protein_id=CAE18605.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0147],[protein_id=CAE18606.1],[gene=rbcR],[protein=putative Rubisco transcriptional regulator]
[locus_tag=PMM0148],[protein_id=CAE18607.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 5)]
[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=putative NADH dehydrogenase subunit (chain 4)]
[locus_tag=PMM0151],[protein_id=CAE18610.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0152],[protein_id=CAE18611.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase]
[locus_tag=PMM0153],[protein_id=CAE18612.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0154],[protein_id=CAE18613.1],[gene=None],"[protein=Bacterial regulatory protein, LuxR family]"
[locus_tag=PMM0155],[protein_id=CAE18614.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0156],[protein_id=CAE18615.1],[gene=None],[protein=predicted inorganic polyphosphate / ATP-NAD+ kinase]
[locus_tag=PMM0157],[protein_id=CAE18616.1],[gene=ndhE],[protein=putative NADH Dehydrogenase subunit]
[locus_tag=PMM0158],[protein_id=CAE18617.1],[gene=ndhG],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 6)]
[locus_tag=PMM0159],[protein_id=CAE18618.1],[gene=ndhI],[protein=putative NADH Dehydrogenase subunit]
[locus_tag=PMM0160],[protein_id=CAE18619.1],[gene=ndhA],[protein=putative respiratory-chain NADH dehydrogenase subunit]
[locus_tag=PMM0161],[protein_id=CAE18620.1],[gene=gltA],[protein=Citrate synthase]
[locus_tag=PMM0163],[protein_id=CAE18622.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0164],[protein_id=CAE18623.1],[gene=trpB],"[protein=Tryptophan synthase, beta chain]"
[locus_tag=PMM0165],[protein_id=CAE18624.1],[gene=None],[protein=Translation initiation factor SUI1]
[locus_tag=PMM0166],[protein_id=CAE18625.1],[gene=cysC],[protein=Adenylylsulfate kinase]
[locus_tag=PMM0167],[protein_id=CAE18626.1],[gene=purE],[protein=Phosphoribosylaminoimidazole carboxylase]
[locus_tag=PMM0168],[protein_id=CAE18627.1],[gene=chlM],[protein=Mg-protoporphyrin IX methyltransferase]
[locus_tag=PMM0169],[protein_id=CAE18628.1],[gene=None],[protein=two-component response regulator]
[locus_tag=PMM0170],[protein_id=CAE18629.1],[gene=None],[protein=NifS-like aminotransferase class-V]
[locus_tag=PMM0171],[protein_id=CAE18630.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0172],[protein_id=CAE18631.1],[gene=ndhH],[protein=putative NADH dehydrogenase subunit]
[locus_tag=PMM0173],[protein_id=CAE18632.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0174],[protein_id=CAE18633.1],[gene=menE],[protein=probable O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase)]
[locus_tag=PMM0175],[protein_id=CAE18634.1],[gene=menC],[protein=putative O-succinylbenzoate synthase]
[locus_tag=PMM0176],[protein_id=CAE18635.1],[gene=menA],"[protein=1,4-dihydroxy-2-naphthoate (DHNA) octaprenyltransferase; UbiA prenyltranferase family]"
[locus_tag=PMM0177],[protein_id=CAE18636.1],[gene=menF],[protein=Isochorismate synthase]
[locus_tag=PMM0178],[protein_id=CAE18637.1],[gene=gshB],[protein=putative Glutathione synthetase]
[locus_tag=PMM0179],[protein_id=CAE18638.1],[gene=None],[protein=Glutaredoxin]
[locus_tag=PMM0180],[protein_id=CAE18639.1],[gene=prfB],[protein=peptide chain release factor RF-2]
[locus_tag=PMM0181],[protein_id=CAE18640.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0182],[protein_id=CAE18641.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0183],[protein_id=CAE18642.1],[gene=dgkA],[protein=Prokaryotic diacylglycerol kinase]
[locus_tag=PMM0184],[protein_id=CAE18643.1],[gene=pabA],[protein=para-aminobenzoate synthase component II]
[locus_tag=PMM0185],[protein_id=CAE18644.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0186],[protein_id=CAE18645.1],[gene=hisC],[protein=Aminotransferases class-I]
[locus_tag=PMM0187],[protein_id=CAE18646.1],[gene=argS],[protein=Arginyl-tRNA synthetase]
[locus_tag=PMM0188],[protein_id=CAE18647.1],[gene=nadC],[protein=Nicotinate-nucleotide pyrophosphorylase:Quinolinate phosphoriobsyl transferase]
[locus_tag=PMM0189],[protein_id=CAE18648.1],[gene=None],[protein=putative thiophen / furan oxidation protein]
[locus_tag=PMM0190],[protein_id=CAE18649.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0191],[protein_id=CAE18650.1],[gene=spoT],"[protein=guanosine-3',5'-bis(diphosphate) 3'-diphosphatase, (ppGpp)ase]"
[locus_tag=PMM0192],[protein_id=CAE18651.1],[gene=None],"[protein=ABC transporter, ATP binding component, possibly for oligopeptides]"
[locus_tag=PMM0193],[protein_id=CAE18652.1],[gene=rluD],[protein=putative pseudouridylate synthase specific to ribosomal large subunit]
[locus_tag=PMM0194],[protein_id=CAE18653.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0195],[protein_id=CAE18654.1],"[gene=pgk, cbbK]",[protein=Phosphoglycerate kinase]
[locus_tag=PMM0196],[protein_id=CAE18655.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0197],[protein_id=CAE18656.1],[gene=murG],[protein=Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase]
[locus_tag=PMM0198],[protein_id=CAE18657.1],[gene=hisC/cobC],[protein=Aminotransferases class-I]
[locus_tag=PMM0199],[protein_id=CAE18658.1],[gene=pyrD],[protein=Dihydroorotate dehydrogenase]
[locus_tag=PMM0200],[protein_id=CAE18659.1],[gene=rnhA],[protein=possible ribonuclease HI]
[locus_tag=PMM0201],[protein_id=CAE18660.1],"[gene=rpl12, rplL, rpl7]",[protein=50S ribosomal protein L7/L12]
[locus_tag=PMM0202],[protein_id=CAE18661.1],"[gene=rpl10, rplJ]",[protein=50S ribosomal protein L10]
[locus_tag=PMM0203],[protein_id=CAE18662.1],"[gene=rpl1, rplA]",[protein=50S ribosomal protein L1]
[locus_tag=PMM0204],[protein_id=CAE18663.1],"[gene=rpl11, rplK]",[protein=50S ribosomal protein L11]
[locus_tag=PMM0205],[protein_id=CAE18664.1],[gene=nusG],"[protein=transcription antitermination protein, NusG]"
[locus_tag=PMM0206],[protein_id=CAE18665.1],[gene=secE],"[protein=putative preprotein translocase, SecE subunit]"
[locus_tag=PMM0207],[protein_id=CAE18666.1],[gene=clpB2],"[protein=putative ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]"
[locus_tag=PMM0208],[protein_id=CAE18667.1],[gene=eno],[protein=Enolase]
[locus_tag=PMM0209],[protein_id=CAE18668.1],[gene=None],[protein=possible kinase]
[locus_tag=PMM0211],[protein_id=CAE18670.1],[gene=trxB],[protein=FAD-dependent pyridine nucleotide-disulphide oxidoreductase]
[locus_tag=PMM0214],[protein_id=CAE18673.1],[gene=None],[protein=putative sulfate transporter]
[locus_tag=PMM0215],[protein_id=CAE18674.1],[gene=None],[protein=Delta-aminolevulinic acid dehydratase]
[locus_tag=PMM0216],[protein_id=CAE18675.1],[gene=None],[protein=Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily]
[locus_tag=PMM0217],[protein_id=CAE18676.1],[gene=mutS],[protein=putative DNA mismatch repair protein MutS family]
[locus_tag=PMM0218],[protein_id=CAE18677.1],[gene=None],[protein=GTP1/OBG family]
[locus_tag=PMM0220],[protein_id=None],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0221],[protein_id=CAE18680.1],[gene=None],[protein=Glutathione S-transferase C terminus]
[locus_tag=PMM0222],[protein_id=CAE18681.1],[gene=None],[protein=putative aspartoacylase]
[locus_tag=PMM0223],[protein_id=CAE18682.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)]
[locus_tag=PMM0224],[protein_id=CAE18683.1],[gene=aroC],[protein=Chorismate synthase]
[locus_tag=PMM0225],[protein_id=CAE18684.1],[gene=None],[protein=possible 2-keto-3-deoxy-6-phosphogluconate aldolase]
[locus_tag=PMM0226],[protein_id=CAE18685.1],[gene=ftsH2],[protein=cell division protein FtsH2]
[locus_tag=PMM0227],[protein_id=CAE18686.1],[gene=cysD],[protein=ATP-sulfurylase]
[locus_tag=PMM0228],[protein_id=CAE18687.1],[gene=psbO],[protein=Photosystem II manganese-stabilizing protein]
[locus_tag=PMM0229],[protein_id=CAE18688.1],[gene=dfp (coaBC)],[protein=putative p-pantothenate cysteine ligase and p-pantothenenoylcysteine decarboxylase]
[locus_tag=PMM0231],[protein_id=CAE18690.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0232],[protein_id=CAE18691.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0233],[protein_id=CAE18692.1],[gene=pyrB],[protein=aspartate carbamoyltransferase]
[locus_tag=PMM0234],[protein_id=CAE18693.1],[gene=None],[protein=possible Methylpurine-DNA glycosylase (MPG)]
[locus_tag=PMM0235],[protein_id=CAE18694.1],[gene=gatC],[protein=Glutamyl-tRNA(Gln) amidotransferase subunit C]
[locus_tag=PMM0236],[protein_id=None],[gene=crtR],[protein=beta carotene hydroxylase]
[locus_tag=PMM1806],[protein_id=CAP16310.1],[gene=None],[protein=Beta-carotene hydroxylase]
[locus_tag=PMM0238],[protein_id=CAE18697.1],[gene=ileS],[protein=Isoleucyl-tRNA synthetase]
[locus_tag=PMM0239],[protein_id=CAE18698.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0240],[protein_id=CAE18699.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0241],[protein_id=CAE18700.1],[gene=None],[protein=Phosphotransferase superclass]
[locus_tag=PMM0242],[protein_id=CAE18701.1],[gene=txlA],[protein=thioredoxin-like protein TxlA]
[locus_tag=PMM0244],[protein_id=CAE18703.1],[gene=dcd],[protein=dCTP Deaminase]
[locus_tag=PMM0245],[protein_id=CAE18704.1],[gene=None],[protein=cob(I)alamin adenosyltransferase]
[locus_tag=PMM0246],[protein_id=CAE18705.1],[gene=ntcA],"[protein=Global nitrogen regulatory protein, CRP family of transcriptional regulators]"
[locus_tag=PMM0247],[protein_id=CAE18706.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0248],[protein_id=CAE18707.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0249],[protein_id=CAE18708.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0250],[protein_id=CAE18709.1],[gene=pth],[protein=Peptidyl-tRNA hydrolase]
[locus_tag=PMM0252],[protein_id=CAE18711.1],[gene=psbN],[protein=Photosystem II reaction centre N protein (psbN)]
[locus_tag=PMM0254],[protein_id=CAE18713.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0255],[protein_id=CAE18714.1],[gene=leuD],[protein=3-isopropylmalate dehydratase small subunit]
[locus_tag=PMM0256],[protein_id=CAE18715.1],[gene=leuC],[protein=3-isopropylmalate dehydratase large subunit]
[locus_tag=PMM0257],[protein_id=CAE18716.1],[gene=None],[protein=Molybdenum cofactor biosynthesis protein]
[locus_tag=PMM0258],[protein_id=CAE18717.1],[gene=glyA],[protein=Serine hydroxymethyltransferase (SHMT)]
[locus_tag=PMM0259],[protein_id=CAE18718.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0260],[protein_id=CAE18719.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0261],[protein_id=CAE18720.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0262],[protein_id=CAE18721.1],[gene=None],[protein=putative sugar fermentation stimulation protein]
[locus_tag=PMM0263],[protein_id=CAE18722.1],[gene=amt1],[protein=Ammonium transporter family]
[locus_tag=PMM0264],[protein_id=CAE18723.1],[gene=lytB],[protein=LytB protein homolog]
[locus_tag=PMM0266],[protein_id=CAE18725.1],[gene=purH],[protein=AICARFT/IMPCHase bienzyme:Methylglyoxal synthase-like domain]
[locus_tag=PMM0267],[protein_id=CAE18726.1],[gene=None],[protein=probable esterase]
[locus_tag=PMM0268],[protein_id=CAE18727.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0269],[protein_id=CAE18728.1],[gene=None],[protein=two-component sensor histidine kinase]
[locus_tag=PMM0270],[protein_id=CAE18729.1],[gene=CobS],[protein=Cobalamin-5-phosphate synthase CobS]
[locus_tag=PMM0271],[protein_id=CAE18730.1],[gene=tgt],[protein=tRNA-guanine transglycosylase]
[locus_tag=PMM0273],[protein_id=CAE18732.1],[gene=None],[protein=probable oxidoreductase]
[locus_tag=PMM0274],[protein_id=CAE18733.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0275],[protein_id=CAE18734.1],[gene=pyrE],[protein=Orotate phosphoribosyltransferase]
[locus_tag=PMM0276],[protein_id=CAE18735.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0277],[protein_id=CAE18736.1],[gene=None],[protein=conserved hypothetical protein]
