Locus tag,Protein ID,Gene,Protein name
PMM0063,CAE18522.1,None,conserved hypothetical protein
PMM0064,CAE18523.1,hli2,possible high light inducible protein
PMM0065,CAE18524.1,None,"ABC transporter, ATP binding protein"
PMM0067,CAE18526.1,None,HIT (Histidine triad) family protein
PMM0068,CAE18527.1,def,putative formylmethionine deformylase
PMM0069,CAE18528.1,None,Esterase/lipase/thioesterase family active site
PMM0070,CAE18529.1,None,putative cysteine desulfurase or selenocysteine lyase
PMM0071,CAE18530.1,None,"ABC transporter, membrane component"
PMM0072,CAE18531.1,None,"ABC transporter, ATP binding component"
PMM0073,CAE18532.1,None,"ABC transporter, membrane component"
PMM0074,CAE18533.1,None,conserved hypothetical
PMM0075,CAE18534.1,None,conserved hypothetical protein
PMM1803,CAP16305.1,None,membrane protein
PMM0076,CAE18535.1,pgm,Phosphoglucomutase
PMM0077,CAE18536.1,yrvN,"putative ATPase, AAA family"
PMM0079,CAE18538.1,bcp,putative bacterioferritin comigratory (BCP) protein
PMM0080,CAE18539.1,None,conserved hypothetical protein
PMM0081,CAE18540.1,cysH,Phosphoadenosine phosphosulfate reductase
PMM0082,CAE18541.1,None,"putative NADH dehydrogenase, transport associated"
PMM0083,CAE18542.1,None,"putative sodium/sulfate transporter, DASS family"
PMM0084,CAE18543.1,None,"possible sodium transporter, Trk family"
PMM0085,CAE18544.1,None,"putative potassium channel, VIC family"
PMM0086,CAE18545.1,None,Conserved hypothetical protein
PMM0087,CAE18546.1,None,conserved hypothetical protein
PMM0088,CAE18547.1,None,conserved hypothetical protein
PMM0089,CAE18548.1,None,"ABC transporter, ATP binding component"
PMM1805,CAP16307.1,None,Conserved hypothetical protein
PMM0090,CAE18549.1,None,possible serine protease
PMM0091,CAE18550.1,None,conserved hypothetical protein
PMM0092,CAE18551.1,None,conserved hypothetical protein
PMM0093,CAE18552.1,hli1,possible high light inducible protein
PMM0095,CAE18554.1,None,similar to serum resistance locus BrkB
PMM0096,CAE18555.1,None,inositol monophosphate family protein
PMM0097,CAE18556.1,None,possible RND family outer membrane efflux protein
PMM0098,CAE18557.1,None,possible Fe-S oxidoreductase
PMM0099,CAE18558.1,None,conserved hypothetical protein
PMM0100,CAE18559.1,nadB,L-aspartate oxidase
PMM0101,CAE18560.1,None,conserved hypothetical protein
PMM0102,CAE18561.1,None,possible Fe-S oxidoreductase
PMM0103,CAE18562.1,None,conserved hypothetical protein
PMM0104,CAE18563.1,None,conserved hypothetical protein
PMM0105,CAE18564.1,ribG,RibD/ribG C-terminal domain
PMM0106,CAE18565.1,None,6-pyruvoyl tetrahydropterin synthase
PMM0107,CAE18566.1,aroK,Shikimate kinase
PMM0108,CAE18567.1,None,conserved hypothetical protein
PMM0109,CAE18568.1,None,possible POLO box duplicated region.
PMM0110,CAE18569.1,None,putative glutathione S-transferase
PMM0111,CAE18570.1,None,conserved hypothetical protein
PMM0112,CAE18571.1,rbfA,Ribosome-binding factor A
PMM0113,CAE18572.1,hemD,putative uroporphyrinogen III synthase
PMM0114,CAE18573.1,None,conserved hypothetical protein
PMM0115,CAE18574.1,crtQ,zeta-carotene desaturase
PMM0116,CAE18575.1,None,conserved hypothetical protein
PMM0117,CAE18576.1,None,conserved hypothetical protein
PMM0118,CAE18577.1,None,conserved hypothetical protein
PMM0120,CAE18579.1,None,putative cell division inhibitor
PMM0121,CAE18580.1,None,conserved hypothetical protein
PMM0122,CAE18581.1,None,possible heat shock protein DnaJ
PMM0123,CAE18582.1,cysK2,O-acetylserine (thiol)-lyase A
PMM0124,CAE18583.1,None,conserved hypothetical protein in cyanobacteria
PMM0125,CAE18584.1,None,"possible ABC transporter, ATP-binding component"
PMM0128,CAE18587.1,rpaA,two-component response regulator
PMM0129,CAE18588.1,holB,"DNA polymerase III, delta prime subunit"
PMM0130,CAE18589.1,None,Thymidylate kinase
PMM0131,CAE18590.1,None,putative P-type ATPase transporter for copper
PMM0132,CAE18591.1,None,cyanobacterial conserved hypothetical
PMM0133,CAE18592.1,radA,putative DNA repair protein RadA
PMM0134,CAE18593.1,rpaB,two-component response regulator
PMM0135,CAE18594.1,plsX,fatty acid/phospholipid synthesis protein PlsX
PMM0136,CAE18595.1,fabH,3-oxoacyl-[acyl-carrier-protein
PMM0137,CAE18596.1,fabD,Malonyl coenzyme A-acyl carrier protein transacylase
PMM0138,CAE18597.1,plsC,putative 1-acyl-sn-glycerol-3-phosphate acyltransferase
PMM0139,CAE18598.1,None,conserved hypothetical protein
PMM0140,CAE18599.1,ycf34,putative Ycf34
PMM0141,CAE18600.1,None,Poly A polymerase family
PMM0142,CAE18601.1,None,RNA-binding region RNP-1 (RNA recognition motif)
PMM0143,CAE18602.1,"crtB,pys",Squalene and phytoene synthases
PMM0144,CAE18603.1,"pds,crtD",phytoene desaturase
PMM0145,CAE18604.1,None,conserved hypothetical protein
PMM0146,CAE18605.1,None,conserved hypothetical protein
PMM0147,CAE18606.1,rbcR,putative Rubisco transcriptional regulator
PMM0148,CAE18607.1,None,conserved hypothetical protein
PMM0149,CAE18608.1,ndhF,putative NADH Dehydrogenase (complex I) subunit (chain 5)
PMM0150,CAE18609.1,ndhD,putative NADH dehydrogenase subunit (chain 4)
PMM0151,CAE18610.1,None,conserved hypothetical protein
PMM0152,CAE18611.1,None,Putative sugar-phosphate nucleotidyl transferase
PMM0153,CAE18612.1,None,conserved hypothetical protein
PMM0154,CAE18613.1,None,"Bacterial regulatory protein, LuxR family"
PMM0155,CAE18614.1,None,conserved hypothetical protein
PMM0156,CAE18615.1,None,predicted inorganic polyphosphate / ATP-NAD+ kinase
PMM0157,CAE18616.1,ndhE,putative NADH Dehydrogenase subunit
PMM0158,CAE18617.1,ndhG,putative NADH Dehydrogenase (complex I) subunit (chain 6)
PMM0159,CAE18618.1,ndhI,putative NADH Dehydrogenase subunit
PMM0160,CAE18619.1,ndhA,putative respiratory-chain NADH dehydrogenase subunit
PMM0161,CAE18620.1,gltA,Citrate synthase
PMM0163,CAE18622.1,None,conserved hypothetical protein
PMM0164,CAE18623.1,trpB,"Tryptophan synthase, beta chain"
PMM0165,CAE18624.1,None,Translation initiation factor SUI1
PMM0166,CAE18625.1,cysC,Adenylylsulfate kinase
PMM0167,CAE18626.1,purE,Phosphoribosylaminoimidazole carboxylase
PMM0168,CAE18627.1,chlM,Mg-protoporphyrin IX methyltransferase
PMM0169,CAE18628.1,None,two-component response regulator
PMM0170,CAE18629.1,None,NifS-like aminotransferase class-V
PMM0171,CAE18630.1,None,conserved hypothetical protein
PMM0172,CAE18631.1,ndhH,putative NADH dehydrogenase subunit
PMM0173,CAE18632.1,None,conserved hypothetical protein
PMM0174,CAE18633.1,menE,probable O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase)
PMM0175,CAE18634.1,menC,putative O-succinylbenzoate synthase
PMM0176,CAE18635.1,menA,"1,4-dihydroxy-2-naphthoate (DHNA) octaprenyltransferase; UbiA prenyltranferase family"
PMM0177,CAE18636.1,menF,Isochorismate synthase
PMM0178,CAE18637.1,gshB,putative Glutathione synthetase
PMM0179,CAE18638.1,None,Glutaredoxin
PMM0180,CAE18639.1,prfB,peptide chain release factor RF-2
PMM0181,CAE18640.1,None,conserved hypothetical protein
PMM0182,CAE18641.1,None,conserved hypothetical protein
PMM0183,CAE18642.1,dgkA,Prokaryotic diacylglycerol kinase
PMM0184,CAE18643.1,pabA,para-aminobenzoate synthase component II
PMM0185,CAE18644.1,None,conserved hypothetical protein
PMM0186,CAE18645.1,hisC,Aminotransferases class-I
PMM0187,CAE18646.1,argS,Arginyl-tRNA synthetase
PMM0188,CAE18647.1,nadC,Nicotinate-nucleotide pyrophosphorylase:Quinolinate phosphoriobsyl transferase
PMM0189,CAE18648.1,None,putative thiophen / furan oxidation protein
PMM0190,CAE18649.1,None,conserved hypothetical protein
PMM0191,CAE18650.1,spoT,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase, (ppGpp)ase"
PMM0192,CAE18651.1,None,"ABC transporter, ATP binding component, possibly for oligopeptides"
PMM0193,CAE18652.1,rluD,putative pseudouridylate synthase specific to ribosomal large subunit
PMM0194,CAE18653.1,None,conserved hypothetical protein
PMM0195,CAE18654.1,"pgk, cbbK",Phosphoglycerate kinase
PMM0196,CAE18655.1,None,conserved hypothetical protein
PMM0197,CAE18656.1,murG,Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase
PMM0198,CAE18657.1,hisC/cobC,Aminotransferases class-I
PMM0199,CAE18658.1,pyrD,Dihydroorotate dehydrogenase
PMM0200,CAE18659.1,rnhA,possible ribonuclease HI
PMM0201,CAE18660.1,"rpl12, rplL, rpl7",50S ribosomal protein L7/L12
PMM0202,CAE18661.1,"rpl10, rplJ",50S ribosomal protein L10
PMM0203,CAE18662.1,"rpl1, rplA",50S ribosomal protein L1
PMM0204,CAE18663.1,"rpl11, rplK",50S ribosomal protein L11
PMM0205,CAE18664.1,nusG,"transcription antitermination protein, NusG"
PMM0206,CAE18665.1,secE,"putative preprotein translocase, SecE subunit"
PMM0207,CAE18666.1,clpB2,"putative ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB"
PMM0208,CAE18667.1,eno,Enolase
PMM0209,CAE18668.1,None,possible kinase
PMM0210,CAE18669.1,None,possible (AF128446) repeat motif protein
PMM0211,CAE18670.1,trxB,FAD-dependent pyridine nucleotide-disulphide oxidoreductase
PMM0214,CAE18673.1,None,putative sulfate transporter
PMM0215,CAE18674.1,None,Delta-aminolevulinic acid dehydratase
PMM0216,CAE18675.1,None,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PMM0217,CAE18676.1,mutS,putative DNA mismatch repair protein MutS family
PMM0218,CAE18677.1,None,GTP1/OBG family
PMM0220,None,None,conserved hypothetical protein
PMM0221,CAE18680.1,None,Glutathione S-transferase C terminus
PMM0222,CAE18681.1,None,putative aspartoacylase
PMM0223,CAE18682.1,psbA,Photosystem II PsbA protein (D1)
PMM0224,CAE18683.1,aroC,Chorismate synthase
PMM0225,CAE18684.1,None,possible 2-keto-3-deoxy-6-phosphogluconate aldolase
PMM0226,CAE18685.1,ftsH2,cell division protein FtsH2
PMM0227,CAE18686.1,cysD,ATP-sulfurylase
PMM0228,CAE18687.1,psbO,Photosystem II manganese-stabilizing protein
PMM0229,CAE18688.1,dfp (coaBC),putative p-pantothenate cysteine ligase and p-pantothenenoylcysteine decarboxylase
PMM0230,CAE18689.1,None,conserved hypothetical protein
PMM0231,CAE18690.1,None,conserved hypothetical protein
PMM0232,CAE18691.1,None,conserved hypothetical protein
PMM0233,CAE18692.1,pyrB,aspartate carbamoyltransferase
PMM0234,CAE18693.1,None,possible Methylpurine-DNA glycosylase (MPG)
PMM0235,CAE18694.1,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C
PMM0236,None,crtR,beta carotene hydroxylase
PMM1806,CAP16310.1,None,Beta-carotene hydroxylase
PMM0238,CAE18697.1,ileS,Isoleucyl-tRNA synthetase
PMM0239,CAE18698.1,None,conserved hypothetical protein
PMM0240,CAE18699.1,None,conserved hypothetical protein
PMM0241,CAE18700.1,None,Phosphotransferase superclass
PMM0242,CAE18701.1,txlA,thioredoxin-like protein TxlA
PMM0244,CAE18703.1,dcd,dCTP Deaminase
PMM0245,CAE18704.1,None,cob(I)alamin adenosyltransferase
PMM0246,CAE18705.1,ntcA,"Global nitrogen regulatory protein, CRP family of transcriptional regulators"
PMM0247,CAE18706.1,None,conserved hypothetical protein
PMM0248,CAE18707.1,None,conserved hypothetical protein
PMM0249,CAE18708.1,None,conserved hypothetical protein
PMM0250,CAE18709.1,pth,Peptidyl-tRNA hydrolase
PMM0252,CAE18711.1,psbN,Photosystem II reaction centre N protein (psbN)
PMM0253,CAE18712.1,None,photosystem II reaction center PsbI protein
PMM0254,CAE18713.1,None,conserved hypothetical protein
PMM0255,CAE18714.1,leuD,3-isopropylmalate dehydratase small subunit
PMM0256,CAE18715.1,leuC,3-isopropylmalate dehydratase large subunit
PMM0257,CAE18716.1,None,Molybdenum cofactor biosynthesis protein
PMM0258,CAE18717.1,glyA,Serine hydroxymethyltransferase (SHMT)
PMM0259,CAE18718.1,None,conserved hypothetical protein
PMM0260,CAE18719.1,None,conserved hypothetical protein
PMM0261,CAE18720.1,None,conserved hypothetical protein
PMM0262,CAE18721.1,None,putative sugar fermentation stimulation protein
PMM0263,CAE18722.1,amt1,Ammonium transporter family
PMM0264,CAE18723.1,lytB,LytB protein homolog
PMM0265,CAE18724.1,None,conserved hypothetical protein
PMM0266,CAE18725.1,purH,AICARFT/IMPCHase bienzyme:Methylglyoxal synthase-like domain
PMM0267,CAE18726.1,None,probable esterase
PMM0268,CAE18727.1,None,conserved hypothetical protein
PMM0269,CAE18728.1,None,two-component sensor histidine kinase
PMM0270,CAE18729.1,CobS,Cobalamin-5-phosphate synthase CobS
PMM0271,CAE18730.1,tgt,tRNA-guanine transglycosylase
PMM0273,CAE18732.1,None,probable oxidoreductase
PMM0274,CAE18733.1,None,conserved hypothetical protein
PMM0275,CAE18734.1,pyrE,Orotate phosphoribosyltransferase
PMM0276,CAE18735.1,None,conserved hypothetical protein
PMM0277,CAE18736.1,None,conserved hypothetical protein
PMM0278,CAE18737.1,None,Phosphotransferase superclass
PMM0279,CAE18738.1,None,conserved hypothetical protein
PMM0280,CAE18739.1,None,Retinal pigment epithelial membrane protein
PMM0281,CAE18740.1,hisB,Imidazoleglycerol-phosphate dehydratase
PMM0282,CAE18741.1,fabI,enoyl-[acyl-carrier-protein
PMM0283,CAE18742.1,None,conserved hypothetical protein
PMM0284,CAE18743.1,degT,putative pleiotropic regulatory protein
PMM0285,CAE18744.1,phr,putative DNA photolyase
PMM0286,CAE18745.1,None,NUDIX hydrolase
PMM0288,CAE18747.1,chlD,"Protoporphyrin IX Magnesium chelatase, ChlD subunit"
PMM0289,CAE18748.1,None,possible ABC transporter
PMM0290,CAE18749.1,None,"possible ABC transporter, ATP binding component"
PMM0291,CAE18750.1,None,conserved hypothetical protein
PMM0292,CAE18751.1,ndhJ,putative respiratory-chain NADH dehydrogenase subunit
PMM0293,CAE18752.1,ndhK,putative respiratory-chain NADH dehydrogenase subunit
PMM0294,CAE18753.1,ndhC,putative NADH Dehydrogenase (complex I) subunit (chain 3)
PMM0295,CAE18754.1,rub,probable rubredoxin
PMM0296,CAE18755.1,None,conserved hypothetical protein
PMM0297,CAE18756.1,psbE,Cytochrome b559 alpha-subunit
PMM0298,CAE18757.1,psbF,Cytochrome b559 beta-subunit
PMM0300,CAE18759.1,psbJ,photosytem II PsbJ protein
PMM0301,CAE18760.1,None,5'-methylthioadenosine phosphorylase
PMM0303,CAE18762.1,None,tRNA nucleotidyltransferase/poly(A) polymerase
PMM0304,CAE18763.1,uvrD,UvrD/REP helicase
PMM0305,CAE18764.1,cpeB,Phycobilisome protein
PMM0306,CAE18765.1,cpeS,phycoerythrin linker protein CpeS homolog
PMM0308,CAE18767.1,None,conserved hypothetical protein
PMM0309,CAE18768.1,None,possible Pollen allergen
PMM0310,CAE18769.1,None,"Carbohydrate kinase, FGGY family"
PMM0311,CAE18770.1,metK,S-adenosylmethionine synthetase
PMM0312,CAE18771.1,"rps1a, rpsA1","30S ribosomal protein S1, homolog A"
PMM0313,CAE18772.1,None,conserved hypothetical protein
PMM0314,CAE18773.1,psbT,Photosystem II PsbT protein
PMM0315,CAE18774.1,psbB,Photosystem II PsbB protein (CP47)
PMM0316,CAE18775.1,None,possible ferredoxin
PMM0317,CAE18776.1,psbM,possible Photosystem II reaction center M protein (PsbM)
PMM0318,CAE18777.1,hemK,putative protein methyltransferase
PMM0319,CAE18778.1,None,conserved hypothetical protein
PMM0320,CAE18779.1,minE,possible septum site-determining protein MinE
PMM0321,CAE18780.1,minD,putative septum site-determining protein MinD
PMM0322,CAE18781.1,minC,possible septum site-determining protein
PMM0323,CAE18782.1,None,conserved hypothetical protein
PMM0324,CAE18783.1,ctpA,carboxyl-terminal processing proteinase precursor
PMM0325,CAE18784.1,petB,Cytochrome b6
PMM0326,CAE18785.1,petD,PetD protein (subunit IV of the Cytochrome b6f complex)
PMM0327,CAE18786.1,None,putative neutral invertase-like protein
PMM0328,CAE18787.1,FPG,Formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase)
PMM0329,CAE18788.1,psaE,Photosystem I PsaE protein (subunit IV)
PMM0330,CAE18789.1,None,possible LysM domain
PMM0331,CAE18790.1,None,Putative aldehyde dehydrogenase
PMM0334,CAE18793.1,None,conserved hypothetical protein
PMM0335,CAE18794.1,None,possible NADH-PLASTOQUINONE OXIDOREDUCTASE CHAIN 5
PMM0338,CAE18797.1,None,conserved hypothetical
PMM0339,CAE18798.1,T8L23.23,Bacterial-type phytoene dehydrogenase
PMM0340,CAE18799.1,None,conserved hypothetical protein
PMM0341,CAE18800.1,None,conserved hypothetical
PMM0343,CAE18802.1,None,mttA/Hcf106 family
PMM0345,CAE18804.1,None,putative bacterioferritin comigratory protein
PMM0346,CAE18805.1,None,conserved hypothetical protein
PMM0347,CAE18806.1,None,conserved hypothetical
PMM0350,CAE18809.1,None,possible TIR domain
PMM0351,CAE18810.1,None,"possible Small, acid-soluble spore proteins, a"
PMM0360,CAE18819.1,None,conserved hypothetical protein
PMM0364,CAE18823.1,None,possible Malic enzyme
PMM0366,CAE18825.1,None,Type-1 copper (blue) domain
PMM0368,CAE18827.1,None,conserved hypothetical protein
PMM0372,CAE18831.1,None,putative cyanate ABC transporter
PMM0373,CAE18832.1,cynS,Cyanate lyase
PMM0374,CAE18833.1,None,mttA/Hcf106 family
PMM0378,CAE18837.1,None,conserved hypothetical protein
PMM0387,CAE18846.1,aroD,Dehydroquinase class II
PMM0388,CAE18847.1,None,putative similar to tRNA-(MS[2
PMM0389,CAE18848.1,cobI/cbiL,PRECORRIN-2 C20-METHYLTRANSFERASE
PMM0390,CAE18849.1,None,conserved hypothetical protein
PMM0391,CAE18850.1,None,GTP-binding protein (HSR1-related)
PMM0392,CAE18851.1,None,possible cobalt transport protein
PMM0393,CAE18852.1,None,conserved hypothetical protein
PMM0394,CAE18853.1,None,conserved hypothetical protein
PMM0395,CAE18854.1,None,conserved hypothetical protein
PMM0396,CAE18855.1,proC,Delta 1-pyrroline-5-carboxylate reductase
PMM0397,CAE18856.1,None,"possible Glycosyl transferase, group 1"
PMM0398,CAE18857.1,None,possible Recombination protein O (RecO)
PMM0399,CAE18858.1,None,Putative deoxyribose-phosphate aldolase
PMM0400,CAE18859.1,lrtA,light repressed protein A homolog
PMM0401,CAE18860.1,lipB,putative lipoate-protein ligase B
PMM0402,CAE18861.1,fadD,putative long-chain-fatty-acid--CoA ligase
PMM0403,CAE18862.1,None,conserved hypothetical protein
PMM0405,CAE18864.1,pdhC,Dihydrolipoamide acetyltransferase component (E2) of pyruvate de
PMM0406,CAE18865.1,queA,Queuosine biosynthesis protein
PMM0407,CAE18866.1,cysK1,O-acetylserine (thiol)-lyase A
PMM0408,CAE18867.1,None,possible Cystathionine gamma-synthase
PMM0409,CAE18868.1,metB,putative Cystathionine gamma-synthase
PMM0410,CAE18869.1,"rpsD,rps4",30S ribosomal protein S4
PMM0411,CAE18870.1,None,conserved hypothetical protein
PMM0412,CAE18871.1,None,conserved hypothetical protein
PMM0413,CAE18872.1,murE,UDP-N-acetylmuramyl-tripeptide synthetase
PMM0414,CAE18873.1,None,putative short chain dehydrogenase
PMM0415,CAE18874.1,None,putative L-cysteine/cystine lyase
PMM0416,CAE18875.1,None,conserved hypothetical protein
PMM0418,CAE18877.1,None,NifU-like protein
PMM0419,CAE18878.1,mqo,putative malate/quinone oxidoreductase
PMM0420,CAE18879.1,lepA,GTP-binding protein LepA
PMM0421,CAE18880.1,None,"putative ABC transporter, oligopeptides"
PMM0422,CAE18881.1,None,tRNA/rRNA methyltransferase (SpoU)
PMM0423,CAE18882.1,None,conserved hypothetical protein
PMM0424,CAE18883.1,None,conserved hypothetical protein
PMM0425,CAE18884.1,None,conserved hypothetical protein
PMM0426,CAE18885.1,None,Sun protein (Fmu protein)
PMM0427,CAE18886.1,None,putative penicillin binding protein
PMM0428,CAE18887.1,chlG,chlorophyll synthase 33 kD subunit
PMM0429,CAE18888.1,None,conserved hypothetical protein
PMM0430,CAE18889.1,hisF,Imidazole glycerol phosphate synthase subunit HisF (cyclase)
PMM0431,CAE18890.1,None,conserved hypothetical protein
PMM0433,CAE18892.1,BirA,putative Biotin--acetyl-CoA-carboxylase ligase
PMM0434,CAE18893.1,None,"possible ABC transporter, ATP binding protein"
PMM0435,CAE18894.1,ndhB,putative NADH dehydrogenase (complex I) subunit (chain 2)
PMM0436,CAE18895.1,topA,Prokaryotic DNA topoisomerase
PMM0438,CAE18897.1,None,conserved hypothetical protein
PMM0439,CAE18898.1,None,conserved hypothetical protein
PMM0440,CAE18899.1,None,conserved hypothetical protein
PMM0441,CAE18900.1,None,Aldo/keto reductase family
PMM0442,CAE18901.1,ribE,Putative Riboflavin synthase alpha chain
PMM0443,CAE18902.1,None,conserved hypothetical protein
PMM0444,CAE18903.1,ctaE,"Cytochrome c oxidase, subunit III"
PMM0445,CAE18904.1,ctaD (coxA),"Cytochrome c oxidase, subunit I"
PMM0446,CAE18905.1,ctaC (coxB),"putative cytochrome c oxidase, subunit 2"
PMM0447,CAE18906.1,None,conserved hypothetical protein
PMM0448,CAE18907.1,ctaB,putative protoheme IX farnesyltransferase
PMM0449,CAE18908.1,None,putative multidrug efflux ABC transporter
PMM0450,CAE18909.1,None,putative multidrug efflux ABC transporter
PMM0452,CAE18911.1,"groEL2,cpn60-2",GroEL2 protein (Chaperonin cpn60 2)
PMM0453,CAE18912.1,fabG,3-oxoacyl-[acyl-carrier protein
PMM0454,CAE18913.1,ispD,putative 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PMM0455,CAE18914.1,None,conserved hypothetical protein
PMM0456,CAE18915.1,ubiA,probable 4-hydroxybenzoate-octaprenyltransferase
PMM0457,CAE18916.1,ppx,putative exopolyphosphatase
PMM0458,CAE18917.1,None,conserved hypothetical protein
PMM0459,CAE18918.1,cobM,PUTATIVE PRECORRIN-4 C11-METHYLTRANSFERASE
PMM0460,CAE18919.1,"yvoC, lgt, umpA",putative prolipoprotein diacylglyceryl transferase
PMM0461,CAE18920.1,petA,Cytochrome f
PMM0462,CAE18921.1,petC,Rieske iron-sulfur protein
PMM0463,CAE18922.1,None,conserved hypothetical protein
PMM0464,CAE18923.1,None,"protein secretion component, Tat family"
PMM0466,CAE18925.1,None,possible secreted protein MPB70 precursor
PMM0467,CAE18926.1,gmk,Guanylate kinase
PMM0468,CAE18927.1,psaJ,Photosystem I PsaJ protein (subunit IX)
PMM0469,CAE18928.1,psaF,Photosystem I PsaF protein (subunit III)
PMM0470,CAE18929.1,None,probable o-sialoglycoprotein endopeptidase
PMM0471,CAE18930.1,hli20,possible high light inducible protein
PMM0473,CAE18932.1,gltX,Glutamyl-tRNA synthetase
PMM0474,CAE18933.1,None,Conserved hypothetical protein
PMM0475,CAE18934.1,rpl19,Ribosomal protein L19
PMM0476,CAE18935.1,None,conserved hypothetical protein
PMM0477,CAE18936.1,map,putative methionine aminopeptidase
PMM0478,CAE18937.1,None,conserved hypothetical protein
PMM0479,CAE18938.1,None,conserved hypothetical protein
PMM0480,CAE18939.1,None,conserved hypothetical protein
PMM0481,CAE18940.1,None,conserved hypothetical protein
PMM1851,CAP16355.1,None,Conserved hypothetical protein
PMM0482,CAE18941.1,phb,Band 7 protein
PMM0483,CAE18942.1,"hemL, gsa","glutamate-1-semialdehyde 2,1-aminomutase"
PMM0484,CAE18943.1,xthA,exodeoxyribonuclease III
PMM0485,CAE18944.1,None,conserved hypothetical protein
PMM0486,CAE18945.1,None,conserved hypothetical protein
PMM0487,CAE18946.1,None,conserved hypothetical protein
PMM0488,CAE18947.1,None,conserved hypothetical protein
