Locus tag,Protein ID,Gene,Protein name,Hit #1 locus tag,Protein ID,Gene,Protein name,E-value,Hit #2 locus tag,Protein ID,Gene,Protein name,E-value,Hit #3 locus tag,Protein ID,Gene,Protein name,E-value
PMM0015,CAE18474.1,None,Domain of unknown function DUF25,WB44_11375,AKN61591.1,None,methionine sulfoxide reductase B,9.47359E-82,WB44_09095,AKN61228.1,None,methionine sulfoxide reductase B,2.84018E-43,,,,,
PMM0016,CAE18475.1,grpE,Heat shock protein GrpE,WB44_11400,AKN61594.1,None,molecular chaperone GrpE,4.20351E-95,,,,,,,,,,
PMM0017,CAE18476.1,dnaJ,DnaJ protein,WB44_11405,AKN61595.1,None,molecular chaperone DnaJ,0.00000E+00,WB44_08835,AKN61186.1,None,molecular chaperone DnaJ,1.40196E-24,WB44_08835,AKN61186.1,None,molecular chaperone DnaJ,3.91627E-21
PMM0018,CAE18477.1,None,conserved hypothetical protein,WB44_11410,AKN61596.1,None,redox protein,1.57203E-14,,,,,,,,,,
PMM0019,CAE18478.1,None,conserved hypothetical protein,WB44_11415,AKN62402.1,None,ribosome biogenesis GTPase RsgA,1.81344E-69,,,,,,,,,,
PMM0020,CAE18479.1,None,conserved hypothetical protein,WB44_11420,AKN61597.1,None,nucleoid-associated protein,3.49307E-49,,,,,,,,,,
PMM0021,CAE18480.1,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,WB44_11425,AKN61598.1,None,UDP-N-acetylenolpyruvoylglucosamine reductase,3.80269E-93,,,,,,,,,,
PMM0022,CAE18481.1,murC,Probable UDP-N-acetylmuramate-alanine ligase,WB44_11430,AKN61599.1,None,UDP-N-acetylmuramate--alanine ligase,4.38454E-135,,,,,,,,,,
PMM0023,CAE18482.1,gap2,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),WB44_11435,AKN61600.1,None,glyceraldehyde-3-phosphate dehydrogenase,0.00000E+00,WB44_01885,AKN60075.1,None,glyceraldehyde-3-phosphate dehydrogenase,4.44141E-99,WB44_04915,AKN60560.1,None,glyceraldehyde-3-phosphate dehydrogenase,1.81761E-84
PMM0024,CAE18483.1,thiL,putative thiamine-monophosphate kinase,WB44_11440,AKN61601.1,None,thiamine monophosphate kinase,5.72541E-84,,,,,,,,,,
PMM0025,CAE18484.1,None,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,WB44_11445,AKN61602.1,None,peptidylprolyl isomerase,7.65923E-140,WB44_02030,AKN60100.1,None,peptidylprolyl isomerase,1.82941E-19,,,,,
PMM0026,CAE18485.1,efp,Elongation factor P (EF-P),WB44_11450,AKN61603.1,None,elongation factor P,4.07350E-109,,,,,,,,,,
PMM0027,CAE18486.1,"accB,fabE",Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit,WB44_11455,AKN61604.1,None,carboxylesterase,1.05521E-57,,,,,,,,,,
PMM0028,CAE18487.1,pdxA,putative pyridoxal phosphate biosynthetic protein PdxA,WB44_11460,AKN61605.1,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,8.85296E-117,,,,,,,,,,
PMM0029,CAE18488.1,None,conserved hypothetical protein,WB44_11470,AKN61607.1,None,oxidoreductase,1.45661E-95,,,,,,,,,,
PMM0031,CAE18490.1,None,HNH endonuclease:HNH nuclease,WB44_11480,AKN61609.1,None,HNH nuclease,2.68962E-68,,,,,,,,,,
PMM0032,CAE18491.1,None,possible Bacterial type II secretion system pr,WB44_11495,AKN61611.1,None,penicillin amidase,4.76075E-20,,,,,,,,,,
PMM0033,CAE18492.1,None,conserved hypothetical protein,WB44_11500,AKN61612.1,None,AbrB family transcriptional regulator,2.60548E-73,,,,,,,,,,
PMM0034,CAE18493.1,None,conserved hypothetical protein,WB44_11510,AKN61614.1,None,hypothetical protein,3.81471E-20,,,,,,,,,,
PMM0035,CAE18494.1,DHSS,soluble hydrogenase small subunit,WB44_11525,AKN61616.1,None,class V aminotransferase,0.00000E+00,WB44_04970,AKN62173.1,None,alanine--glyoxylate aminotransferase,5.41173E-54,,,,,
PMM0036,CAE18495.1,None,CbiD protein,WB44_11530,AKN61617.1,None,cobalt-precorrin-6A synthase,5.14395E-104,,,,,,,,,,
PMM0037,CAE18496.1,guaA,Glutamine amidotransferase class-I:GMP synthase,WB44_11535,AKN61618.1,guaA,GMP synthase,0.00000E+00,WB44_05275,AKN60618.1,None,carbamoyl phosphate synthase small subunit,7.14258E-11,,,,,
PMM0039,CAE18498.1,None,conserved hypothetical protein,WB44_11550,AKN61621.1,None,membrane protein,3.08305E-76,,,,,,,,,,
PMM0040,CAE18499.1,None,Putative penicillin-binding protein,WB44_11560,AKN61623.1,None,penicillin-binding protein,0.00000E+00,WB44_06960,AKN60881.1,None,cell division protein FtsI,5.17793E-28,,,,,
PMM0041,CAE18500.1,None,possible reductase,WB44_10565,AKN62372.1,None,flavoprotein,1.18276E-70,,,,,,,,,,
PMM0042,CAE18501.1,None,flavoprotein,WB44_10555,AKN61458.1,None,flavin oxidoreductase,0.00000E+00,WB44_10550,AKN61457.1,None,DeoR faimly transcriptional regulator,4.22788E-95,,,,,
PMM0043,CAE18502.1,None,flavoprotein,WB44_10550,AKN61457.1,None,DeoR faimly transcriptional regulator,0.00000E+00,WB44_10555,AKN61458.1,None,flavin oxidoreductase,3.12791E-92,WB44_05065,AKN60586.1,None,diguanylate cyclase,7.18268E-12
PMM0044,CAE18503.1,alaS,Alanyl-tRNA synthetase,WB44_10500,AKN62371.1,None,alanyl-tRNA synthetase,0.00000E+00,,,,,,,,,,
PMM0045,CAE18504.1,None,Orn/DAP/Arg decarboxylases family 2,WB44_10480,AKN61444.1,None,arginine decarboxylase,0.00000E+00,,,,,,,,,,
PMM0046,CAE18505.1,None,Nucleoside diphosphate kinase,WB44_10475,AKN61443.1,None,nucleoside diphosphate kinase,5.95304E-85,,,,,,,,,,
PMM0047,CAE18506.1,thiO,PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE,WB44_10470,AKN61442.1,None,amino acid oxidase,1.96994E-136,,,,,,,,,,
PMM0048,CAE18507.1,gatB,Glutamyl-tRNA (Gln) amidotransferase subunit B,WB44_10465,AKN61441.1,None,glutamyl-tRNA amidotransferase,0.00000E+00,,,,,,,,,,
PMM0049,CAE18508.1,coaE,putative dephospho-CoA kinase,WB44_10425,AKN61436.1,coaE,dephospho-CoA kinase,6.73782E-44,,,,,,,,,,
PMM0050,CAE18509.1,argJ,ArgJ family,WB44_10420,AKN61435.1,None,arginine biosynthesis protein ArgJ,6.71552E-147,,,,,,,,,,
PMM0051,CAE18510.1,None,conserved hypothetical protein,WB44_01770,AKN60057.1,None,plasmid partitioning protein ParA,1.78872E-78,,,,,,,,,,
PMM0052,CAE18511.1,None,Aldo/keto reductase family,WB44_13575,AKN61954.1,None,oxidoreductase,6.02648E-104,,,,,,,,,,
PMM0053,CAE18512.1,None,Putative RNA methylase family UPF0020,WB44_09065,AKN62320.1,None,RNA methyltransferase,1.58716E-128,,,,,,,,,,
PMM0054,CAE18513.1,None,conserved hypothetical protein,WB44_09070,AKN61225.1,None,membrane protein,4.03217E-48,,,,,,,,,,
PMM0055,CAE18514.1,None,conserved hypothetical protein,WB44_09075,AKN61226.1,None,hypothetical protein,3.13981E-37,,,,,,,,,,
PMM0056,CAE18515.1,None,conserved hypothetical protein,WB44_09080,AKN62321.1,None,hypothetical protein,6.82522E-17,,,,,,,,,,
PMM0057,CAE18516.1,None,"putative chromosome segregation protein, SMC ATPase superfamily",WB44_09085,AKN61227.1,None,chromosome partitioning protein ParA,0.00000E+00,,,,,,,,,,
PMM0058,CAE18517.1,None,conserved hypothetical protein,WB44_09090,AKN62322.1,None,photosystem reaction center subunit H,2.45049E-138,,,,,,,,,,
PMM0059,CAE18518.1,None,conserved hypothetical protein,WB44_09100,AKN61229.1,None,glycosyl transferase,1.07652E-145,,,,,,,,,,
PMM0060,CAE18519.1,"accC, fabG","acetyl-CoA carboxylase, biotin carboxylase subunit",WB44_09110,AKN61230.1,None,acetyl-CoA carboxylase,0.00000E+00,,,,,,,,,,
PMM0061,CAE18520.1,None,"YGGT family, conserved hypothetical integral membrane protein",WB44_09115,AKN61231.1,None,hypothetical protein,1.24351E-27,,,,,,,,,,
PMM0063,CAE18522.1,None,conserved hypothetical protein,WB44_09125,AKN61233.1,None,hypothetical protein,1.39971E-82,,,,,,,,,,
PMM0064,CAE18523.1,hli2,possible high light inducible protein,WB44_09140,AKN62323.1,None,high light inducible protein,1.36241E-16,,,,,,,,,,
PMM0065,CAE18524.1,None,"ABC transporter, ATP binding protein",WB44_09145,AKN62324.1,None,ABC transporter ATP-binding protein,0.00000E+00,WB44_12270,AKN61742.1,None,multidrug ABC transporter ATPase,6.20848E-20,WB44_03535,AKN60347.1,None,lytic murein transglycosylase,9.76011E-17
PMM0067,CAE18526.1,None,HIT (Histidine triad) family protein,WB44_09150,AKN61236.1,None,zinc-binding protein,1.07233E-50,,,,,,,,,,
PMM0068,CAE18527.1,def,putative formylmethionine deformylase,WB44_09175,AKN61241.1,None,peptide deformylase,3.71015E-90,WB44_07350,AKN60947.1,None,peptide deformylase,5.20887E-25,,,,,
PMM0069,CAE18528.1,None,Esterase/lipase/thioesterase family active site,WB44_09180,AKN61242.1,None,peptidase S9,3.57331E-108,,,,,,,,,,
PMM0070,CAE18529.1,None,putative cysteine desulfurase or selenocysteine lyase,WB44_09205,AKN61246.1,None,cysteine desulfurase,0.00000E+00,WB44_09980,AKN61366.1,None,cysteine desulfurase,9.75726E-25,WB44_04010,AKN60418.1,None,cysteine desulfurase,3.95173E-21
PMM0071,CAE18530.1,None,"ABC transporter, membrane component",WB44_09210,AKN61247.1,None,ABC transporter permease,2.25755E-74,,,,,,,,,,
PMM0072,CAE18531.1,None,"ABC transporter, ATP binding component",WB44_09215,AKN61248.1,None,ABC transporter ATP-binding protein,5.93136E-129,WB44_03610,AKN60360.1,None,ABC transporter,3.03783E-14,WB44_10935,AKN61520.1,None,urea ABC transporter ATP-binding protein,7.37452E-14
PMM0073,CAE18532.1,None,"ABC transporter, membrane component",WB44_09220,AKN61249.1,None,cysteine desulfurase,0.00000E+00,WB44_09210,AKN61247.1,None,ABC transporter permease,1.70301E-11,,,,,
PMM0075,CAE18534.1,None,conserved hypothetical protein,WB44_09250,AKN62327.1,None,Rho termination protein,4.39690E-131,,,,,,,,,,
PMM1803,CAP16305.1,None,membrane protein,WB44_09255,AKN61254.1,None,membrane protein,1.04210E-19,,,,,,,,,,
PMM0076,CAE18535.1,pgm,Phosphoglucomutase,WB44_09285,AKN61258.1,None,phosphoglucomutase,0.00000E+00,WB44_12550,AKN62435.1,None,phosphoglucosamine mutase,7.59757E-16,,,,,
PMM0077,CAE18536.1,yrvN,"putative ATPase, AAA family",WB44_09305,AKN61262.1,None,recombination protein RarA,5.05984E-154,,,,,,,,,,
PMM0078,CAE18537.1,None,possible 4'-phosphopantetheinyl transferase family protein,WB44_09320,AKN61265.1,None,4-phosphopantetheinyl transferase,6.87650E-37,,,,,,,,,,
PMM0079,CAE18538.1,bcp,putative bacterioferritin comigratory (BCP) protein,WB44_09325,AKN61266.1,None,alkyl hydroperoxide reductase,2.62582E-66,WB44_04890,AKN60556.1,None,alkyl hydroperoxide reductase,6.35700E-30,WB44_04165,AKN60441.1,None,alkyl hydroperoxide reductase,2.37472E-23
PMM0080,CAE18539.1,None,conserved hypothetical protein,WB44_09330,AKN62329.1,None,transcriptional regulator,2.12145E-35,,,,,,,,,,
PMM0081,CAE18540.1,cysH,Phosphoadenosine phosphosulfate reductase,WB44_09335,AKN62330.1,None,phosphoadenosine phosphosulfate reductase,2.39500E-94,,,,,,,,,,
PMM0082,CAE18541.1,None,"putative NADH dehydrogenase, transport associated",WB44_09340,AKN61267.1,None,3-hydroxyacyl-CoA dehydrogenase,1.16621E-85,WB44_12885,AKN61839.1,None,N-acetylglucosamine-1-phosphate uridyltransferase,1.14947E-21,,,,,
PMM0083,CAE18542.1,None,"putative sodium/sulfate transporter, DASS family",WB44_12130,AKN61720.1,None,sodium:sulfate symporter,0.00000E+00,,,,,,,,,,
PMM0084,CAE18543.1,None,"possible sodium transporter, Trk family",WB44_09350,AKN61269.1,None,potassium transporter TrkG,0.00000E+00,,,,,,,,,,
PMM0085,CAE18544.1,None,"putative potassium channel, VIC family",WB44_09355,AKN61270.1,None,potassium transporter TrkA,1.70209E-126,,,,,,,,,,
PMM0086,CAE18545.1,None,Conserved hypothetical protein,WB44_09365,AKN61272.1,None,hypothetical protein,1.10370E-33,,,,,,,,,,
PMM0087,CAE18546.1,None,conserved hypothetical protein,WB44_09370,AKN61273.1,None,hypothetical protein,2.92001E-32,,,,,,,,,,
PMM0088,CAE18547.1,None,conserved hypothetical protein,WB44_09375,AKN62331.1,None,hypothetical protein,1.42566E-23,,,,,,,,,,
PMM1804,CAP16306.1,None,Conserved hypothetical protein,WB44_09380,AKN62332.1,None,hypothetical protein,4.75641E-11,,,,,,,,,,
PMM0089,CAE18548.1,None,"ABC transporter, ATP binding component",WB44_09385,AKN62333.1,None,lysophospholipase,0.00000E+00,WB44_09385,AKN62333.1,None,lysophospholipase,3.52834E-24,WB44_08800,AKN61180.1,None,multidrug ABC transporter ATP-binding protein,6.15209E-78
PMM0090,CAE18549.1,None,possible serine protease,WB44_09395,AKN61275.1,None,serine protease,6.85721E-123,WB44_08690,AKN61164.1,None,serine protease,1.73887E-98,WB44_06615,AKN60822.1,None,serine protease,7.87772E-69
PMM0091,CAE18550.1,None,conserved hypothetical protein,WB44_09400,AKN62334.1,None,hypothetical protein,1.17947E-19,WB44_05890,AKN62221.1,None,hypothetical protein,6.03958E-13,,,,,
PMM0092,CAE18551.1,None,conserved hypothetical protein,WB44_09405,AKN61276.1,None,hypothetical protein,2.60779E-63,,,,,,,,,,
PMM0093,CAE18552.1,hli1,possible high light inducible protein,WB44_09415,AKN61278.1,None,high light inducible protein,1.96277E-21,WB44_07310,AKN60939.1,None,high light inducible protein,5.07318E-20,WB44_08110,AKN61069.1,None,high light inducible protein,6.75056E-20
PMM0095,CAE18554.1,None,similar to serum resistance locus BrkB,WB44_09440,AKN62335.1,None,serum resistance locus BrkB,7.98668E-120,,,,,,,,,,
PMM0096,CAE18555.1,None,inositol monophosphate family protein,WB44_09470,AKN62336.1,None,inositol phosphatase,1.63190E-113,WB44_04145,AKN60438.1,None,inositol monophosphatase,8.37398E-14,,,,,
PMM0097,CAE18556.1,None,possible RND family outer membrane efflux protein,WB44_09475,AKN61283.1,None,RND transporter,6.95070E-56,WB44_02675,AKN60202.1,None,transporter,2.19421E-19,,,,,
PMM0098,CAE18557.1,None,possible Fe-S oxidoreductase,WB44_09480,AKN61284.1,None,Fe-S oxidoreductase,0.00000E+00,,,,,,,,,,
PMM0099,CAE18558.1,None,conserved hypothetical protein,WB44_09490,AKN62337.1,None,membrane protein,3.03209E-67,,,,,,,,,,
PMM0100,CAE18559.1,nadB,L-aspartate oxidase,WB44_09500,AKN61287.1,None,L-aspartate oxidase,0.00000E+00,,,,,,,,,,
PMM0101,CAE18560.1,None,conserved hypothetical protein,WB44_09505,AKN61288.1,None,thioredoxin,1.71916E-93,,,,,,,,,,
PMM0102,CAE18561.1,None,possible Fe-S oxidoreductase,WB44_09510,AKN61289.1,None,ribosomal protein S12 methylthiotransferase,0.00000E+00,WB44_00805,AKN62035.1,None,(dimethylallyl)adenosine tRNA methylthiotransferase,4.89266E-53,,,,,
PMM0103,CAE18562.1,None,conserved hypothetical protein,WB44_09530,AKN61292.1,None,hypothetical protein,1.87085E-38,,,,,,,,,,
PMM0104,CAE18563.1,None,conserved hypothetical protein,WB44_09535,AKN61293.1,None,hypothetical protein,4.20208E-145,,,,,,,,,,
PMM0105,CAE18564.1,ribG,RibD/ribG C-terminal domain,WB44_09545,AKN61294.1,None,riboflavin biosynthesis protein RibD,4.13411E-46,,,,,,,,,,
PMM0106,CAE18565.1,None,6-pyruvoyl tetrahydropterin synthase,WB44_09550,AKN61295.1,None,6-pyruvoyl tetrahydropterin synthase,3.68471E-163,,,,,,,,,,
PMM0107,CAE18566.1,aroK,Shikimate kinase,WB44_09555,AKN61296.1,None,shikimate kinase,6.85464E-55,,,,,,,,,,
PMM0108,CAE18567.1,None,conserved hypothetical protein,WB44_09560,AKN61297.1,None,hypothetical protein,4.33360E-19,,,,,,,,,,
PMM0109,CAE18568.1,None,possible POLO box duplicated region.,WB44_09565,AKN61298.1,None,POLO box duplicated region,1.76579E-40,,,,,,,,,,
PMM0110,CAE18569.1,None,putative glutathione S-transferase,WB44_09570,AKN61299.1,None,glutathione S-transferase,3.43521E-83,,,,,,,,,,
PMM0111,CAE18570.1,None,conserved hypothetical protein,WB44_09575,AKN62340.1,None,membrane protein,8.42555E-14,,,,,,,,,,
PMM0112,CAE18571.1,rbfA,Ribosome-binding factor A,WB44_09580,AKN61300.1,None,ribosome-binding factor A,1.93227E-30,,,,,,,,,,
PMM0113,CAE18572.1,hemD,putative uroporphyrinogen III synthase,WB44_09595,AKN61303.1,None,uroporphyrinogen-III synthase,8.17786E-98,,,,,,,,,,
PMM0114,CAE18573.1,None,conserved hypothetical protein,WB44_09605,AKN61304.1,None,membrane protein,5.04718E-63,,,,,,,,,,
PMM0115,CAE18574.1,crtQ,zeta-carotene desaturase,WB44_09610,AKN62342.1,None,zeta-carotene desaturase,0.00000E+00,WB44_09800,AKN61336.1,None,phytoene desaturase,7.40392E-84,,,,,
PMM0116,CAE18575.1,None,conserved hypothetical protein,WB44_09615,AKN61305.1,None,Fe-S cluster assembly protein HesB,2.66948E-59,,,,,,,,,,
PMM0117,CAE18576.1,None,conserved hypothetical protein,WB44_09620,AKN61306.1,None,hypothetical protein,5.19526E-43,,,,,,,,,,
PMM0118,CAE18577.1,None,conserved hypothetical protein,WB44_09625,AKN61307.1,None,hypothetical protein,1.65762E-114,WB44_13550,AKN62455.1,None,sugar synthetase,2.70629E-28,,,,,
PMM0119,CAE18578.1,None,conserved hypothetical protein,WB44_09630,AKN61308.1,None,hypothetical protein,1.29124E-13,,,,,,,,,,
PMM0120,CAE18579.1,None,putative cell division inhibitor,WB44_09635,AKN61309.1,None,multidrug MFS transporter,3.67155E-107,,,,,,,,,,
PMM0121,CAE18580.1,None,conserved hypothetical protein,WB44_09645,AKN61311.1,None,NAD(P)H-quinone oxidoreductase,2.32891E-28,,,,,,,,,,
PMM0122,CAE18581.1,None,possible heat shock protein DnaJ,WB44_09650,AKN61312.1,None,molecular chaperone DnaJ,1.17913E-65,,,,,,,,,,
PMM0123,CAE18582.1,cysK2,O-acetylserine (thiol)-lyase A,WB44_09655,AKN61313.1,None,cysteine synthase,4.51009E-137,WB44_00345,AKN59827.1,None,cysteine synthase,2.82583E-84,,,,,
PMM0124,CAE18583.1,None,conserved hypothetical protein in cyanobacteria,WB44_09700,AKN62345.1,None,hypothetical protein,6.73613E-30,,,,,,,,,,
PMM0125,CAE18584.1,None,"possible ABC transporter, ATP-binding component",WB44_09705,AKN61319.1,None,cobalt ABC transporter,3.93019E-69,WB44_05370,AKN60634.1,None,ABC transporter,2.47441E-20,WB44_12975,AKN61854.1,None,glycine/betaine ABC transporter ATP-binding protein,3.11105E-20
PMM0128,CAE18587.1,rpaA,two-component response regulator,WB44_09715,AKN61320.1,None,chemotaxis protein CheY,3.64926E-155,WB44_09745,AKN61326.1,None,XRE family transcriptional regulator,6.43063E-55,WB44_11925,AKN61681.1,None,XRE family transcriptional regulator,2.45357E-48
PMM0129,CAE18588.1,holB,"DNA polymerase III, delta prime subunit",WB44_09720,AKN61321.1,None,DNA polymerase III subunit delta',1.56163E-69,,,,,,,,,,
PMM0130,CAE18589.1,None,Thymidylate kinase,WB44_09725,AKN61322.1,None,thymidylate kinase,1.55085E-75,,,,,,,,,,
PMM0131,CAE18590.1,None,putative P-type ATPase transporter for copper,WB44_09730,AKN61323.1,None,ATPase P,0.00000E+00,,,,,,,,,,
PMM0132,CAE18591.1,None,cyanobacterial conserved hypothetical,WB44_09735,AKN61324.1,None,Photosystem I assembly protein ycf3,8.31791E-93,,,,,,,,,,
PMM0133,CAE18592.1,radA,putative DNA repair protein RadA,WB44_09740,AKN61325.1,None,DNA repair protein RadA,2.21696E-152,,,,,,,,,,
PMM0134,CAE18593.1,rpaB,two-component response regulator,WB44_09745,AKN61326.1,None,XRE family transcriptional regulator,3.98469E-156,WB44_11925,AKN61681.1,None,XRE family transcriptional regulator,1.66805E-89,WB44_09715,AKN61320.1,None,chemotaxis protein CheY,7.25390E-53
PMM0135,CAE18594.1,plsX,fatty acid/phospholipid synthesis protein PlsX,WB44_09750,AKN61327.1,None,glycerol-3-phosphate acyltransferase,0.00000E+00,,,,,,,,,,
PMM0136,CAE18595.1,fabH,3-oxoacyl-[acyl-carrier-protein,WB44_09755,AKN62346.1,None,3-oxoacyl-ACP synthase,2.10157E-143,,,,,,,,,,
PMM0137,CAE18596.1,fabD,Malonyl coenzyme A-acyl carrier protein transacylase,WB44_09760,AKN61328.1,None,malonyl CoA-ACP transacylase,6.60497E-100,,,,,,,,,,
PMM0138,CAE18597.1,plsC,putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,WB44_09765,AKN61329.1,None,acyl-phosphate glycerol 3-phosphate acyltransferase,1.15821E-72,,,,,,,,,,
PMM0139,CAE18598.1,None,conserved hypothetical protein,WB44_09775,AKN61331.1,None,hypothetical protein,2.61666E-38,,,,,,,,,,
PMM0140,CAE18599.1,ycf34,putative Ycf34,WB44_09780,AKN61332.1,None,hypothetical protein,2.54089E-29,,,,,,,,,,
PMM0141,CAE18600.1,None,Poly A polymerase family,WB44_09785,AKN61333.1,None,tRNA nucleotidyltransferase,2.40713E-80,,,,,,,,,,
PMM0142,CAE18601.1,None,RNA-binding region RNP-1 (RNA recognition motif),WB44_09790,AKN61334.1,None,RNA-binding protein,2.31436E-50,,,,,,,,,,
PMM0143,CAE18602.1,"crtB,pys",Squalene and phytoene synthases,WB44_09795,AKN61335.1,None,phytoene synthase,6.72497E-157,,,,,,,,,,
PMM0144,CAE18603.1,"pds,crtD",phytoene desaturase,WB44_09800,AKN61336.1,None,phytoene desaturase,0.00000E+00,WB44_09610,AKN62342.1,None,zeta-carotene desaturase,2.00319E-77,,,,,
PMM0145,CAE18604.1,None,conserved hypothetical protein,WB44_09805,AKN62347.1,None,NAD(P)H-quinone oxidoreductase,4.08973E-53,,,,,,,,,,
PMM0146,CAE18605.1,None,conserved hypothetical protein,WB44_09810,AKN61337.1,None,hypothetical protein,6.05019E-87,,,,,,,,,,
PMM0147,CAE18606.1,rbcR,putative Rubisco transcriptional regulator,WB44_09815,AKN61338.1,None,transcriptional regulator,0.00000E+00,,,,,,,,,,
PMM0148,CAE18607.1,None,conserved hypothetical protein,WB44_09820,AKN62348.1,None,membrane protein,6.73378E-109,,,,,,,,,,
PMM0149,CAE18608.1,ndhF,putative NADH Dehydrogenase (complex I) subunit (chain 5),WB44_09825,AKN61339.1,None,NAD(P)H-quinone oxidoreductase subunit F,0.00000E+00,WB44_06715,AKN60839.1,None,NAD(P)H-quinone oxidoreductase subunit F,5.16680E-57,WB44_06710,AKN62248.1,None,NAD(P)H-quinone oxidoreductase subunit D4,1.47896E-21
PMM0150,CAE18609.1,ndhD,putative NADH dehydrogenase subunit (chain 4),WB44_09830,AKN61340.1,None,NAD(P)H-quinone oxidoreductase subunit 4,0.00000E+00,WB44_06305,AKN60770.1,None,NAD(P)H-quinone oxidoreductase subunit 4,9.16033E-173,WB44_06710,AKN62248.1,None,NAD(P)H-quinone oxidoreductase subunit D4,1.49343E-86
PMM0151,CAE18610.1,None,conserved hypothetical protein,WB44_09840,AKN61342.1,None,segregation and condensation protein A,1.81938E-85,,,,,,,,,,
PMM0152,CAE18611.1,None,Putative sugar-phosphate nucleotidyl transferase,WB44_09845,AKN61343.1,None,mannose-1-phosphate guanyltransferase,0.00000E+00,WB44_05485,AKN60650.1,glgC,glucose-1-phosphate adenylyltransferase,3.80288E-15,,,,,
PMM0153,CAE18612.1,None,conserved hypothetical protein,WB44_09850,AKN61344.1,None,methylenetetrahydrofolate reductase,8.36871E-126,,,,,,,,,,
PMM0154,CAE18613.1,None,"Bacterial regulatory protein, LuxR family",WB44_09855,AKN61345.1,None,LuxR family transcriptional regulator,3.29444E-48,WB44_09970,AKN61364.1,None,chemotaxis protein CheY,3.38548E-12,WB44_13880,AKN62009.1,None,LuxR family transcriptional regulator,7.70424E-12
PMM0155,CAE18614.1,None,conserved hypothetical protein,WB44_09860,AKN61346.1,None,adenylate cyclase,1.45382E-35,,,,,,,,,,
PMM0156,CAE18615.1,None,predicted inorganic polyphosphate / ATP-NAD+ kinase,WB44_09865,AKN61347.1,None,inorganic polyphosphate kinase,2.29351E-79,WB44_01130,AKN59956.1,ppnK,inorganic polyphosphate kinase,4.03378E-28,,,,,
