[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[evalue=1.10156E-156]
[locus_tag=PMM0019],[protein_id=CAE18478.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0025],[protein_id=CAK22451.1],[gene=engC],[protein=Probable GTPase engC],[evalue=1.13079E-75]
[locus_tag=PMM0020],[protein_id=CAE18479.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0026],[protein_id=CAK22452.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=9.82060E-50]
[locus_tag=PMM0021],[protein_id=CAE18480.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[locus_tag=SynWH7803_0027],[protein_id=CAK22453.1],[gene=murB],[protein=UDP-N-acetylmuramate dehydrogenase],[evalue=4.56055E-89]
[locus_tag=PMM0022],[protein_id=CAE18481.1],[gene=murC],[protein=Probable UDP-N-acetylmuramate-alanine ligase],[locus_tag=SynWH7803_0028],[protein_id=CAK22454.1],[gene=murC],[protein=UDP-N-acetylmuramate-alanine ligase],[evalue=5.24626E-133]
[locus_tag=PMM0023],[protein_id=CAE18482.1],[gene=gap2],[protein=Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)],[locus_tag=SynWH7803_0029],[protein_id=CAK22455.1],[gene=gap1],[protein=Glyceraldehyde-3-phosphate dehydrogenase],[evalue=0.00000E+00],[locus_tag=SynWH7803_1460],[protein_id=CAK23886.1],[gene=gap3],[protein=Glyceraldehyde-3-phosphate dehydrogenase],[evalue=5.71536E-97],[locus_tag=SynWH7803_0789],[protein_id=CAK23215.1],"[gene=gapA, gap1]",[protein=Glyceraldehyde-3-phosphate dehydrogenase],[evalue=1.05511E-93]
[locus_tag=PMM0024],[protein_id=CAE18483.1],[gene=thiL],[protein=putative thiamine-monophosphate kinase],[locus_tag=SynWH7803_0030],[protein_id=CAK22456.1],[gene=thiL],[protein=Thiamine monophosphate kinase],[evalue=6.85659E-86]
[locus_tag=PMM0025],[protein_id=CAE18484.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[locus_tag=SynWH7803_0031],[protein_id=CAK22457.1],[gene=None],[protein=Peptidyl-prolyl cis-trans isomerase],[evalue=4.30119E-143],[locus_tag=SynWH7803_1645],[protein_id=CAK24071.1],[gene=ppiB],[protein=Peptidyl-prolyl cis-trans isomerase],[evalue=8.09315E-20]
[locus_tag=PMM0026],[protein_id=CAE18485.1],[gene=efp],[protein=Elongation factor P (EF-P)],[locus_tag=SynWH7803_0032],[protein_id=CAK22458.1],[gene=efp],[protein=Translation elongation factor P],[evalue=8.41939E-111]
[locus_tag=PMM0027],[protein_id=CAE18486.1],"[gene=accB,fabE]",[protein=Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit],[locus_tag=SynWH7803_0033],[protein_id=CAK22459.1],[gene=accB],[protein=Biotin carboxyl carrier protein of acetyl-CoA carboxylase],[evalue=9.17510E-58]
[locus_tag=PMM0028],[protein_id=CAE18487.1],[gene=pdxA],[protein=putative pyridoxal phosphate biosynthetic protein PdxA],[locus_tag=SynWH7803_0034],[protein_id=CAK22460.1],[gene=pdxA],[protein=4-hydroxythreonine-4-phosphate dehydrogenase],[evalue=2.62510E-112]
[locus_tag=PMM0029],[protein_id=CAE18488.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0036],[protein_id=CAK22462.1],[gene=wcaG],[protein=Nucleoside-diphosphate-sugar epimerase],[evalue=4.21771E-102]
[locus_tag=PMM0031],[protein_id=CAE18490.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[locus_tag=SynWH7803_0038],[protein_id=CAK22464.1],[gene=None],[protein=McrA/HNH family nuclease],[evalue=1.32472E-72]
[locus_tag=PMM0032],[protein_id=CAE18491.1],[gene=None],[protein=possible Bacterial type II secretion system pr],[locus_tag=SynWH7803_0041],[protein_id=CAK22467.1],[gene=None],[protein=Conserved hypothetical protein a with signal peptide],[evalue=3.87692E-19]
[locus_tag=PMM0033],[protein_id=CAE18492.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0042],[protein_id=CAK22468.1],[gene=None],[protein=Uncharacterized AbrB family conserved membrane protein],[evalue=1.45792E-64]
[locus_tag=PMM0034],[protein_id=CAE18493.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0044],[protein_id=CAK22470.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=8.64606E-22]
[locus_tag=PMM0035],[protein_id=CAE18494.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[locus_tag=SynWH7803_0046],[protein_id=CAK22472.1],[gene=None],"[protein=DHSS soluble hydrogenase, small subunit]",[evalue=4.35718E-179],[locus_tag=SynWH7803_1345],[protein_id=CAK23771.1],"[gene=spt, agt]",[protein=Alanine--glyoxylate transaminase],[evalue=1.21076E-54]
[locus_tag=PMM0036],[protein_id=CAE18495.1],[gene=None],[protein=CbiD protein],[locus_tag=SynWH7803_0047],[protein_id=CAK22473.1],[gene=cbiD],[protein=Cobalamin biosynthesis protein CbiD],[evalue=7.35028E-101]
[locus_tag=PMM0037],[protein_id=CAE18496.1],[gene=guaA],[protein=Glutamine amidotransferase class-I:GMP synthase],[locus_tag=SynWH7803_0048],[protein_id=CAK22474.1],[gene=guaA],[protein=GMP synthase (glutamine-hydrolyzing)],[evalue=0.00000E+00]
[locus_tag=PMM0039],[protein_id=CAE18498.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0049],[protein_id=CAK22475.1],[gene=None],[protein=Conserved hyothetical protein],[evalue=1.89109E-79]
[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein],[locus_tag=SynWH7803_0051],[protein_id=CAK22477.1],[gene=None],[protein=Cell division protein FtsI / penicillin-binding protein 2],[evalue=0.00000E+00],[locus_tag=SynWH7803_0633],[protein_id=CAK23059.1],[gene=ftsI],[protein=Possible peptidoglycan synthetase],[evalue=2.36033E-21]
[locus_tag=PMM0041],[protein_id=CAE18500.1],[gene=None],[protein=possible reductase],[locus_tag=SynWH7803_2407],[protein_id=CAK24833.1],[gene=None],[protein=Predicted flavoprotein],[evalue=4.70545E-55]
[locus_tag=PMM0042],[protein_id=CAE18501.1],[gene=None],[protein=flavoprotein],[locus_tag=SynWH7803_2406],[protein_id=CAK24832.1],[gene=dfa],[protein=Diflavin flavoprotein A],[evalue=0.00000E+00],[locus_tag=SynWH7803_2405],[protein_id=CAK24831.1],[gene=dfa],[protein=Diflavin flavoprotein A],[evalue=4.13336E-98],[locus_tag=SynWH7803_1358],[protein_id=CAK23784.1],[gene=None],[protein=Flavin reductase like domain protein],[evalue=5.90896E-13]
[locus_tag=PMM0043],[protein_id=CAE18502.1],[gene=None],[protein=flavoprotein],[locus_tag=SynWH7803_2405],[protein_id=CAK24831.1],[gene=dfa],[protein=Diflavin flavoprotein A],[evalue=0.00000E+00],[locus_tag=SynWH7803_2406],[protein_id=CAK24832.1],[gene=dfa],[protein=Diflavin flavoprotein A],[evalue=8.54875E-90]
[locus_tag=PMM0044],[protein_id=CAE18503.1],[gene=alaS],[protein=Alanyl-tRNA synthetase],[locus_tag=SynWH7803_2398],[protein_id=CAK24824.1],[gene=alaS],[protein=Alanyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0045],[protein_id=CAE18504.1],[gene=None],[protein=Orn/DAP/Arg decarboxylases family 2],[locus_tag=SynWH7803_2389],[protein_id=CAK24815.1],[gene=speA],[protein=Arginine decarboxylase],[evalue=0.00000E+00]
[locus_tag=PMM0046],[protein_id=CAE18505.1],[gene=None],[protein=Nucleoside diphosphate kinase],[locus_tag=SynWH7803_2388],[protein_id=CAK24814.1],[gene=ndk],[protein=Nucleoside diphosphate kinase],[evalue=3.44852E-85]
[locus_tag=PMM0047],[protein_id=CAE18506.1],[gene=thiO],[protein=PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE],[locus_tag=SynWH7803_2386],[protein_id=CAK24812.1],[gene=None],[protein=Glycine/D-amino acid oxidase family enzyme],[evalue=1.95029E-129],[locus_tag=SynWH7803_2512],[protein_id=CAK24938.1],[gene=None],[protein=Glycine/D-amino acid oxidases (deaminating)],[evalue=1.58983E-12]
[locus_tag=PMM0048],[protein_id=CAE18507.1],[gene=gatB],[protein=Glutamyl-tRNA (Gln) amidotransferase subunit B],[locus_tag=SynWH7803_2385],[protein_id=CAK24811.1],[gene=gatB],[protein=Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B],[evalue=0.00000E+00]
[locus_tag=PMM0049],[protein_id=CAE18508.1],[gene=coaE],[protein=putative dephospho-CoA kinase],[locus_tag=SynWH7803_2384],[protein_id=CAK24810.1],[gene=coaE],[protein=Dephospho-CoA kinase],[evalue=3.80589E-55]
[locus_tag=PMM0050],[protein_id=CAE18509.1],[gene=argJ],[protein=ArgJ family],[locus_tag=SynWH7803_2383],[protein_id=CAK24809.1],[gene=argJ],[protein=Arginine biosynthesis bifunctional protein argJ (Glutamate N-acetyltransferase / Amino-acid acetyltransferase)],[evalue=2.58215E-154]
[locus_tag=PMM0052],[protein_id=CAE18511.1],[gene=None],[protein=Aldo/keto reductase family],[locus_tag=SynWH7803_0470],[protein_id=CAK22896.1],[gene=None],[protein=Possible oxidoreductase],[evalue=1.73935E-101]
[locus_tag=PMM0053],[protein_id=CAE18512.1],[gene=None],[protein=Putative RNA methylase family UPF0020],[locus_tag=SynWH7803_2120],[protein_id=CAK24546.1],[gene=None],[protein=Predicted N6-adenine-specific DNA methylase],[evalue=4.73292E-135]
[locus_tag=PMM0054],[protein_id=CAE18513.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2121],[protein_id=CAK24547.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=1.85505E-42]
[locus_tag=PMM0055],[protein_id=CAE18514.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2122],[protein_id=CAK24548.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=2.00887E-41]
[locus_tag=PMM0056],[protein_id=CAE18515.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2123],[protein_id=CAK24549.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.56929E-14]
[locus_tag=PMM0057],[protein_id=CAE18516.1],[gene=None],"[protein=putative chromosome segregation protein, SMC ATPase superfamily]",[locus_tag=SynWH7803_2124],[protein_id=CAK24550.1],[gene=smc],[protein=Chromosome segregation ATPase],[evalue=0.00000E+00]
[locus_tag=PMM0058],[protein_id=CAE18517.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2125],[protein_id=CAK24551.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.09740E-132]
[locus_tag=PMM0059],[protein_id=CAE18518.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2127],[protein_id=CAK24553.1],[gene=None],[protein=Distantly related to Glycosyltransferase of family GT19],[evalue=8.10050E-139]
[locus_tag=PMM0060],[protein_id=CAE18519.1],"[gene=accC, fabG]","[protein=acetyl-CoA carboxylase, biotin carboxylase subunit]",[locus_tag=SynWH7803_2128],[protein_id=CAK24554.1],[gene=accC],[protein=Biotin carboxylase (A subunit of acetyl-CoA carboxylase)],[evalue=0.00000E+00],[locus_tag=SynWH7803_1429],[protein_id=CAK23855.1],[gene=carB],[protein=Carbamoylphosphate synthase large subunit],[evalue=2.84493E-12]
[locus_tag=PMM0061],[protein_id=CAE18520.1],[gene=None],"[protein=YGGT family, conserved hypothetical integral membrane protein]",[locus_tag=SynWH7803_2129],[protein_id=CAK24555.1],[gene=None],[protein=YGGT family membrane protein],[evalue=3.74702E-28]
[locus_tag=PMM0063],[protein_id=CAE18522.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2131],[protein_id=CAK24557.1],[gene=None],[protein=Conserved hypothetical protein with a ycf66 N-terminal domain],[evalue=3.55889E-85]
[locus_tag=PMM0064],[protein_id=CAE18523.1],[gene=hli2],[protein=possible high light inducible protein],[locus_tag=SynWH7803_2134],[protein_id=CAK24560.1],[gene=hli],[protein=High light inducible protein],[evalue=4.69152E-17]
[locus_tag=PMM0065],[protein_id=CAE18524.1],[gene=None],"[protein=ABC transporter, ATP binding protein]",[locus_tag=SynWH7803_2135],[protein_id=CAK24561.1],[gene=None],[protein=ABC-type uncharacterized transport system permease and ATPase component],[evalue=0.00000E+00],[locus_tag=SynWH7803_0223],[protein_id=CAK22649.1],[gene=None],"[protein=Possible ABC-type multidrug transport system, ATPase and permease components]",[evalue=3.63160E-18],[locus_tag=SynWH7803_0557],[protein_id=CAK22983.1],[gene=None],"[protein=ABC-type multidrug transport system, ATPase and permease components]",[evalue=5.01424E-18]
[locus_tag=PMM0067],[protein_id=CAE18526.1],[gene=None],[protein=HIT (Histidine triad) family protein],[locus_tag=SynWH7803_2136],[protein_id=CAK24562.1],[gene=None],[protein=HIT family hydrolase],[evalue=9.94710E-44]
[locus_tag=PMM0068],[protein_id=CAE18527.1],[gene=def],[protein=putative formylmethionine deformylase],[locus_tag=SynWH7803_2141],[protein_id=CAK24567.1],[gene=def],[protein=Peptide deformylase],[evalue=1.46061E-92],[locus_tag=SynWH7803_2339],[protein_id=CAK24765.1],[gene=def],[protein=Peptide deformylase],[evalue=1.57858E-26]
[locus_tag=PMM0069],[protein_id=CAE18528.1],[gene=None],[protein=Esterase/lipase/thioesterase family active site],[locus_tag=SynWH7803_2142],[protein_id=CAK24568.1],[gene=None],[protein=Dipeptidyl aminopeptidase family enzyme],[evalue=4.54620E-115],[locus_tag=SynWH7803_2320],[protein_id=CAK24746.1],[gene=None],[protein=Dipeptidyl aminopeptidase/acylaminoacyl-peptidase],[evalue=8.69290E-19]
[locus_tag=PMM0070],[protein_id=CAE18529.1],[gene=None],[protein=putative cysteine desulfurase or selenocysteine lyase],[locus_tag=SynWH7803_2147],[protein_id=CAK24573.1],[gene=csd],[protein=Selenocysteine lyase],[evalue=0.00000E+00],[locus_tag=SynWH7803_2311],[protein_id=CAK24737.1],[gene=None],[protein=Cysteine desulfurase],[evalue=3.82829E-26],[locus_tag=SynWH7803_1263],[protein_id=CAK23689.1],[gene=nifS],[protein=Cysteine desulfurase],[evalue=4.64141E-24]
[locus_tag=PMM0071],[protein_id=CAE18530.1],[gene=None],"[protein=ABC transporter, membrane component]",[locus_tag=SynWH7803_2148],[protein_id=CAK24574.1],[gene=sufD],"[protein=SufD protein, Fe-S cluster assembly]",[evalue=6.52880E-70],[locus_tag=SynWH7803_2150],[protein_id=CAK24576.1],[gene=sufB],"[protein=SufB protein, Fe-Scluster assembly]",[evalue=8.98911E-11]
[locus_tag=PMM0072],[protein_id=CAE18531.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[locus_tag=SynWH7803_2149],[protein_id=CAK24575.1],[gene=sufC],[protein=FeS assembly ATPase SufC],[evalue=1.69107E-133],[locus_tag=SynWH7803_1332],[protein_id=CAK23758.1],[gene=devA],[protein=DevA-like ABC transporter ATPase component],[evalue=4.46624E-14],[locus_tag=SynWH7803_1231],[protein_id=CAK23657.1],[gene=malK],"[protein=ABC-type sugar transport system, ATPase component]",[evalue=6.71868E-12]
[locus_tag=PMM0073],[protein_id=CAE18532.1],[gene=None],"[protein=ABC transporter, membrane component]",[locus_tag=SynWH7803_2150],[protein_id=CAK24576.1],[gene=sufB],"[protein=SufB protein, Fe-Scluster assembly]",[evalue=0.00000E+00]
[locus_tag=PMM0075],[protein_id=CAE18534.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2157],[protein_id=CAK24583.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.27282E-135]
[locus_tag=PMM1803],[protein_id=CAP16305.1],[gene=None],[protein=membrane protein],[locus_tag=SynWH7803_2158],[protein_id=CAK24584.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=1.10388E-19]
[locus_tag=PMM0076],[protein_id=CAE18535.1],[gene=pgm],[protein=Phosphoglucomutase],[locus_tag=SynWH7803_2164],[protein_id=CAK24590.1],[gene=pmg],[protein=Phosphoglucomutase],[evalue=0.00000E+00],[locus_tag=SynWH7803_0278],[protein_id=CAK22704.1],[gene=None],[protein=Phosphoglucomutase/phosphomannomutase family],[evalue=2.35280E-18]
[locus_tag=PMM0077],[protein_id=CAE18536.1],[gene=yrvN],"[protein=putative ATPase, AAA family]",[locus_tag=SynWH7803_2168],[protein_id=CAK24594.1],[gene=None],[protein=ATPase related to the helicase subunit of the Holliday junction resolvase],[evalue=5.41140E-160]
[locus_tag=PMM0078],[protein_id=CAE18537.1],[gene=None],[protein=possible 4'-phosphopantetheinyl transferase family protein],[locus_tag=SynWH7803_2171],[protein_id=CAK24597.1],[gene=None],[protein=4'-phosphopantetheinyl transferase related protein],[evalue=7.98401E-38]
[locus_tag=PMM0079],[protein_id=CAE18538.1],[gene=bcp],[protein=putative bacterioferritin comigratory (BCP) protein],[locus_tag=SynWH7803_2172],[protein_id=CAK24598.1],[gene=bcp],[protein=Peroxiredoxin],[evalue=6.42838E-72],[locus_tag=SynWH7803_1042],[protein_id=CAK23468.1],[gene=None],[protein=Peroxiredoxin],[evalue=2.15209E-32],[locus_tag=SynWH7803_1236],[protein_id=CAK23662.1],[gene=ccp],[protein=Peroxiredoxin],[evalue=2.80614E-22]
[locus_tag=PMM0080],[protein_id=CAE18539.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2173],[protein_id=CAK24599.1],[gene=None],[protein=Predicted transcriptional regulator],[evalue=1.04916E-31]
[locus_tag=PMM0081],[protein_id=CAE18540.1],[gene=cysH],[protein=Phosphoadenosine phosphosulfate reductase],[locus_tag=SynWH7803_2174],[protein_id=CAK24600.1],[gene=cysH],[protein=Phosphoadenosine phosphosulfate reductase (PAPS reductase)],[evalue=6.73397E-103]
[locus_tag=PMM0082],[protein_id=CAE18541.1],[gene=None],"[protein=putative NADH dehydrogenase, transport associated]",[locus_tag=SynWH7803_2175],[protein_id=CAK24601.1],[gene=ndh],"[protein=NADH dehydrogenase, FAD-containing subunit]",[evalue=3.29661E-93],[locus_tag=SynWH7803_0345],[protein_id=CAK22771.1],"[gene=ndh, ndbA]",[protein=NADH dehydrogenase],[evalue=1.19420E-22]
[locus_tag=PMM0083],[protein_id=CAE18542.1],[gene=None],"[protein=putative sodium/sulfate transporter, DASS family]",[locus_tag=SynWH7803_2177],[protein_id=CAK24603.1],[gene=citT],[protein=Di/tricarboxylate transporter],[evalue=0.00000E+00]
[locus_tag=PMM0084],[protein_id=CAE18543.1],[gene=None],"[protein=possible sodium transporter, Trk family]",[locus_tag=SynWH7803_2178],[protein_id=CAK24604.1],[gene=ktrB/ntpJ],"[protein=Sodium transporter, Trk family]",[evalue=0.00000E+00]
[locus_tag=PMM0085],[protein_id=CAE18544.1],[gene=None],"[protein=putative potassium channel, VIC family]",[locus_tag=SynWH7803_2179],[protein_id=CAK24605.1],[gene=trkA],"[protein=K+ transport system, NAD-binding component]",[evalue=8.38337E-128]
[locus_tag=PMM0086],[protein_id=CAE18545.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=SynWH7803_2181],[protein_id=CAK24607.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.74499E-32]
[locus_tag=PMM0087],[protein_id=CAE18546.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2182],[protein_id=CAK24608.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.77372E-32]
[locus_tag=PMM0088],[protein_id=CAE18547.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2183],[protein_id=CAK24609.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.95960E-20]
[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[locus_tag=SynWH7803_2185],[protein_id=CAK24611.1],[gene=uup],[protein=ATPase component of ABC transporter with duplicated ATPase domain],[evalue=0.00000E+00],[locus_tag=SynWH7803_2185],[protein_id=CAK24611.1],[gene=uup],[protein=ATPase component of ABC transporter with duplicated ATPase domain],[evalue=8.19500E-24],[locus_tag=SynWH7803_2185],[protein_id=CAK24611.1],[gene=uup],[protein=ATPase component of ABC transporter with duplicated ATPase domain],[evalue=1.36883E-18]
[locus_tag=PMM1805],[protein_id=CAP16307.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=SynWH7803_2186],[protein_id=CAK24612.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=6.22649E-12]
[locus_tag=PMM0090],[protein_id=CAE18549.1],[gene=None],[protein=possible serine protease],[locus_tag=SynWH7803_2187],[protein_id=CAK24613.1],[gene=degQ],[protein=Periplasmic trypsin-like serine protease],[evalue=8.07528E-115],[locus_tag=SynWH7803_2067],[protein_id=CAK24493.1],[gene=degQ],"[protein=Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain]",[evalue=2.35714E-93],[locus_tag=SynWH7803_0701],[protein_id=CAK23127.1],[gene=None],[protein=Serine protease],[evalue=6.44671E-65]
[locus_tag=PMM0091],[protein_id=CAE18550.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2188],[protein_id=CAK24614.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=5.46079E-22],[locus_tag=SynWH7803_1000],[protein_id=CAK23426.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=1.45871E-15]
