[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=PMM0012],[protein_id=CAE18471.1],[gene=argH],[protein=None],[locus_tag=PMM0012],[protein_id=CAE18471.1],[gene=argH],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1465],[protein_id=CAE19924.1],[gene=purB],[protein=None],[evalue=1.10632E-16]
[locus_tag=PMM0013],[protein_id=CAE18472.1],[gene=None],[protein=None],[locus_tag=PMM0013],[protein_id=CAE18472.1],[gene=None],[protein=None],[evalue=1.21580E-150],[locus_tag=PMM1376],[protein_id=CAE19835.1],[gene=rbpD],[protein=RNA-binding protein RbpD],[evalue=3.78842E-32]
[locus_tag=PMM0014],[protein_id=CAE18473.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0014],[protein_id=CAE18473.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00],[locus_tag=PMM1009],[protein_id=CAE19468.1],[gene=None],[protein=putative nitrogen regulation protein NifR3 family homolog],[evalue=6.11031E-30]
[locus_tag=PMM0015],[protein_id=CAE18474.1],[gene=None],[protein=Domain of unknown function DUF25],[locus_tag=PMM0015],[protein_id=CAE18474.1],[gene=None],[protein=Domain of unknown function DUF25],[evalue=3.30017E-125]
[locus_tag=PMM0016],[protein_id=CAE18475.1],[gene=grpE],[protein=Heat shock protein GrpE],[locus_tag=PMM0016],[protein_id=CAE18475.1],[gene=grpE],[protein=Heat shock protein GrpE],[evalue=1.16796E-175]
[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=0.00000E+00],[locus_tag=PMM0896],[protein_id=CAE19355.1],[gene=dnaJ2],[protein=DnaJ2 protein],[evalue=3.03807E-17]
[locus_tag=PMM0018],[protein_id=CAE18477.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0018],[protein_id=CAE18477.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.87023E-51]
[locus_tag=PMM0019],[protein_id=CAE18478.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0019],[protein_id=CAE18478.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0020],[protein_id=CAE18479.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0020],[protein_id=CAE18479.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.68433E-82]
[locus_tag=PMM0021],[protein_id=CAE18480.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[locus_tag=PMM0021],[protein_id=CAE18480.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[evalue=0.00000E+00]
[locus_tag=PMM0022],[protein_id=CAE18481.1],[gene=murC],[protein=Probable UDP-N-acetylmuramate-alanine ligase],[locus_tag=PMM0022],[protein_id=CAE18481.1],[gene=murC],[protein=Probable UDP-N-acetylmuramate-alanine ligase],[evalue=0.00000E+00]
[locus_tag=PMM0023],[protein_id=CAE18482.1],[gene=gap2],[protein=None],[locus_tag=PMM0023],[protein_id=CAE18482.1],[gene=gap2],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0713],[protein_id=CAE19172.1],[gene=gap1],[protein=Putative glyceraldehyde 3-phosphate dehydrogenase],[evalue=2.44176E-89]
[locus_tag=PMM0024],[protein_id=CAE18483.1],[gene=thiL],[protein=putative thiamine-monophosphate kinase],[locus_tag=PMM0024],[protein_id=CAE18483.1],[gene=thiL],[protein=putative thiamine-monophosphate kinase],[evalue=0.00000E+00]
[locus_tag=PMM0025],[protein_id=CAE18484.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[locus_tag=PMM0025],[protein_id=CAE18484.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=0.00000E+00]
[locus_tag=PMM0026],[protein_id=CAE18485.1],[gene=efp],[protein=None],[locus_tag=PMM0026],[protein_id=CAE18485.1],[gene=efp],[protein=None],[evalue=9.11269E-138]
[locus_tag=PMM0027],[protein_id=CAE18486.1],[gene=None],[protein=None],[locus_tag=PMM0027],[protein_id=CAE18486.1],[gene=None],[protein=None],[evalue=5.96713E-124]
[locus_tag=PMM0028],[protein_id=CAE18487.1],[gene=pdxA],[protein=putative pyridoxal phosphate biosynthetic protein PdxA],[locus_tag=PMM0028],[protein_id=CAE18487.1],[gene=pdxA],[protein=putative pyridoxal phosphate biosynthetic protein PdxA],[evalue=0.00000E+00]
[locus_tag=PMM0029],[protein_id=CAE18488.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0029],[protein_id=CAE18488.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0030],[protein_id=CAE18489.1],[gene=None],[protein=None],[locus_tag=PMM0030],[protein_id=CAE18489.1],[gene=None],[protein=None],[evalue=9.95252E-68]
[locus_tag=PMM0031],[protein_id=CAE18490.1],[gene=None],[protein=None],[locus_tag=PMM0031],[protein_id=CAE18490.1],[gene=None],[protein=None],[evalue=3.38179E-102],[locus_tag=PMM1403],[protein_id=CAE19862.1],[gene=None],[protein=None],[evalue=3.43877E-76],[locus_tag=PMM0982],[protein_id=CAE19441.1],[gene=None],[protein=None],[evalue=9.88373E-52]
[locus_tag=PMM0032],[protein_id=CAE18491.1],[gene=None],[protein=possible Bacterial type II secretion system pr],[locus_tag=PMM0032],[protein_id=CAE18491.1],[gene=None],[protein=possible Bacterial type II secretion system pr],[evalue=2.10544E-104]
[locus_tag=PMM0033],[protein_id=CAE18492.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0033],[protein_id=CAE18492.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.96277E-115]
[locus_tag=PMM0034],[protein_id=CAE18493.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0034],[protein_id=CAE18493.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.44224E-44]
[locus_tag=PMM0035],[protein_id=CAE18494.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[locus_tag=PMM0035],[protein_id=CAE18494.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[evalue=0.00000E+00],[locus_tag=PMM0919],[protein_id=CAE19378.1],[gene=None],[protein=None],[evalue=1.98405E-59]
[locus_tag=PMM0036],[protein_id=CAE18495.1],[gene=None],[protein=CbiD protein],[locus_tag=PMM0036],[protein_id=CAE18495.1],[gene=None],[protein=CbiD protein],[evalue=0.00000E+00]
[locus_tag=PMM0037],[protein_id=CAE18496.1],[gene=guaA],[protein=None],[locus_tag=PMM0037],[protein_id=CAE18496.1],[gene=guaA],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0184],[protein_id=CAE18643.1],[gene=pabA],[protein=para-aminobenzoate synthase component II],[evalue=1.23594E-17]
[locus_tag=PMM0038],[protein_id=CAE18497.1],[gene=None],[protein=hypothetical],[locus_tag=PMM0038],[protein_id=CAE18497.1],[gene=None],[protein=hypothetical],[evalue=3.66351E-180]
[locus_tag=PMM0039],[protein_id=CAE18498.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0039],[protein_id=CAE18498.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.66741E-152]
[locus_tag=PMM1800],[protein_id=CAP16302.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1800],[protein_id=CAP16302.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.29753E-30]
[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein],[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein],[evalue=0.00000E+00],[locus_tag=PMM0518],[protein_id=CAE18977.1],[gene=ftsI],[protein=None],[evalue=1.05613E-21]
[locus_tag=PMM0041],[protein_id=CAE18500.1],[gene=None],[protein=possible reductase],[locus_tag=PMM0041],[protein_id=CAE18500.1],[gene=None],[protein=possible reductase],[evalue=3.13139E-126]
[locus_tag=PMM0042],[protein_id=CAE18501.1],[gene=None],[protein=flavoprotein],[locus_tag=PMM0042],[protein_id=CAE18501.1],[gene=None],[protein=flavoprotein],[evalue=0.00000E+00],[locus_tag=PMM0043],[protein_id=CAE18502.1],[gene=None],[protein=flavoprotein],[evalue=9.82178E-90],[locus_tag=PMM0883],[protein_id=CAE19342.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.12890E-11]
[locus_tag=PMM0043],[protein_id=CAE18502.1],[gene=None],[protein=flavoprotein],[locus_tag=PMM0043],[protein_id=CAE18502.1],[gene=None],[protein=flavoprotein],[evalue=0.00000E+00],[locus_tag=PMM0042],[protein_id=CAE18501.1],[gene=None],[protein=flavoprotein],[evalue=9.67445E-90]
[locus_tag=PMM0044],[protein_id=CAE18503.1],[gene=alaS],[protein=Alanyl-tRNA synthetase],[locus_tag=PMM0044],[protein_id=CAE18503.1],[gene=alaS],[protein=Alanyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0045],[protein_id=CAE18504.1],[gene=None],[protein=Orn/DAP/Arg decarboxylases family 2],[locus_tag=PMM0045],[protein_id=CAE18504.1],[gene=None],[protein=Orn/DAP/Arg decarboxylases family 2],[evalue=0.00000E+00],[locus_tag=PMM1090],[protein_id=CAE19549.1],[gene=lysA],[protein=Diaminopimelate decarboxylase],[evalue=9.51758E-13]
[locus_tag=PMM0046],[protein_id=CAE18505.1],[gene=None],[protein=Nucleoside diphosphate kinase],[locus_tag=PMM0046],[protein_id=CAE18505.1],[gene=None],[protein=Nucleoside diphosphate kinase],[evalue=2.50090E-112]
[locus_tag=PMM0047],[protein_id=CAE18506.1],[gene=thiO],[protein=PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE],[locus_tag=PMM0047],[protein_id=CAE18506.1],[gene=thiO],[protein=PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE],[evalue=0.00000E+00]
[locus_tag=PMM0048],[protein_id=CAE18507.1],[gene=gatB],[protein=None],[locus_tag=PMM0048],[protein_id=CAE18507.1],[gene=gatB],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0049],[protein_id=CAE18508.1],[gene=coaE],[protein=putative dephospho-CoA kinase],[locus_tag=PMM0049],[protein_id=CAE18508.1],[gene=coaE],[protein=putative dephospho-CoA kinase],[evalue=1.31916E-149]
[locus_tag=PMM0050],[protein_id=CAE18509.1],[gene=argJ],[protein=ArgJ family],[locus_tag=PMM0050],[protein_id=CAE18509.1],[gene=argJ],[protein=ArgJ family],[evalue=0.00000E+00]
[locus_tag=PMM2021],[protein_id=CAX37110.1],[gene=None],[protein=Hypothetical protein],[locus_tag=PMM2021],[protein_id=CAX37110.1],[gene=None],[protein=Hypothetical protein],[evalue=3.57896E-55]
[locus_tag=PMM0051],[protein_id=CAE18510.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0051],[protein_id=CAE18510.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.78023E-168]
[locus_tag=PMM0052],[protein_id=CAE18511.1],[gene=None],[protein=Aldo/keto reductase family],[locus_tag=PMM0052],[protein_id=CAE18511.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=0.00000E+00]
[locus_tag=PMM1801],[protein_id=CAP16303.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1801],[protein_id=CAP16303.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.91920E-27]
[locus_tag=PMM0053],[protein_id=CAE18512.1],[gene=None],[protein=Putative RNA methylase family UPF0020],[locus_tag=PMM0053],[protein_id=CAE18512.1],[gene=None],[protein=Putative RNA methylase family UPF0020],[evalue=0.00000E+00]
[locus_tag=PMM0054],[protein_id=CAE18513.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0054],[protein_id=CAE18513.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.12862E-90]
[locus_tag=PMM0055],[protein_id=CAE18514.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0055],[protein_id=CAE18514.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.33472E-108]
[locus_tag=PMM1802],[protein_id=CAP16304.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1802],[protein_id=CAP16304.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.37465E-26]
[locus_tag=PMM0056],[protein_id=CAE18515.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0056],[protein_id=CAE18515.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.22099E-86]
[locus_tag=PMM0057],[protein_id=CAE18516.1],[gene=None],"[protein=putative chromosome segregation protein, SMC ATPase superfamily]",[locus_tag=PMM0057],[protein_id=CAE18516.1],[gene=None],"[protein=putative chromosome segregation protein, SMC ATPase superfamily]",[evalue=0.00000E+00]
[locus_tag=PMM0058],[protein_id=CAE18517.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0058],[protein_id=CAE18517.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0059],[protein_id=CAE18518.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0059],[protein_id=CAE18518.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0060],[protein_id=CAE18519.1],[gene=None],"[protein=acetyl-CoA carboxylase, biotin carboxylase subunit]",[locus_tag=PMM0060],[protein_id=CAE18519.1],[gene=None],"[protein=acetyl-CoA carboxylase, biotin carboxylase subunit]",[evalue=0.00000E+00]
[locus_tag=PMM0061],[protein_id=CAE18520.1],[gene=None],"[protein=YGGT family, conserved hypothetical integral membrane protein]",[locus_tag=PMM0061],[protein_id=CAE18520.1],[gene=None],"[protein=YGGT family, conserved hypothetical integral membrane protein]",[evalue=2.89432E-67]
[locus_tag=PMM0062],[protein_id=CAE18521.1],[gene=psbX],[protein=photosystem II PsbX protein],[locus_tag=PMM0062],[protein_id=CAE18521.1],[gene=psbX],[protein=photosystem II PsbX protein],[evalue=6.66939E-28]
[locus_tag=PMM0063],[protein_id=CAE18522.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0063],[protein_id=CAE18522.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0064],[protein_id=CAE18523.1],[gene=hli2],[protein=possible high light inducible protein],[locus_tag=PMM0064],[protein_id=CAE18523.1],[gene=hli2],[protein=possible high light inducible protein],[evalue=1.24570E-51]
[locus_tag=PMM0065],[protein_id=CAE18524.1],[gene=None],"[protein=ABC transporter, ATP binding protein]",[locus_tag=PMM0065],[protein_id=CAE18524.1],[gene=None],"[protein=ABC transporter, ATP binding protein]",[evalue=0.00000E+00],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=1.83773E-16],[locus_tag=PMM0803],[protein_id=CAE19262.1],[gene=None],"[protein=ABC transporter, ATP binding component, possibly iron transporter]",[evalue=2.38456E-16]
[locus_tag=PMM0066],[protein_id=CAE18525.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0066],[protein_id=CAE18525.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.03466E-63]
[locus_tag=PMM0067],[protein_id=CAE18526.1],[gene=None],[protein=None],[locus_tag=PMM0067],[protein_id=CAE18526.1],[gene=None],[protein=None],[evalue=8.22688E-83]
[locus_tag=PMM0068],[protein_id=CAE18527.1],[gene=def],[protein=putative formylmethionine deformylase],[locus_tag=PMM0068],[protein_id=CAE18527.1],[gene=def],[protein=putative formylmethionine deformylase],[evalue=8.67860E-151]
[locus_tag=PMM0069],[protein_id=CAE18528.1],[gene=None],[protein=Esterase/lipase/thioesterase family active site],[locus_tag=PMM0069],[protein_id=CAE18528.1],[gene=None],[protein=Esterase/lipase/thioesterase family active site],[evalue=0.00000E+00]
[locus_tag=PMM0070],[protein_id=CAE18529.1],[gene=None],[protein=putative cysteine desulfurase or selenocysteine lyase],[locus_tag=PMM0070],[protein_id=CAE18529.1],[gene=None],[protein=putative cysteine desulfurase or selenocysteine lyase],[evalue=0.00000E+00],[locus_tag=PMM0170],[protein_id=CAE18629.1],[gene=None],[protein=NifS-like aminotransferase class-V],[evalue=5.63014E-23],[locus_tag=PMM0887],[protein_id=CAE19346.1],[gene=nifS],[protein=None],[evalue=1.32877E-20]
[locus_tag=PMM0071],[protein_id=CAE18530.1],[gene=None],"[protein=ABC transporter, membrane component]",[locus_tag=PMM0071],[protein_id=CAE18530.1],[gene=None],"[protein=ABC transporter, membrane component]",[evalue=0.00000E+00]
[locus_tag=PMM0072],[protein_id=CAE18531.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[locus_tag=PMM0072],[protein_id=CAE18531.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=0.00000E+00],[locus_tag=PMM0764],[protein_id=CAE19223.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=6.84107E-16],[locus_tag=PMM0973],[protein_id=CAE19432.1],[gene=urtD],[protein=putative ATP binding subunit of urea ABC transport system],[evalue=1.91208E-15]
[locus_tag=PMM0073],[protein_id=CAE18532.1],[gene=None],"[protein=ABC transporter, membrane component]",[locus_tag=PMM0073],[protein_id=CAE18532.1],[gene=None],"[protein=ABC transporter, membrane component]",[evalue=0.00000E+00]
[locus_tag=PMM0074],[protein_id=CAE18533.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0074],[protein_id=CAE18533.1],[gene=None],[protein=conserved hypothetical],[evalue=8.57952E-85]
[locus_tag=PMM0075],[protein_id=CAE18534.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0075],[protein_id=CAE18534.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1803],[protein_id=CAP16305.1],[gene=None],[protein=membrane protein],[locus_tag=PMM1803],[protein_id=CAP16305.1],[gene=None],[protein=membrane protein],[evalue=3.52600E-36]
[locus_tag=PMM0076],[protein_id=CAE18535.1],[gene=pgm],[protein=Phosphoglucomutase],[locus_tag=PMM0076],[protein_id=CAE18535.1],[gene=pgm],[protein=Phosphoglucomutase],[evalue=0.00000E+00],[locus_tag=PMM0278],[protein_id=CAE18737.1],[gene=None],[protein=Phosphotransferase superclass],[evalue=2.47591E-19]
[locus_tag=PMM0077],[protein_id=CAE18536.1],[gene=yrvN],"[protein=putative ATPase, AAA family]",[locus_tag=PMM0077],[protein_id=CAE18536.1],[gene=yrvN],"[protein=putative ATPase, AAA family]",[evalue=0.00000E+00]
[locus_tag=PMM0078],[protein_id=CAE18537.1],[gene=None],[protein=None],[locus_tag=PMM0078],[protein_id=CAE18537.1],[gene=None],[protein=None],[evalue=2.29920E-165]
[locus_tag=PMM0079],[protein_id=CAE18538.1],[gene=bcp],[protein=None],[locus_tag=PMM0079],[protein_id=CAE18538.1],[gene=bcp],[protein=None],[evalue=2.83055E-114],[locus_tag=PMM0345],[protein_id=CAE18804.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[evalue=6.36551E-21],[locus_tag=PMM0903],[protein_id=CAE19362.1],[gene=None],[protein=Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein],[evalue=4.69644E-18]
[locus_tag=PMM0080],[protein_id=CAE18539.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0080],[protein_id=CAE18539.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.63251E-168]
[locus_tag=PMM0081],[protein_id=CAE18540.1],[gene=cysH],[protein=Phosphoadenosine phosphosulfate reductase],[locus_tag=PMM0081],[protein_id=CAE18540.1],[gene=cysH],[protein=Phosphoadenosine phosphosulfate reductase],[evalue=0.00000E+00]
[locus_tag=PMM0082],[protein_id=CAE18541.1],[gene=None],"[protein=putative NADH dehydrogenase, transport associated]",[locus_tag=PMM0082],[protein_id=CAE18541.1],[gene=None],"[protein=putative NADH dehydrogenase, transport associated]",[evalue=0.00000E+00]
[locus_tag=PMM0083],[protein_id=CAE18542.1],[gene=None],"[protein=putative sodium/sulfate transporter, DASS family]",[locus_tag=PMM0083],[protein_id=CAE18542.1],[gene=None],"[protein=putative sodium/sulfate transporter, DASS family]",[evalue=0.00000E+00]
[locus_tag=PMM0084],[protein_id=CAE18543.1],[gene=None],"[protein=possible sodium transporter, Trk family]",[locus_tag=PMM0084],[protein_id=CAE18543.1],[gene=None],"[protein=possible sodium transporter, Trk family]",[evalue=0.00000E+00]
[locus_tag=PMM0085],[protein_id=CAE18544.1],[gene=None],"[protein=putative potassium channel, VIC family]",[locus_tag=PMM0085],[protein_id=CAE18544.1],[gene=None],"[protein=putative potassium channel, VIC family]",[evalue=7.87523E-174]
[locus_tag=PMM0086],[protein_id=CAE18545.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0086],[protein_id=CAE18545.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=7.44177E-73]
[locus_tag=PMM0087],[protein_id=CAE18546.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0087],[protein_id=CAE18546.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.60073E-80]
[locus_tag=PMM0088],[protein_id=CAE18547.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0088],[protein_id=CAE18547.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.05851E-52]
[locus_tag=PMM1804],[protein_id=CAP16306.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1804],[protein_id=CAP16306.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.75534E-41]
[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=0.00000E+00],[locus_tag=PMM0449],[protein_id=CAE18908.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=3.91938E-19],[locus_tag=PMM0192],[protein_id=CAE18651.1],[gene=None],"[protein=ABC transporter, ATP binding component, possibly for oligopeptides]",[evalue=4.26183E-18]
[locus_tag=PMM1805],[protein_id=CAP16307.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1805],[protein_id=CAP16307.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=8.94378E-33]
[locus_tag=PMM0090],[protein_id=CAE18549.1],[gene=None],[protein=possible serine protease],[locus_tag=PMM0090],[protein_id=CAE18549.1],[gene=None],[protein=possible serine protease],[evalue=0.00000E+00],[locus_tag=PMM1490],[protein_id=CAE19949.1],[gene=None],[protein=Serine protease],[evalue=3.23127E-96],[locus_tag=PMM1425],[protein_id=CAE19884.1],[gene=None],[protein=None],[evalue=5.06526E-29]
[locus_tag=PMM0091],[protein_id=CAE18550.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0091],[protein_id=CAE18550.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.56460E-63]
[locus_tag=PMM0092],[protein_id=CAE18551.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0092],[protein_id=CAE18551.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.72499E-74]
[locus_tag=PMM0093],[protein_id=CAE18552.1],[gene=hli1],[protein=possible high light inducible protein],[locus_tag=PMM0093],[protein_id=CAE18552.1],[gene=hli1],[protein=possible high light inducible protein],[evalue=8.54207E-31]
[locus_tag=PMM0094],[protein_id=CAE18553.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0094],[protein_id=CAE18553.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.42805E-71]
[locus_tag=PMM0095],[protein_id=CAE18554.1],[gene=None],[protein=similar to serum resistance locus BrkB],[locus_tag=PMM0095],[protein_id=CAE18554.1],[gene=None],[protein=similar to serum resistance locus BrkB],[evalue=0.00000E+00]
[locus_tag=PMM0096],[protein_id=CAE18555.1],[gene=None],[protein=inositol monophosphate family protein],[locus_tag=PMM0096],[protein_id=CAE18555.1],[gene=None],[protein=inositol monophosphate family protein],[evalue=0.00000E+00],[locus_tag=PMM0899],[protein_id=CAE19358.1],[gene=None],[protein=None],[evalue=9.59602E-21]
[locus_tag=PMM0097],[protein_id=CAE18556.1],[gene=None],[protein=possible RND family outer membrane efflux protein],[locus_tag=PMM0097],[protein_id=CAE18556.1],[gene=None],[protein=possible RND family outer membrane efflux protein],[evalue=0.00000E+00]
