Locus tag,Protein ID,Gene,Protein name,Hit #1 locus tag,Protein ID,Gene,Protein name,E-value,Hit #2 locus tag,Protein ID,Gene,Protein name,E-value,Hit #3 locus tag,Protein ID,Gene,Protein name,E-value
PMN2A_1352,AAZ58841.1,None,peptidyl-prolyl cis-trans isomerase,WB44_11445,AKN61602.1,None,peptidylprolyl isomerase,2.57079E-140,WB44_02030,AKN60100.1,None,peptidylprolyl isomerase,3.56683E-18,,,,,
PMN2A_1353,AAZ58842.1,None,translation elongation factor P (EF-P),WB44_11450,AKN61603.1,None,elongation factor P,2.36709E-128,,,,,,,,,,
PMN2A_1354,AAZ58843.1,None,biotin carboxyl carrier protein,WB44_11455,AKN61604.1,None,carboxylesterase,1.19654E-72,,,,,,,,,,
PMN2A_1355,AAZ58844.1,None,4-hydroxythreonine-4-phosphate dehydrogenase,WB44_11460,AKN61605.1,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,6.07359E-133,,,,,,,,,,
PMN2A_1356,AAZ58845.1,None,NAD dependent epimerase/dehydratase,WB44_11470,AKN61607.1,None,oxidoreductase,4.17656E-103,,,,,,,,,,
PMN2A_1358,AAZ58847.1,None,HNH nuclease,WB44_11480,AKN61609.1,None,HNH nuclease,5.27010E-69,,,,,,,,,,
PMN2A_1359,AAZ58848.1,None,conserved hypothetical protein,WB44_11495,AKN61611.1,None,penicillin amidase,7.53282E-26,,,,,,,,,,
PMN2A_1360,AAZ58849.1,None,conserved hypothetical protein,WB44_11515,AKN61615.1,None,hypothetical protein,4.07050E-16,,,,,,,,,,
PMN2A_1361,AAZ58850.1,None,serine-pyruvate/aspartate aminotransferase related enzyme,WB44_11525,AKN61616.1,None,class V aminotransferase,0.00000E+00,WB44_04970,AKN62173.1,None,alanine--glyoxylate aminotransferase,9.10944E-58,,,,,
PMN2A_1362,AAZ58851.1,None,cobalamin (vitamin B12) biosynthesis CbiD protein,WB44_11530,AKN61617.1,None,cobalt-precorrin-6A synthase,7.16132E-121,,,,,,,,,,
PMN2A_1363,AAZ58852.1,None,GMP synthase (glutamine-hydrolyzing),WB44_11535,AKN61618.1,guaA,GMP synthase,0.00000E+00,,,,,,,,,,
PMN2A_1364,AAZ58853.1,None,SAM (and some other nucleotide) binding motif:TPR repeat,WB44_08490,AKN61129.1,None,SAM-dependent methyltransferase,6.04488E-18,,,,,,,,,,
PMN2A_1368,AAZ58856.1,None,kef-type K+ transport system predicted NAD-binding component,WB44_13560,AKN61951.1,None,potassium transporter Kef,4.12481E-74,WB44_12145,AKN61722.1,None,potassium channel protein,2.58514E-20,,,,,
PMN2A_1371,AAZ58859.1,None,membrane protein,WB44_11550,AKN61621.1,None,membrane protein,4.93901E-90,,,,,,,,,,
PMN2A_1372,AAZ58860.1,None,conserved hypothetical protein,WB44_11555,AKN61622.1,None,hypothetical protein,1.99222E-18,,,,,,,,,,
PMN2A_1373,AAZ58861.1,None,peptidoglycan glycosyltransferase,WB44_11560,AKN61623.1,None,penicillin-binding protein,0.00000E+00,WB44_06960,AKN60881.1,None,cell division protein FtsI,5.77520E-26,WB44_00645,AKN59880.1,None,carboxypeptidase,1.31010E-14
PMN2A_1374,AAZ58862.1,None,flavoprotein,WB44_10565,AKN62372.1,None,flavoprotein,1.03135E-67,,,,,,,,,,
PMN2A_1375,AAZ58863.1,None,flavodoxin:flavin reductase-like domain,WB44_10555,AKN61458.1,None,flavin oxidoreductase,0.00000E+00,WB44_10550,AKN61457.1,None,DeoR faimly transcriptional regulator,1.13904E-96,,,,,
PMN2A_1376,AAZ58864.1,None,metallo-beta-lactamase superfamily:flavin reductase-like domain,WB44_10550,AKN61457.1,None,DeoR faimly transcriptional regulator,0.00000E+00,WB44_10555,AKN61458.1,None,flavin oxidoreductase,3.75515E-103,WB44_05065,AKN60586.1,None,diguanylate cyclase,3.55685E-13
PMN2A_1377,AAZ58865.1,None,alanyl-tRNA synthetase,WB44_10500,AKN62371.1,None,alanyl-tRNA synthetase,0.00000E+00,,,,,,,,,,
PMN2A_1378,AAZ58866.1,None,arginine decarboxylase,WB44_10480,AKN61444.1,None,arginine decarboxylase,0.00000E+00,,,,,,,,,,
PMN2A_1379,AAZ58867.1,None,nucleoside diphosphate kinase,WB44_10475,AKN61443.1,None,nucleoside diphosphate kinase,1.22410E-94,,,,,,,,,,
PMN2A_1380,AAZ58868.1,None,glycine/D-amino acid oxidase family enzyme,WB44_10470,AKN61442.1,None,amino acid oxidase,1.42061E-157,,,,,,,,,,
PMN2A_1381,AAZ58869.1,None,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,WB44_10465,AKN61441.1,None,glutamyl-tRNA amidotransferase,0.00000E+00,,,,,,,,,,
PMN2A_1382,AAZ58870.1,None,dephospho-CoA kinase,WB44_10425,AKN61436.1,coaE,dephospho-CoA kinase,1.94490E-60,,,,,,,,,,
PMN2A_1383,AAZ58871.1,None,N-acetylglutamate synthase / glutamate N-acetyltransferase,WB44_10420,AKN61435.1,None,arginine biosynthesis protein ArgJ,0.00000E+00,,,,,,,,,,
PMN2A_1386,AAZ58874.1,None,enzyme of the cupin superfamily,WB44_06120,AKN62231.1,None,cupin,7.13607E-46,,,,,,,,,,
PMN2A_1390,AAZ58878.1,None,cyanase,WB44_11105,AKN62389.1,None,cyanate hydratase,2.65180E-76,,,,,,,,,,
PMN2A_1392,AAZ58880.1,None,conserved hypothetical protein,WB44_05925,AKN60712.1,None,hypothetical protein,6.24475E-12,,,,,,,,,,
PMN2A_1399,AAZ58887.1,None,conserved hypothetical protein,WB44_06135,AKN62232.1,None,NAD/FAD-dependent oxidoreductase,1.05493E-40,,,,,,,,,,
PMN2A_1402,AAZ58890.1,None,conserved hypothetical protein,WB44_03925,AKN62136.1,None,hypothetical protein,3.37152E-57,,,,,,,,,,
PMN2A_1407,AAZ58895.1,None,conserved hypothetical protein,WB44_05350,AKN60631.1,None,hypothetical protein,9.73184E-13,,,,,,,,,,
PMN2A_1408,AAZ58896.1,None,short-chain dehydrogenase/reductase family enzyme,WB44_04405,AKN62152.1,None,short-chain dehydrogenase,3.44171E-94,WB44_03920,AKN60404.1,None,short-chain dehydrogenase,1.23401E-13,,,,,
PMN2A_1410,AAZ58898.1,None,conserved hypothetical protein,WB44_01770,AKN60057.1,None,plasmid partitioning protein ParA,7.48813E-89,,,,,,,,,,
PMN2A_1411,AAZ58899.1,None,ATPase,WB44_12270,AKN61742.1,None,multidrug ABC transporter ATPase,1.14360E-152,WB44_02700,AKN60207.1,None,ABC transporter,1.68215E-44,WB44_10900,AKN62381.1,None,peptidase C39,3.06788E-39
PMN2A_1414,AAZ58902.1,None,conserved hypothetical protein,WB44_01825,AKN60067.1,None,hypothetical protein,3.55819E-13,,,,,,,,,,
PMN2A_1415,AAZ58903.1,None,putative RNA methylase family UPF0020,WB44_09065,AKN62320.1,None,RNA methyltransferase,1.44469E-148,,,,,,,,,,
PMN2A_1416,AAZ58904.1,None,membrane protein,WB44_09070,AKN61225.1,None,membrane protein,1.62157E-50,,,,,,,,,,
PMN2A_1417,AAZ58905.1,None,conserved hypothetical protein,WB44_09075,AKN61226.1,None,hypothetical protein,8.82046E-50,,,,,,,,,,
PMN2A_1419,AAZ58907.1,None,conserved hypothetical protein,WB44_09080,AKN62321.1,None,hypothetical protein,1.05093E-21,,,,,,,,,,
PMN2A_1420,AAZ58908.1,None,condensin subunit Smc,WB44_09085,AKN61227.1,None,chromosome partitioning protein ParA,0.00000E+00,,,,,,,,,,
PMN2A_1421,AAZ58909.1,None,protein implicated in RNA metabolism (PRC-barrel domain),WB44_09090,AKN62322.1,None,photosystem reaction center subunit H,9.23630E-142,,,,,,,,,,
PMN2A_1422,AAZ58910.1,None,cyanobacteria-specific protein related to lipid A disaccharide synthetase,WB44_09100,AKN61229.1,None,glycosyl transferase,3.17300E-180,,,,,,,,,,
PMN2A_1423,AAZ58911.1,None,"acetyl-CoA carboxylase, biotin carboxylase",WB44_09110,AKN61230.1,None,acetyl-CoA carboxylase,0.00000E+00,,,,,,,,,,
PMN2A_1424,AAZ58912.1,None,"YGGT family, conserved hypothetical protein integral membrane protein",WB44_09115,AKN61231.1,None,hypothetical protein,6.54815E-27,,,,,,,,,,
PMN2A_1426,AAZ58914.1,None,conserved hypothetical protein,WB44_09125,AKN61233.1,None,hypothetical protein,6.04268E-97,,,,,,,,,,
PMN2A_1427,AAZ58915.1,None,high light inducible protein hli5,WB44_09140,AKN62323.1,None,high light inducible protein,1.93006E-25,,,,,,,,,,
PMN2A_1428,AAZ58916.1,None,ATPase,WB44_09145,AKN62324.1,None,ABC transporter ATP-binding protein,0.00000E+00,WB44_12270,AKN61742.1,None,multidrug ABC transporter ATPase,1.34722E-18,WB44_03535,AKN60347.1,None,lytic murein transglycosylase,2.05720E-16
PMN2A_1430,AAZ58918.1,None,HIT family hydrolase,WB44_09150,AKN61236.1,None,zinc-binding protein,4.59995E-54,,,,,,,,,,
PMN2A_1431,AAZ58919.1,None,peptide deformylase,WB44_09175,AKN61241.1,None,peptide deformylase,1.83715E-97,WB44_07350,AKN60947.1,None,peptide deformylase,1.29523E-26,,,,,
PMN2A_1432,AAZ58920.1,None,dienelactone hydrolase,WB44_09180,AKN61242.1,None,peptidase S9,0.00000E+00,,,,,,,,,,
PMN2A_1433,AAZ58921.1,None,cysteine desulfurase,WB44_09205,AKN61246.1,None,cysteine desulfurase,0.00000E+00,WB44_09980,AKN61366.1,None,cysteine desulfurase,5.28796E-25,WB44_04010,AKN60418.1,None,cysteine desulfurase,3.01750E-21
PMN2A_1434,AAZ58922.1,None,ABC-type transport system involved in Fe-S cluster assembly permease component,WB44_09210,AKN61247.1,None,ABC transporter permease,5.17955E-111,,,,,,,,,,
PMN2A_1435,AAZ58923.1,None,FeS assembly ATPase SufC,WB44_09215,AKN61248.1,None,ABC transporter ATP-binding protein,4.37638E-141,WB44_10940,AKN61521.1,None,urea ABC transporter ATP-binding protein,1.86772E-12,WB44_04190,AKN60446.1,None,sugar ABC transporter ATP-binding protein,1.90308E-12
PMN2A_1436,AAZ58924.1,None,Iron-regulated ABC transporter membrane component SufB,WB44_09220,AKN61249.1,None,cysteine desulfurase,0.00000E+00,WB44_09210,AKN61247.1,None,ABC transporter permease,7.61372E-11,,,,,
PMN2A_1437,AAZ58925.1,None,conserved hypothetical protein,WB44_09235,AKN61252.1,None,hypothetical protein,4.73180E-17,,,,,,,,,,
PMN2A_1438,AAZ58926.1,None,conserved hypothetical protein,WB44_09250,AKN62327.1,None,Rho termination protein,1.97415E-156,,,,,,,,,,
PMN2A_1439,AAZ58927.1,None,membrane protein,WB44_09255,AKN61254.1,None,membrane protein,2.06786E-21,,,,,,,,,,
PMN2A_1440,AAZ58928.1,None,phosphoglucomutase,WB44_09285,AKN61258.1,None,phosphoglucomutase,0.00000E+00,WB44_12550,AKN62435.1,None,phosphoglucosamine mutase,9.31841E-18,,,,,
PMN2A_1441,AAZ58929.1,None,Recombination protein MgsA,WB44_09305,AKN61262.1,None,recombination protein RarA,0.00000E+00,,,,,,,,,,
PMN2A_1442,AAZ58930.1,None,possible 4'-phosphopantetheinyl transferase family protein,WB44_09320,AKN61265.1,None,4-phosphopantetheinyl transferase,2.59264E-36,,,,,,,,,,
PMN2A_1443,AAZ58931.1,None,putative bacterioferritin comigratory (BCP) protein,WB44_09325,AKN61266.1,None,alkyl hydroperoxide reductase,1.90368E-81,WB44_04890,AKN60556.1,None,alkyl hydroperoxide reductase,1.52166E-30,WB44_04165,AKN60441.1,None,alkyl hydroperoxide reductase,1.39211E-24
PMN2A_1444,AAZ58932.1,None,bordetella pertussis Bvg accessory factor,WB44_09330,AKN62329.1,None,transcriptional regulator,1.67633E-49,,,,,,,,,,
PMN2A_1445,AAZ58933.1,None,phosphoadenylylsulfate reductase (thioredoxin),WB44_09335,AKN62330.1,None,phosphoadenosine phosphosulfate reductase,3.84592E-100,,,,,,,,,,
PMN2A_1446,AAZ58934.1,None,"NADH dehydrogenase, FAD-containing subunit",WB44_09340,AKN61267.1,None,3-hydroxyacyl-CoA dehydrogenase,4.95805E-96,WB44_12885,AKN61839.1,None,N-acetylglucosamine-1-phosphate uridyltransferase,1.00052E-29,,,,,
PMN2A_1447,AAZ58935.1,None,di/tricarboxylate transporter,WB44_12130,AKN61720.1,None,sodium:sulfate symporter,0.00000E+00,,,,,,,,,,
PMN2A_1448,AAZ58936.1,None,"trk-type K+ transport system, membrane component",WB44_09350,AKN61269.1,None,potassium transporter TrkG,0.00000E+00,,,,,,,,,,
PMN2A_1449,AAZ58937.1,None,"K+ transport system, NAD-binding component",WB44_09355,AKN61270.1,None,potassium transporter TrkA,3.17833E-126,,,,,,,,,,
PMN2A_1450,AAZ58938.1,None,"conserved hypothetical protein, transport associated",WB44_09360,AKN61271.1,None,anhydro-N-acetylmuramic acid kinase,5.80068E-131,,,,,,,,,,
PMN2A_1451,AAZ58939.1,None,conserved hypothetical protein,WB44_09365,AKN61272.1,None,hypothetical protein,8.60357E-35,,,,,,,,,,
PMN2A_1452,AAZ58940.1,None,membrane protein,WB44_09370,AKN61273.1,None,hypothetical protein,4.52546E-41,,,,,,,,,,
PMN2A_1453,AAZ58941.1,None,conserved hypothetical protein,WB44_09375,AKN62331.1,None,hypothetical protein,3.31609E-29,,,,,,,,,,
PMN2A_1455,AAZ58943.1,None,ATPase,WB44_09385,AKN62333.1,None,lysophospholipase,0.00000E+00,WB44_08800,AKN61180.1,None,multidrug ABC transporter ATP-binding protein,3.23056E-84,WB44_04190,AKN60446.1,None,sugar ABC transporter ATP-binding protein,8.44741E-17
PMN2A_1456,AAZ58944.1,None,PDZ/DHR/GLGF protein,WB44_09395,AKN61275.1,None,serine protease,3.93502E-144,WB44_08690,AKN61164.1,None,serine protease,4.05701E-94,WB44_06615,AKN60822.1,None,serine protease,3.38988E-75
PMN2A_1457,AAZ58945.1,None,uncharacterized membrane protein,WB44_09400,AKN62334.1,None,hypothetical protein,1.79439E-24,WB44_05890,AKN62221.1,None,hypothetical protein,3.87634E-15,,,,,
PMN2A_1458,AAZ58946.1,None,conserved hypothetical protein,WB44_09405,AKN61276.1,None,hypothetical protein,8.83105E-87,,,,,,,,,,
PMN2A_1459,AAZ58947.1,None,possible high light inducible protein,WB44_09415,AKN61278.1,None,high light inducible protein,7.13177E-20,WB44_07310,AKN60939.1,None,high light inducible protein,1.64373E-19,WB44_08110,AKN61069.1,None,high light inducible protein,6.27969E-19
PMN2A_1460,AAZ58948.1,None,Exodeoxyribonuclease VII large subunit,WB44_09420,AKN61279.1,None,exodeoxyribonuclease VII,3.00637E-144,,,,,,,,,,
PMN2A_1461,AAZ58949.1,None,exodeoxyribonuclease VII small subunit,WB44_09425,AKN61280.1,None,exodeoxyribonuclease VII,9.84610E-15,,,,,,,,,,
PMN2A_1462,AAZ58950.1,None,conserved hypothetical protein,WB44_09435,AKN61282.1,None,hypothetical protein,2.17164E-23,,,,,,,,,,
PMN2A_1463,AAZ58951.1,None,putative serum resistance locus BrkB,WB44_09440,AKN62335.1,None,serum resistance locus BrkB,3.98135E-125,,,,,,,,,,
PMN2A_1464,AAZ58952.1,None,inositol monophosphatase family protein,WB44_09470,AKN62336.1,None,inositol phosphatase,1.31147E-126,WB44_04145,AKN60438.1,None,inositol monophosphatase,2.46924E-13,,,,,
PMN2A_1465,AAZ58953.1,None,outer membrane efflux protein,WB44_09475,AKN61283.1,None,RND transporter,3.03309E-134,WB44_02675,AKN60202.1,None,transporter,2.36479E-28,,,,,
PMN2A_1466,AAZ58954.1,None,possible Fe-S oxidoreductase,WB44_09480,AKN61284.1,None,Fe-S oxidoreductase,0.00000E+00,,,,,,,,,,
PMN2A_1467,AAZ58955.1,None,uncharacterized membrane protein,WB44_09490,AKN62337.1,None,membrane protein,1.32466E-67,,,,,,,,,,
PMN2A_1468,AAZ58956.1,None,L-aspartate oxidase,WB44_09500,AKN61287.1,None,L-aspartate oxidase,0.00000E+00,,,,,,,,,,
PMN2A_1469,AAZ58957.1,None,thioredoxin domain 2,WB44_09505,AKN61288.1,None,thioredoxin,1.07357E-130,WB44_08840,AKN61187.1,None,hypothetical protein,1.19305E-13,,,,,
PMN2A_1471,AAZ58959.1,None,dihydropteroate synthase,WB44_09530,AKN61292.1,None,hypothetical protein,1.71867E-45,,,,,,,,,,
PMN2A_1473,AAZ58961.1,None,conserved hypothetical protein,WB44_09535,AKN61293.1,None,hypothetical protein,4.36615E-172,,,,,,,,,,
PMN2A_1474,AAZ58962.1,None,pyrimidine reductase,WB44_09545,AKN61294.1,None,riboflavin biosynthesis protein RibD,1.28334E-57,,,,,,,,,,
PMN2A_1475,AAZ58963.1,None,6-pyruvoyl-tetrahydropterin synthase-like protein,WB44_09550,AKN61295.1,None,6-pyruvoyl tetrahydropterin synthase,4.64578E-168,,,,,,,,,,
PMN2A_1476,AAZ58964.1,None,shikimate kinase,WB44_09555,AKN61296.1,None,shikimate kinase,7.59160E-65,,,,,,,,,,
PMN2A_1909,ABU23847.1,None,conserved hypothetical protein,WB44_09560,AKN61297.1,None,hypothetical protein,1.24762E-29,,,,,,,,,,
PMN2A_1477,AAZ58965.1,None,conserved hypothetical protein,WB44_09565,AKN61298.1,None,POLO box duplicated region,5.34495E-48,,,,,,,,,,
PMN2A_1478,AAZ58966.1,None,glutathione S-transferase zeta class,WB44_09570,AKN61299.1,None,glutathione S-transferase,1.02978E-77,,,,,,,,,,
PMN2A_1479,AAZ58967.1,None,uncharacterized membrane protein,WB44_09575,AKN62340.1,None,membrane protein,1.47974E-22,,,,,,,,,,
PMN2A_1480,AAZ58968.1,None,ribosome-binding factor A,WB44_09580,AKN61300.1,None,ribosome-binding factor A,9.91838E-56,,,,,,,,,,
PMN2A_1481,AAZ58969.1,None,beta-N-acetylhexosaminidase,WB44_09585,AKN61301.1,None,glycosyl hydrolase family 3,2.91936E-155,,,,,,,,,,
PMN2A_1482,AAZ58970.1,None,uroporphyrinogen-III synthase,WB44_09595,AKN61303.1,None,uroporphyrinogen-III synthase,7.00495E-98,,,,,,,,,,
PMN2A_1483,AAZ58971.1,None,oligoketide cyclase/lipid transport protein-like protein,WB44_09605,AKN61304.1,None,membrane protein,2.51935E-70,,,,,,,,,,
PMN2A_1484,AAZ58972.1,None,zeta-carotene desaturase,WB44_09610,AKN62342.1,None,zeta-carotene desaturase,0.00000E+00,WB44_09800,AKN61336.1,None,phytoene desaturase,8.09465E-75,,,,,
PMN2A_1485,AAZ58973.1,None,HesB/YadR/YfhF,WB44_09615,AKN61305.1,None,Fe-S cluster assembly protein HesB,1.73695E-64,,,,,,,,,,
PMN2A_1486,AAZ58974.1,None,"TPR-repeat protein, specific for cyanobacteria",WB44_09620,AKN61306.1,None,hypothetical protein,3.06129E-60,,,,,,,,,,
PMN2A_1487,AAZ58975.1,None,Conserved hypothetical protein YfcH,WB44_09635,AKN61309.1,None,multidrug MFS transporter,1.01590E-124,,,,,,,,,,
PMN2A_1488,AAZ58976.1,None,conserved hypothetical protein,WB44_09645,AKN61311.1,None,NAD(P)H-quinone oxidoreductase,3.20345E-27,,,,,,,,,,
PMN2A_1489,AAZ58977.1,None,"Heat shock protein DnaJ, N-terminal protein",WB44_09650,AKN61312.1,None,molecular chaperone DnaJ,1.91668E-74,,,,,,,,,,
PMN2A_1490,AAZ58978.1,None,cysteine synthase,WB44_09655,AKN61313.1,None,cysteine synthase,2.75123E-151,WB44_00345,AKN59827.1,None,cysteine synthase,5.29547E-101,,,,,
PMN2A_1492,AAZ58980.1,None,conserved hypothetical protein in cyanobacteria,WB44_09700,AKN62345.1,None,hypothetical protein,1.02714E-35,,,,,,,,,,
PMN2A_1493,AAZ58981.1,None,ATPase,WB44_09705,AKN61319.1,None,cobalt ABC transporter,9.18535E-81,WB44_05780,AKN62215.1,None,ABC transporter ATP-binding protein,4.37457E-23,WB44_05820,AKN62217.1,None,manganese transporter,5.89141E-22
PMN2A_1494,AAZ58982.1,None,"two component transcriptional regulator, winged helix family",WB44_09715,AKN61320.1,None,chemotaxis protein CheY,6.85351E-164,WB44_09745,AKN61326.1,None,XRE family transcriptional regulator,4.96419E-54,WB44_11925,AKN61681.1,None,XRE family transcriptional regulator,3.10195E-49
PMN2A_1495,AAZ58983.1,None,"DNA polymerase III, delta prime subunit",WB44_09720,AKN61321.1,None,DNA polymerase III subunit delta',1.99664E-85,,,,,,,,,,
PMN2A_1496,AAZ58984.1,None,thymidylate kinase,WB44_09725,AKN61322.1,None,thymidylate kinase,7.63060E-80,,,,,,,,,,
PMN2A_1497,AAZ58985.1,None,"ATPase, E1-E2 type:Copper-translocating P-type ATPase:Heavy metal translocating P-type ATPase",WB44_09730,AKN61323.1,None,ATPase P,0.00000E+00,,,,,,,,,,
PMN2A_1498,AAZ58986.1,None,TPR repeat,WB44_09735,AKN61324.1,None,Photosystem I assembly protein ycf3,3.42949E-96,,,,,,,,,,
PMN2A_1499,AAZ58987.1,None,DNA repair protein RadA,WB44_09740,AKN61325.1,None,DNA repair protein RadA,0.00000E+00,,,,,,,,,,
PMN2A_1500,AAZ58988.1,None,"two component transcriptional regulator, winged helix family",WB44_09745,AKN61326.1,None,XRE family transcriptional regulator,5.05265E-168,WB44_11925,AKN61681.1,None,XRE family transcriptional regulator,8.66179E-91,WB44_09715,AKN61320.1,None,chemotaxis protein CheY,6.86777E-51
PMN2A_1501,AAZ58989.1,None,phosphate:acyl-[acyl carrier protein,WB44_09750,AKN61327.1,None,glycerol-3-phosphate acyltransferase,0.00000E+00,,,,,,,,,,
PMN2A_1502,AAZ58990.1,None,3-oxoacyl-[acyl-carrier-protein,WB44_09755,AKN62346.1,None,3-oxoacyl-ACP synthase,4.70061E-158,,,,,,,,,,
PMN2A_1503,AAZ58991.1,None,Malonyl CoA-acyl carrier protein transacylase,WB44_09760,AKN61328.1,None,malonyl CoA-ACP transacylase,1.85811E-137,,,,,,,,,,
PMN2A_1504,AAZ58992.1,None,1-acyl-sn-glycerol-3-phosphate acyltransferase,WB44_09765,AKN61329.1,None,acyl-phosphate glycerol 3-phosphate acyltransferase,5.93522E-95,,,,,,,,,,
PMN2A_1505,AAZ58993.1,None,inactive putative metal-dependent protease,WB44_09775,AKN61331.1,None,hypothetical protein,4.68967E-53,,,,,,,,,,
PMN2A_1506,AAZ58994.1,None,putative Ycf34,WB44_09780,AKN61332.1,None,hypothetical protein,8.68356E-33,,,,,,,,,,
PMN2A_1507,AAZ58995.1,None,tRNA nucleotidyltransferase/poly(A) polymerase,WB44_09785,AKN61333.1,None,tRNA nucleotidyltransferase,4.97493E-104,WB44_12335,AKN62420.1,None,tRNA nucleotidyltransferase,2.15073E-17,,,,,
PMN2A_1508,AAZ58996.1,None,RNA-binding region RNP-1 (RNA recognition motif),WB44_09790,AKN61334.1,None,RNA-binding protein,1.58711E-64,,,,,,,,,,
