Locus tag,Protein ID,Gene,Protein name,Hit #1 locus tag,Protein ID,Gene,Protein name,E-value,Hit #2 locus tag,Protein ID,Gene,Protein name,E-value,Hit #3 locus tag,Protein ID,Gene,Protein name,E-value
PMN2A_1344,AAZ58833.1,None,Heat shock protein DnaJ,SynWH8103_00022,CRY90780.1,dnaJ,Chaperone protein dnaJ,0.00000E+00,SynWH8103_02208,CRY92919.1,dnaJ,Chaperone DnaJ protein,2.02803E-22,SynWH8103_02208,CRY92919.1,dnaJ,Chaperone DnaJ protein,1.43503E-21
PMN2A_1346,AAZ58835.1,None,GTPase EngC,SynWH8103_00025,CRY90782.1,rsgA,ribosome small subunit-dependent GTPase A,3.12459E-100,,,,,,,,,,
PMN2A_1347,AAZ58836.1,None,Conserved hypothetical protein 103,SynWH8103_00024,CRY90783.1,None,"DNA-binding protein, YbaB/EbfC family",7.17749E-56,,,,,,,,,,
PMN2A_1348,AAZ58837.1,None,UDP-N-acetylmuramate dehydrogenase,SynWH8103_00026,CRY90784.1,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,3.36620E-111,,,,,,,,,,
PMN2A_1349,AAZ58838.1,None,UDP-N-acetylmuramate--L-alanine ligase,SynWH8103_00027,CRY90785.1,murC,UDP-N-acetylmuramate-alanine ligase,4.00325E-140,,,,,,,,,,
PMN2A_1350,AAZ58839.1,None,glyceraldehyde 3-phosphate dehydrogenase (NADP+),SynWH8103_00029,CRY90787.1,gap2,glyceraldehyde-3-phosphate dehydrogenase,0.00000E+00,SynWH8103_00910,CRY91648.1,gap3,Glyceraldehyde-3-phosphate dehydrogenase,1.10483E-97,,,,,
PMN2A_1351,AAZ58840.1,None,thiamine-phosphate kinase,SynWH8103_00030,CRY90788.1,thiL,thiamine-monophosphate kinase,1.02729E-105,,,,,,,,,,
PMN2A_1352,AAZ58841.1,None,peptidyl-prolyl cis-trans isomerase,SynWH8103_00031,CRY90789.1,None,cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD family protein,2.43658E-140,SynWH8103_00778,CRY91517.1,None,cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD family protein,5.19503E-17,,,,,
PMN2A_1353,AAZ58842.1,None,translation elongation factor P (EF-P),SynWH8103_00032,CRY90790.1,efp,translation elongation factor P,3.89499E-124,,,,,,,,,,
PMN2A_1354,AAZ58843.1,None,biotin carboxyl carrier protein,SynWH8103_00034,CRY90791.1,accB,"acetyl-CoA carboxylase, biotin carboxyl carrier rotein",1.14340E-61,,,,,,,,,,
PMN2A_1355,AAZ58844.1,None,4-hydroxythreonine-4-phosphate dehydrogenase,SynWH8103_00033,CRY90792.1,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,3.12134E-126,,,,,,,,,,
PMN2A_1356,AAZ58845.1,None,NAD dependent epimerase/dehydratase,SynWH8103_00035,CRY90794.1,None,conserved hypothetical protein,2.88857E-111,,,,,,,,,,
PMN2A_1358,AAZ58847.1,None,HNH nuclease,SynWH8103_00037,CRY90795.1,None,McrA/HNH family nuclease,4.48287E-70,,,,,,,,,,
PMN2A_1359,AAZ58848.1,None,conserved hypothetical protein,SynWH8103_00040,CRY90798.1,None,putative bacterial type II secretion system protein,1.10691E-30,,,,,,,,,,
PMN2A_1360,AAZ58849.1,None,conserved hypothetical protein,SynWH8103_00044,CRY90802.1,None,conserved hypothetical protein,2.44320E-12,,,,,,,,,,
PMN2A_1361,AAZ58850.1,None,serine-pyruvate/aspartate aminotransferase related enzyme,SynWH8103_00046,CRY90803.1,None,soluble hydrogenase 42 kDa subunit,0.00000E+00,SynWH8103_01218,CRY91948.1,None,alanine--glyoxylate aminotransferase,2.69123E-56,,,,,
PMN2A_1362,AAZ58851.1,None,cobalamin (vitamin B12) biosynthesis CbiD protein,SynWH8103_00047,CRY90804.1,cbiD,cobalamin biosynthesis protein CbiD,8.35771E-95,,,,,,,,,,
PMN2A_1363,AAZ58852.1,None,GMP synthase (glutamine-hydrolyzing),SynWH8103_00048,CRY90805.1,guaA,"GMP synthase (glutamine-hydrolyzing), N-terminaldomain",0.00000E+00,,,,,,,,,,
PMN2A_1364,AAZ58853.1,None,SAM (and some other nucleotide) binding motif:TPR repeat,SynWH8103_00566,CRY91309.1,cpcM,phycobiliprotein asparagine methyltransferase,3.32910E-19,,,,,,,,,,
PMN2A_1366,AAZ58854.1,None,TPR repeat,SynWH8103_01810,CRY92535.1,None,TPR repeat family protein,1.50848E-11,,,,,,,,,,
PMN2A_1368,AAZ58856.1,None,kef-type K+ transport system predicted NAD-binding component,SynWH8103_00170,CRY90920.1,None,ion transport family protein,8.25604E-20,,,,,,,,,,
PMN2A_1371,AAZ58859.1,None,membrane protein,SynWH8103_00049,CRY90806.1,None,Conserved hypotothetical protein,6.50004E-82,,,,,,,,,,
PMN2A_1372,AAZ58860.1,None,conserved hypothetical protein,SynWH8103_00050,CRY90807.1,None,conserved hypothetical protein,2.26981E-16,,,,,,,,,,
PMN2A_1373,AAZ58861.1,None,peptidoglycan glycosyltransferase,SynWH8103_00051,CRY90808.1,mrdA,transpeptidase involved in septal peptidoglycan ynthesis (peptidoglycan synthetase precursor),0.00000E+00,SynWH8103_02014,CRY92732.1,ftsI,transpeptidase involved in septal peptidoglycan ynthesis (peptidoglycan synthetase precursor),1.07340E-19,SynWH8103_01910,CRY92629.1,mrcA,penicillin-binding-like protein 1A (PBP1A)(transpeptidase),5.25847E-13
PMN2A_1374,AAZ58862.1,None,flavoprotein,SynWH8103_02728,CRY93407.1,None,NADPH-dependent FMN reductase family protein,2.00914E-58,,,,,,,,,,
PMN2A_1375,AAZ58863.1,None,flavodoxin:flavin reductase-like domain,SynWH8103_02725,CRY93404.1,flv1,flavoprotein involved in Mehler reaction,0.00000E+00,SynWH8103_02724,CRY93403.1,flv3,flavoprotein involved in Mehler reaction,2.58971E-93,,,,,
PMN2A_1376,AAZ58864.1,None,metallo-beta-lactamase superfamily:flavin reductase-like domain,SynWH8103_02724,CRY93403.1,flv3,flavoprotein involved in Mehler reaction,0.00000E+00,SynWH8103_02725,CRY93404.1,flv1,flavoprotein involved in Mehler reaction,1.63206E-101,,,,,
PMN2A_1377,AAZ58865.1,None,alanyl-tRNA synthetase,SynWH8103_02717,CRY93396.1,alaS,Alanyl-tRNA synthetase,0.00000E+00,,,,,,,,,,
PMN2A_1378,AAZ58866.1,None,arginine decarboxylase,SynWH8103_02710,CRY93389.1,speA,Arginine decarboxylase,0.00000E+00,SynWH8103_01070,CRY91804.1,lysA,diaminopimelate decarboxylase,2.55693E-12,,,,,
PMN2A_1379,AAZ58867.1,None,nucleoside diphosphate kinase,SynWH8103_02709,CRY93388.1,ndk,nucleoside diphosphate kinase,1.08306E-95,,,,,,,,,,
PMN2A_1380,AAZ58868.1,None,glycine/D-amino acid oxidase family enzyme,SynWH8103_02706,CRY93384.1,None,FAD dependent oxidoreductase family protein,1.26410E-163,,,,,,,,,,
PMN2A_1381,AAZ58869.1,None,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,SynWH8103_02704,CRY93383.1,gatB,"aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit",0.00000E+00,,,,,,,,,,
PMN2A_1382,AAZ58870.1,None,dephospho-CoA kinase,SynWH8103_02703,CRY93381.1,coaE,dephospho-CoA kinase,7.41124E-51,,,,,,,,,,
PMN2A_1383,AAZ58871.1,None,N-acetylglutamate synthase / glutamate N-acetyltransferase,SynWH8103_02701,CRY93380.1,argJ,glutamate N-acetyltransferase/amino-acid acetyltransferase,5.79689E-169,,,,,,,,,,
PMN2A_1385,AAZ58873.1,None,putative Poly(3-hydroxybutyrate) depolymerase,SynWH8103_01762,CRY92488.1,None,esterase family protein,6.91510E-61,,,,,,,,,,
PMN2A_1390,AAZ58878.1,None,cyanase,SynWH8103_02879,CRY93556.1,cynS,cyanate hydratase,1.07845E-75,,,,,,,,,,
PMN2A_1392,AAZ58880.1,None,conserved hypothetical protein,SynWH8103_00959,CRY91696.1,None,conserved hypothetical protein,1.71325E-11,,,,,,,,,,
PMN2A_1399,AAZ58887.1,None,conserved hypothetical protein,SynWH8103_01026,CRY91761.1,None,FAD/NAD-binding domain-containing protein,2.93699E-38,,,,,,,,,,
PMN2A_1401,AAZ58889.1,None,conserved hypothetical protein,SynWH8103_02769,CRY93448.1,None,conserved hypothetical protein,9.76856E-25,,,,,,,,,,
PMN2A_1402,AAZ58890.1,None,conserved hypothetical protein,SynWH8103_01371,CRY92100.1,unk14A,Conserved hypothetical protein,3.34851E-56,,,,,,,,,,
PMN2A_1403,AAZ58891.1,None,putative Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family,SynWH8103_00867,CRY91605.1,None,cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD family protein,7.37689E-37,,,,,,,,,,
PMN2A_1408,AAZ58896.1,None,short-chain dehydrogenase/reductase family enzyme,SynWH8103_01609,CRY92336.1,None,short chain dehydrogenase family protein,2.82874E-82,SynWH8103_01372,CRY92099.1,None,short chain dehydrogenase family protein,7.98270E-17,,,,,
PMN2A_1410,AAZ58898.1,None,conserved hypothetical protein,SynWH8103_01757,CRY92483.1,None,cobQ/CobB/MinD/ParA nucleotide binding domain protein,6.03655E-88,,,,,,,,,,
PMN2A_1411,AAZ58899.1,None,ATPase,SynWH8103_00193,CRY90943.1,None,ABC transporter family protein,1.62949E-155,SynWH8103_00504,CRY91249.1,None,ABC transporter family protein,1.35510E-74,SynWH8103_01056,CRY91790.1,None,ABC transporter,8.46977E-56
PMN2A_1414,AAZ58902.1,None,conserved hypothetical protein,SynWH8103_01773,CRY92499.1,None,conserved hypothetical protein (DUF3303),3.11058E-52,SynWH8103_01646,CRY92373.1,None,conserved hypothetical protein,2.62099E-25,,,,,
PMN2A_1415,AAZ58903.1,None,putative RNA methylase family UPF0020,SynWH8103_00380,CRY91125.1,None,methyltransferase domain protein,1.20452E-152,,,,,,,,,,
PMN2A_1416,AAZ58904.1,None,membrane protein,SynWH8103_00379,CRY91124.1,None,Uncharacterized conserved membrane protein,5.90827E-35,,,,,,,,,,
PMN2A_1417,AAZ58905.1,None,conserved hypothetical protein,SynWH8103_00378,CRY91123.1,None,conserved hypothetical protein,2.70200E-54,,,,,,,,,,
PMN2A_1419,AAZ58907.1,None,conserved hypothetical protein,SynWH8103_00376,CRY91121.1,None,DNA polymerase Ligase family protein,4.49684E-28,,,,,,,,,,
PMN2A_1420,AAZ58908.1,None,condensin subunit Smc,SynWH8103_00375,CRY91120.1,smc,chromosome segregation protein SMC,0.00000E+00,,,,,,,,,,
PMN2A_1421,AAZ58909.1,None,protein implicated in RNA metabolism (PRC-barrel domain),SynWH8103_00374,CRY91119.1,None,PRC-barrel domain protein,1.27538E-142,,,,,,,,,,
PMN2A_1422,AAZ58910.1,None,cyanobacteria-specific protein related to lipid A disaccharide synthetase,SynWH8103_00371,CRY91116.1,None,possible glycosyltransferase family 19 distantlyrelated to lipid A disaccharide synthases,1.39144E-177,,,,,,,,,,
PMN2A_1423,AAZ58911.1,None,"acetyl-CoA carboxylase, biotin carboxylase",SynWH8103_00368,CRY91115.1,accC,"acetyl-CoA carboxylase, biotin carboxylase subunit",0.00000E+00,,,,,,,,,,
PMN2A_1424,AAZ58912.1,None,"YGGT family, conserved hypothetical protein integral membrane protein",SynWH8103_00369,CRY91114.1,ylmG2,cell division membrane protein YlmG2,8.94980E-31,,,,,,,,,,
PMN2A_1426,AAZ58914.1,None,conserved hypothetical protein,SynWH8103_00366,CRY91112.1,None,ycf66 family protein,1.82556E-93,,,,,,,,,,
PMN2A_1427,AAZ58915.1,None,high light inducible protein hli5,SynWH8103_00363,CRY91109.1,hli,High light inducible protein,1.96532E-23,,,,,,,,,,
PMN2A_1428,AAZ58916.1,None,ATPase,SynWH8103_00362,CRY91108.1,None,ABC-type uncharacterized transport system membrane and ATPase component,0.00000E+00,SynWH8103_02425,CRY93114.1,None,ABC multidrug efflux transporter,1.02758E-16,SynWH8103_01157,CRY91889.1,None,putative ABC multidrug efflux transporter,1.56286E-16
PMN2A_1430,AAZ58918.1,None,HIT family hydrolase,SynWH8103_00361,CRY91107.1,None,HIT domain protein,9.68996E-54,,,,,,,,,,
PMN2A_1431,AAZ58919.1,None,peptide deformylase,SynWH8103_00356,CRY91102.1,def,peptide deformylase,1.35358E-87,,,,,,,,,,
PMN2A_1432,AAZ58920.1,None,dienelactone hydrolase,SynWH8103_00354,CRY91100.1,None,prolyl oligopeptidase/peptidase S9-like domain containing protein,0.00000E+00,,,,,,,,,,
PMN2A_1433,AAZ58921.1,None,cysteine desulfurase,SynWH8103_00353,CRY91099.1,None,putative cysteine desulfurase,0.00000E+00,SynWH8103_01390,CRY92118.1,None,aminotransferase class-V family protein,7.73445E-20,SynWH8103_02629,CRY93308.1,None,aminotransferase class-V family protein,6.50290E-18
PMN2A_1434,AAZ58922.1,None,ABC-type transport system involved in Fe-S cluster assembly permease component,SynWH8103_00352,CRY91098.1,sufD,"ABC transporter, membrane component, involved inFe-S cluster assembly",6.27189E-117,,,,,,,,,,
PMN2A_1435,AAZ58923.1,None,FeS assembly ATPase SufC,SynWH8103_00351,CRY91097.1,sufC,feS assembly ATPase SufC,3.16792E-144,SynWH8103_01424,CRY92151.1,ggtA,"ABC-type sugar transport system, ATPase component",3.44620E-15,SynWH8103_01095,CRY91829.1,None,ABC multidrug efflux transporter,2.12981E-11
PMN2A_1436,AAZ58924.1,None,Iron-regulated ABC transporter membrane component SufB,SynWH8103_00350,CRY91096.1,sufB,"ABC transporter, membrane component, involved inFe-S cluster assembly",0.00000E+00,SynWH8103_00352,CRY91098.1,sufD,"ABC transporter, membrane component, involved inFe-S cluster assembly",1.17535E-13,,,,,
PMN2A_1437,AAZ58925.1,None,conserved hypothetical protein,SynWH8103_00347,CRY91093.1,None,conserved hypothetical protein,6.16948E-22,,,,,,,,,,
PMN2A_1438,AAZ58926.1,None,conserved hypothetical protein,SynWH8103_00344,CRY91090.1,None,conserved hypothetical protein in phycocyanin gene cluster,5.34221E-161,,,,,,,,,,
PMN2A_1439,AAZ58927.1,None,membrane protein,SynWH8103_00343,CRY91089.1,None,putative membrane protein,4.31314E-22,,,,,,,,,,
PMN2A_1440,AAZ58928.1,None,phosphoglucomutase,SynWH8103_02472,CRY93160.1,None,"phosphoglucomutase/phosphomannomutase, C-terminal domain protein",0.00000E+00,,,,,,,,,,
PMN2A_1441,AAZ58929.1,None,Recombination protein MgsA,SynWH8103_02476,CRY93164.1,yrvN,"ATPase, AAA family domain protein",0.00000E+00,SynWH8103_00141,CRY90894.1,ruvB,holliday junction ATP-dependent DNA helicase RuvB,1.93554E-13,,,,,
PMN2A_1442,AAZ58930.1,None,possible 4'-phosphopantetheinyl transferase family protein,SynWH8103_02478,CRY93167.1,None,4'-phosphopantetheinyl transferase superfamily protein,1.06956E-43,,,,,,,,,,
PMN2A_1443,AAZ58931.1,None,putative bacterioferritin comigratory (BCP) protein,SynWH8103_02481,CRY93168.1,prxQ,peroxiredoxin,4.24227E-85,SynWH8103_01146,CRY91880.1,prxQ,Peroxiredoxin,8.55453E-30,SynWH8103_01419,CRY92146.1,prxQ,Peroxiredoxin,1.37327E-17
PMN2A_1444,AAZ58932.1,None,bordetella pertussis Bvg accessory factor,SynWH8103_02480,CRY93169.1,None,type III pantothenate kinase family protein,1.56159E-52,,,,,,,,,,
PMN2A_1445,AAZ58933.1,None,phosphoadenylylsulfate reductase (thioredoxin),SynWH8103_02482,CRY93170.1,cysH,phosophoadenylyl-sulfate reductase family protein,1.13255E-110,,,,,,,,,,
PMN2A_1446,AAZ58934.1,None,"NADH dehydrogenase, FAD-containing subunit",SynWH8103_02483,CRY93171.1,None,pyridine nucleotide-disulfide oxidoreductase family protein,2.16305E-91,,,,,,,,,,
PMN2A_1447,AAZ58935.1,None,di/tricarboxylate transporter,SynWH8103_02485,CRY93173.1,None,"putative sodium/sulfate transporter, DASS family",0.00000E+00,,,,,,,,,,
PMN2A_1448,AAZ58936.1,None,"trk-type K+ transport system, membrane component",SynWH8103_02486,CRY93174.1,trkH,"Potassium Ion transporter, Trk family",0.00000E+00,,,,,,,,,,
PMN2A_1449,AAZ58937.1,None,"K+ transport system, NAD-binding component",SynWH8103_02487,CRY93175.1,trkA,"K+ transport system, NAD-binding component",5.38630E-136,,,,,,,,,,
PMN2A_1450,AAZ58938.1,None,"conserved hypothetical protein, transport associated",SynWH8103_02488,CRY93176.1,None,conserved hypothetical protein,1.87288E-130,,,,,,,,,,
PMN2A_1451,AAZ58939.1,None,conserved hypothetical protein,SynWH8103_02489,CRY93177.1,None,conserved hypothetical protein,2.16655E-35,,,,,,,,,,
PMN2A_1452,AAZ58940.1,None,membrane protein,SynWH8103_02490,CRY93178.1,None,conserved hypothetical protein,8.07864E-39,,,,,,,,,,
PMN2A_1453,AAZ58941.1,None,conserved hypothetical protein,SynWH8103_02492,CRY93179.1,None,conserved hypothetical protein,2.03397E-29,,,,,,,,,,
PMN2A_1455,AAZ58943.1,None,ATPase,SynWH8103_02493,CRY93181.1,ccmA,"heme ABC exporter, ATP-binding protein CcmA",0.00000E+00,SynWH8103_02199,CRY92910.1,ccmA,"heme ABC exporter, ATP-binding protein CcmA",1.44896E-79,SynWH8103_01424,CRY92151.1,ggtA,"ABC-type sugar transport system, ATPase component",2.76663E-18
PMN2A_1456,AAZ58944.1,None,PDZ/DHR/GLGF protein,SynWH8103_02495,CRY93183.1,degQ,"serine endoprotease, periplasmic",1.39921E-135,SynWH8103_00702,CRY91441.1,degP,serine protease Do,7.94445E-94,SynWH8103_01737,CRY92463.1,htrA,serine protease,9.51803E-79
PMN2A_1457,AAZ58945.1,None,uncharacterized membrane protein,SynWH8103_02496,CRY93184.1,None,conserved hypothetical protein,5.63523E-21,SynWH8103_01198,CRY91929.1,None,conserved hypothetical protein,1.91243E-13,,,,,
PMN2A_1458,AAZ58946.1,None,conserved hypothetical protein,SynWH8103_02497,CRY93185.1,None,conserved hypothetical protein,2.73979E-85,,,,,,,,,,
PMN2A_1459,AAZ58947.1,None,possible high light inducible protein,SynWH8103_02500,CRY93188.1,hli,high light inducible protein,1.27056E-20,SynWH8103_01642,CRY92369.1,None,chlorophyll A-B binding family protein,1.13819E-11,,,,,
PMN2A_1460,AAZ58948.1,None,Exodeoxyribonuclease VII large subunit,SynWH8103_02502,CRY93190.1,xseA,"exodeoxyribonuclease VII, large subunit",1.90118E-134,,,,,,,,,,
PMN2A_1462,AAZ58950.1,None,conserved hypothetical protein,SynWH8103_02504,CRY93193.1,None,zinc-ribbon domain protein,1.48531E-16,,,,,,,,,,
PMN2A_1463,AAZ58951.1,None,putative serum resistance locus BrkB,SynWH8103_02506,CRY93194.1,None,virulence factor BrkB family protein,1.99395E-89,,,,,,,,,,
PMN2A_1464,AAZ58952.1,None,inositol monophosphatase family protein,SynWH8103_02516,CRY93197.1,None,Inositol monophosphatase family protein,2.15229E-123,SynWH8103_01414,CRY92141.1,suhB,inositol-1-monophosphatase,4.33928E-16,,,,,
PMN2A_1465,AAZ58953.1,None,outer membrane efflux protein,SynWH8103_02517,CRY93198.1,None,outer membrane efflux family protein,4.09165E-136,,,,,,,,,,
PMN2A_1466,AAZ58954.1,None,possible Fe-S oxidoreductase,SynWH8103_02518,CRY93199.1,None,conserved hypothetical protein,0.00000E+00,,,,,,,,,,
PMN2A_1467,AAZ58955.1,None,uncharacterized membrane protein,SynWH8103_02520,CRY93201.1,None,uncharacterized membrane protein (DUF3120),4.40428E-61,,,,,,,,,,
PMN2A_1468,AAZ58956.1,None,L-aspartate oxidase,SynWH8103_02522,CRY93203.1,nadB,L-aspartate oxidase,0.00000E+00,SynWH8103_00679,CRY91420.1,sdhA,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit",4.39745E-21,,,,,
PMN2A_1469,AAZ58957.1,None,thioredoxin domain 2,SynWH8103_02523,CRY93204.1,SynDsbAB,disulfide bond forming protein,4.89709E-124,SynWH8103_02209,CRY92920.1,None,conserved hypothetical protein,6.52276E-12,,,,,
PMN2A_1471,AAZ58959.1,None,dihydropteroate synthase,SynWH8103_02527,CRY93208.1,None,uncharacterised conserved protein UCP037673,9.20633E-49,,,,,,,,,,
PMN2A_1473,AAZ58961.1,None,conserved hypothetical protein,SynWH8103_02528,CRY93209.1,None,protein of unknown function DUF482,1.77843E-171,,,,,,,,,,
PMN2A_1474,AAZ58962.1,None,pyrimidine reductase,SynWH8103_02530,CRY93211.1,None,ribD C-terminal domain protein,4.70844E-60,,,,,,,,,,
PMN2A_1475,AAZ58963.1,None,6-pyruvoyl-tetrahydropterin synthase-like protein,SynWH8103_02531,CRY93212.1,queD,queuosine biosynthesis protein QueD,2.91797E-171,,,,,,,,,,
PMN2A_1476,AAZ58964.1,None,shikimate kinase,SynWH8103_02532,CRY93213.1,aroK,Shikimate kinase,5.37528E-59,,,,,,,,,,
PMN2A_1909,ABU23847.1,None,conserved hypothetical protein,SynWH8103_02533,CRY93214.1,None,conserved hypothetical protein,7.27783E-33,,,,,,,,,,
PMN2A_1477,AAZ58965.1,None,conserved hypothetical protein,SynWH8103_02535,CRY93215.1,None,conserved hypothetical protein,4.53543E-54,,,,,,,,,,
PMN2A_1478,AAZ58966.1,None,glutathione S-transferase zeta class,SynWH8103_02534,CRY93216.1,gst,Glutathione S-transferase,4.73392E-77,,,,,,,,,,
PMN2A_1479,AAZ58967.1,None,uncharacterized membrane protein,SynWH8103_02536,CRY93217.1,None,conserved hypothetical protein,1.81548E-21,,,,,,,,,,
PMN2A_1480,AAZ58968.1,None,ribosome-binding factor A,SynWH8103_02537,CRY93218.1,rbfA,ribosome-binding factor A,2.53046E-53,,,,,,,,,,
PMN2A_1481,AAZ58969.1,None,beta-N-acetylhexosaminidase,SynWH8103_02538,None,None,None,2.26961E-154,,,,,,,,,,
PMN2A_1482,AAZ58970.1,None,uroporphyrinogen-III synthase,SynWH8103_02541,CRY93221.1,None,uroporphyrinogen-III synthase HemD family protein,1.02367E-101,,,,,,,,,,
PMN2A_1483,AAZ58971.1,None,oligoketide cyclase/lipid transport protein-like protein,SynWH8103_02543,CRY93223.1,None,polyketide cyclase / dehydrase and lipid transport family protein,1.65021E-73,,,,,,,,,,
PMN2A_1484,AAZ58972.1,None,zeta-carotene desaturase,SynWH8103_02544,CRY93224.1,zds,"9,9'-di-cis-zeta-carotene desaturase",0.00000E+00,SynWH8103_02594,CRY93273.1,pds,phytoene dehydrogenase,1.89003E-76,,,,,
PMN2A_1485,AAZ58973.1,None,HesB/YadR/YfhF,SynWH8103_02545,CRY93225.1,iscA,iron-sulfur cluster complex assembly protein IscA,1.27769E-66,,,,,,,,,,
PMN2A_1486,AAZ58974.1,None,"TPR-repeat protein, specific for cyanobacteria",SynWH8103_02546,CRY93226.1,None,tetratricopeptide repeat family protein,2.45754E-59,,,,,,,,,,
PMN2A_1487,AAZ58975.1,None,Conserved hypothetical protein YfcH,SynWH8103_02549,CRY93229.1,sulA,cell division inhibitor,1.05694E-135,,,,,,,,,,
PMN2A_1488,AAZ58976.1,None,conserved hypothetical protein,SynWH8103_02551,CRY93230.1,ndh0,NADH dehydrogenase I subunit NdhO,2.40394E-29,,,,,,,,,,
PMN2A_1489,AAZ58977.1,None,"Heat shock protein DnaJ, N-terminal protein",SynWH8103_02552,CRY93232.1,None,Chaperone containing DnaJ domain,3.31097E-68,,,,,,,,,,
PMN2A_1490,AAZ58978.1,None,cysteine synthase,SynWH8103_02553,CRY93233.1,cysK,O-acetylserine (thiol)-lyase A,6.06780E-154,SynWH8103_00771,CRY91510.1,cysK,cysteine synthase A,3.55488E-97,,,,,
PMN2A_1491,AAZ58979.1,None,unknown,SynWH8103_02560,CRY93240.1,None,possible inverting glycosyltransferase family 83utilizing lipid monophospho-sugar donors,3.29124E-55,,,,,,,,,,
PMN2A_1492,AAZ58980.1,None,conserved hypothetical protein in cyanobacteria,SynWH8103_02564,CRY93244.1,None,conserved hypothetical protein,1.49240E-25,,,,,,,,,,
