Locus tag,Protein ID,Gene,Protein name,Hit #1 locus tag,Protein ID,Gene,Protein name,E-value,Hit #2 locus tag,Protein ID,Gene,Protein name,E-value,Hit #3 locus tag,Protein ID,Gene,Protein name,E-value
PMN2A_1341,AAZ58830.1,None,"tRNA-U16,U17-dihydrouridine synthase",PMM0014,CAE18473.1,None,conserved hypothetical protein,2.58013E-141,PMM1009,CAE19468.1,None,putative nitrogen regulation protein NifR3 family homolog,6.23399E-30,,,,,
PMN2A_1342,AAZ58831.1,None,methionine sulfoxide reductase B,PMM0015,CAE18474.1,None,Domain of unknown function DUF25,1.69848E-70,,,,,,,,,,
PMN2A_1343,AAZ58832.1,None,"molecular chaperone GrpE, heat shock protein",PMM0016,CAE18475.1,grpE,Heat shock protein GrpE,3.75978E-93,,,,,,,,,,
PMN2A_1344,AAZ58833.1,None,Heat shock protein DnaJ,PMM0017,CAE18476.1,dnaJ,DnaJ protein,0.00000E+00,PMM0896,CAE19355.1,dnaJ2,DnaJ2 protein,8.08141E-21,,,,,
PMN2A_1345,AAZ58834.1,None,conserved hypothetical protein,PMM0018,CAE18477.1,None,conserved hypothetical protein,6.24895E-14,,,,,,,,,,
PMN2A_1346,AAZ58835.1,None,GTPase EngC,PMM0019,CAE18478.1,None,conserved hypothetical protein,4.66188E-75,,,,,,,,,,
PMN2A_1347,AAZ58836.1,None,Conserved hypothetical protein 103,PMM0020,CAE18479.1,None,conserved hypothetical protein,8.73038E-54,,,,,,,,,,
PMN2A_1348,AAZ58837.1,None,UDP-N-acetylmuramate dehydrogenase,PMM0021,CAE18480.1,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,2.00461E-86,,,,,,,,,,
PMN2A_1349,AAZ58838.1,None,UDP-N-acetylmuramate--L-alanine ligase,PMM0022,CAE18481.1,murC,Probable UDP-N-acetylmuramate-alanine ligase,2.91171E-140,,,,,,,,,,
PMN2A_1350,AAZ58839.1,None,glyceraldehyde 3-phosphate dehydrogenase (NADP+),PMM0023,CAE18482.1,gap2,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),0.00000E+00,PMM0713,CAE19172.1,gap1,Putative glyceraldehyde 3-phosphate dehydrogenase,2.90942E-85,,,,,
PMN2A_1351,AAZ58840.1,None,thiamine-phosphate kinase,PMM0024,CAE18483.1,thiL,putative thiamine-monophosphate kinase,5.59242E-85,,,,,,,,,,
PMN2A_1352,AAZ58841.1,None,peptidyl-prolyl cis-trans isomerase,PMM0025,CAE18484.1,None,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,5.75522E-152,,,,,,,,,,
PMN2A_1353,AAZ58842.1,None,translation elongation factor P (EF-P),PMM0026,CAE18485.1,efp,Elongation factor P (EF-P),3.33572E-109,,,,,,,,,,
PMN2A_1354,AAZ58843.1,None,biotin carboxyl carrier protein,PMM0027,CAE18486.1,"accB,fabE",Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit,4.88834E-62,,,,,,,,,,
PMN2A_1355,AAZ58844.1,None,4-hydroxythreonine-4-phosphate dehydrogenase,PMM0028,CAE18487.1,pdxA,putative pyridoxal phosphate biosynthetic protein PdxA,2.79313E-105,,,,,,,,,,
PMN2A_1356,AAZ58845.1,None,NAD dependent epimerase/dehydratase,PMM0029,CAE18488.1,None,conserved hypothetical protein,1.10075E-104,,,,,,,,,,
PMN2A_1358,AAZ58847.1,None,HNH nuclease,PMM0031,CAE18490.1,None,HNH endonuclease:HNH nuclease,1.55132E-67,PMM1403,CAE19862.1,None,HNH endonuclease:HNH nuclease,4.06945E-66,PMM0982,CAE19441.1,None,HNH endonuclease:HNH nuclease,1.09398E-52
PMN2A_1359,AAZ58848.1,None,conserved hypothetical protein,PMM0032,CAE18491.1,None,possible Bacterial type II secretion system pr,4.75111E-24,,,,,,,,,,
PMN2A_1361,AAZ58850.1,None,serine-pyruvate/aspartate aminotransferase related enzyme,PMM0035,CAE18494.1,DHSS,soluble hydrogenase small subunit,0.00000E+00,PMM0919,CAE19378.1,"spt, agt",serine:pyruvate/alanine:glyoxylate aminotransferase,3.59315E-60,,,,,
PMN2A_1362,AAZ58851.1,None,cobalamin (vitamin B12) biosynthesis CbiD protein,PMM0036,CAE18495.1,None,CbiD protein,1.54582E-109,,,,,,,,,,
PMN2A_1363,AAZ58852.1,None,GMP synthase (glutamine-hydrolyzing),PMM0037,CAE18496.1,guaA,Glutamine amidotransferase class-I:GMP synthase,0.00000E+00,PMM0184,CAE18643.1,pabA,para-aminobenzoate synthase component II,5.25169E-13,,,,,
PMN2A_1364,AAZ58853.1,None,SAM (and some other nucleotide) binding motif:TPR repeat,PMM1243,CAE19702.1,None,possible methyltransferase,3.34565E-11,,,,,,,,,,
PMN2A_1369,AAZ58857.1,None,conserved hypothetical protein,PMM0699,CAE19158.1,None,conserved hypothetical,4.31204E-32,PMM0722,CAE19181.1,None,hypothetical,2.50893E-25,,,,,
PMN2A_1370,AAZ58858.1,None,conserved hypothetical protein,PMM1022,CAE19481.1,None,conserved hypothetical,4.89996E-57,PMM1408,CAE19867.1,None,hypothetical,5.84845E-14,,,,,
PMN2A_1371,AAZ58859.1,None,membrane protein,PMM0039,CAE18498.1,None,conserved hypothetical protein,8.34319E-92,,,,,,,,,,
PMN2A_1373,AAZ58861.1,None,peptidoglycan glycosyltransferase,PMM0040,CAE18499.1,None,Putative penicillin-binding protein,0.00000E+00,PMM0518,CAE18977.1,ftsI,putative peptidoglycan synthetase (pbp transpeptidase domain),5.98632E-26,,,,,
PMN2A_1374,AAZ58862.1,None,flavoprotein,PMM0041,CAE18500.1,None,possible reductase,2.11518E-59,,,,,,,,,,
PMN2A_1375,AAZ58863.1,None,flavodoxin:flavin reductase-like domain,PMM0042,CAE18501.1,None,flavoprotein,0.00000E+00,PMM0043,CAE18502.1,None,flavoprotein,1.28020E-96,PMM0883,CAE19342.1,None,conserved hypothetical protein,1.62912E-13
PMN2A_1376,AAZ58864.1,None,metallo-beta-lactamase superfamily:flavin reductase-like domain,PMM0043,CAE18502.1,None,flavoprotein,0.00000E+00,PMM0042,CAE18501.1,None,flavoprotein,8.43777E-94,PMM0883,CAE19342.1,None,conserved hypothetical protein,1.70912E-12
PMN2A_1377,AAZ58865.1,None,alanyl-tRNA synthetase,PMM0044,CAE18503.1,alaS,Alanyl-tRNA synthetase,0.00000E+00,,,,,,,,,,
PMN2A_1378,AAZ58866.1,None,arginine decarboxylase,PMM0045,CAE18504.1,None,Orn/DAP/Arg decarboxylases family 2,0.00000E+00,PMM1090,CAE19549.1,lysA,Diaminopimelate decarboxylase,8.18449E-14,,,,,
PMN2A_1379,AAZ58867.1,None,nucleoside diphosphate kinase,PMM0046,CAE18505.1,None,Nucleoside diphosphate kinase,1.09513E-86,,,,,,,,,,
PMN2A_1380,AAZ58868.1,None,glycine/D-amino acid oxidase family enzyme,PMM0047,CAE18506.1,thiO,PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE,2.44117E-135,,,,,,,,,,
PMN2A_1381,AAZ58869.1,None,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,PMM0048,CAE18507.1,gatB,Glutamyl-tRNA (Gln) amidotransferase subunit B,0.00000E+00,,,,,,,,,,
PMN2A_1382,AAZ58870.1,None,dephospho-CoA kinase,PMM0049,CAE18508.1,coaE,putative dephospho-CoA kinase,5.58935E-49,,,,,,,,,,
PMN2A_1383,AAZ58871.1,None,N-acetylglutamate synthase / glutamate N-acetyltransferase,PMM0050,CAE18509.1,argJ,ArgJ family,9.53670E-156,,,,,,,,,,
PMN2A_1386,AAZ58874.1,None,enzyme of the cupin superfamily,PMM1372,CAE19831.1,None,conserved hypothetical protein,1.97485E-29,,,,,,,,,,
PMN2A_1390,AAZ58878.1,None,cyanase,PMM0373,CAE18832.1,cynS,Cyanate lyase,3.13547E-74,,,,,,,,,,
PMN2A_1392,AAZ58880.1,None,conserved hypothetical protein,PMM1871,CAP16375.1,None,Conserved hypothetical protein,1.34813E-20,,,,,,,,,,
PMN2A_1398,AAZ58886.1,None,conserved hypothetical protein,PMM1008,CAE19467.1,None,hypothetical,4.61376E-40,,,,,,,,,,
PMN2A_1399,AAZ58887.1,None,conserved hypothetical protein,PMM0990,CAE19449.1,None,conserved hypothetical protein,8.16667E-54,,,,,,,,,,
PMN2A_1401,AAZ58889.1,None,conserved hypothetical protein,PMM0337,CAE18796.1,None,conserved hypothetical protein,3.75796E-28,,,,,,,,,,
PMN2A_1402,AAZ58890.1,None,conserved hypothetical protein,PMM0875,CAE19334.1,None,conserved hypothetical protein,1.84262E-45,,,,,,,,,,
PMN2A_1404,AAZ58892.1,None,possible high light inducible protein,PMM1399,CAE19858.1,hli6,possible high light inducible protein,4.85454E-13,PMM0818,CAE19277.1,hli16,possible high light inducible protein,4.85454E-13,PMM1384,CAE19843.1,hli12,possible high light inducible protein,2.72501E-12
PMN2A_1408,AAZ58896.1,None,short-chain dehydrogenase/reductase family enzyme,PMM0694,CAE19153.1,None,Short-chain dehydrogenase/reductase (SDR) superfamily,2.26064E-99,PMM0414,CAE18873.1,None,putative short chain dehydrogenase,5.66322E-17,,,,,
PMN2A_1409,AAZ58897.1,None,hypothetical protein,PMM0988,CAE19447.1,None,Helix-hairpin-helix DNA-binding motif class 1,1.75026E-18,,,,,,,,,,
PMN2A_1410,AAZ58898.1,None,conserved hypothetical protein,PMM0051,CAE18510.1,None,conserved hypothetical protein,3.28030E-105,,,,,,,,,,
PMN2A_1411,AAZ58899.1,None,ATPase,PMM1239,CAE19698.1,hetA,ABC transporter,7.22483E-68,PMM1099,CAE19558.1,None,"ABC transporter, multidrug efflux family",4.08466E-46,PMM0561,CAE19020.1,None,putative multidrug efflux ABC transporter,1.60104E-36
PMN2A_1413,AAZ58901.1,None,mannosyltransferase,PMM0397,CAE18856.1,None,"possible Glycosyl transferase, group 1",3.52776E-15,PMM1223,CAE19682.1,None,"putative glycosyl transferase, group 1",9.97518E-15,,,,,
PMN2A_1414,AAZ58902.1,None,conserved hypothetical protein,PMM0996,CAE19455.1,None,conserved hypothetical protein,1.50320E-58,PMM1409,CAE19868.1,None,possible Rubredoxin,1.11985E-20,PMM0364,CAE18823.1,None,possible Malic enzyme,3.69949E-17
PMN2A_1415,AAZ58903.1,None,putative RNA methylase family UPF0020,PMM0053,CAE18512.1,None,Putative RNA methylase family UPF0020,1.05876E-139,,,,,,,,,,
PMN2A_1416,AAZ58904.1,None,membrane protein,PMM0054,CAE18513.1,None,conserved hypothetical protein,2.51792E-42,,,,,,,,,,
PMN2A_1417,AAZ58905.1,None,conserved hypothetical protein,PMM0055,CAE18514.1,None,conserved hypothetical protein,2.58283E-45,,,,,,,,,,
PMN2A_1418,AAZ58906.1,None,conserved hypothetical protein,PMM1802,CAP16304.1,None,Conserved hypothetical protein,2.13045E-17,,,,,,,,,,
PMN2A_1419,AAZ58907.1,None,conserved hypothetical protein,PMM0056,CAE18515.1,None,conserved hypothetical protein,1.52171E-14,,,,,,,,,,
PMN2A_1420,AAZ58908.1,None,condensin subunit Smc,PMM0057,CAE18516.1,None,"putative chromosome segregation protein, SMC ATPase superfamily",0.00000E+00,,,,,,,,,,
PMN2A_1421,AAZ58909.1,None,protein implicated in RNA metabolism (PRC-barrel domain),PMM0058,CAE18517.1,None,conserved hypothetical protein,4.12563E-133,,,,,,,,,,
PMN2A_1422,AAZ58910.1,None,cyanobacteria-specific protein related to lipid A disaccharide synthetase,PMM0059,CAE18518.1,None,conserved hypothetical protein,2.21628E-146,,,,,,,,,,
PMN2A_1423,AAZ58911.1,None,"acetyl-CoA carboxylase, biotin carboxylase",PMM0060,CAE18519.1,"accC, fabG","acetyl-CoA carboxylase, biotin carboxylase subunit",0.00000E+00,,,,,,,,,,
PMN2A_1424,AAZ58912.1,None,"YGGT family, conserved hypothetical protein integral membrane protein",PMM0061,CAE18520.1,None,"YGGT family, conserved hypothetical integral membrane protein",4.12768E-31,,,,,,,,,,
PMN2A_1426,AAZ58914.1,None,conserved hypothetical protein,PMM0063,CAE18522.1,None,conserved hypothetical protein,1.26523E-101,,,,,,,,,,
PMN2A_1427,AAZ58915.1,None,high light inducible protein hli5,PMM0064,CAE18523.1,hli2,possible high light inducible protein,7.37294E-20,,,,,,,,,,
PMN2A_1428,AAZ58916.1,None,ATPase,PMM0065,CAE18524.1,None,"ABC transporter, ATP binding protein",0.00000E+00,PMM1239,CAE19698.1,hetA,ABC transporter,1.66838E-17,PMM0750,CAE19209.1,None,"ABC transporter, ATP-binding component",9.35472E-17
PMN2A_1429,AAZ58917.1,None,conserved hypothetical protein,PMM0066,CAE18525.1,None,conserved hypothetical protein,2.63985E-19,,,,,,,,,,
PMN2A_1430,AAZ58918.1,None,HIT family hydrolase,PMM0067,CAE18526.1,None,HIT (Histidine triad) family protein,1.98244E-51,,,,,,,,,,
PMN2A_1431,AAZ58919.1,None,peptide deformylase,PMM0068,CAE18527.1,def,putative formylmethionine deformylase,2.74292E-92,,,,,,,,,,
PMN2A_1432,AAZ58920.1,None,dienelactone hydrolase,PMM0069,CAE18528.1,None,Esterase/lipase/thioesterase family active site,7.93868E-130,,,,,,,,,,
PMN2A_1433,AAZ58921.1,None,cysteine desulfurase,PMM0070,CAE18529.1,None,putative cysteine desulfurase or selenocysteine lyase,0.00000E+00,PMM0170,CAE18629.1,None,NifS-like aminotransferase class-V,2.46747E-16,PMM0887,CAE19346.1,nifS,possible cysteine desulfurase (class-V aminotransferase family),5.63113E-15
PMN2A_1434,AAZ58922.1,None,ABC-type transport system involved in Fe-S cluster assembly permease component,PMM0071,CAE18530.1,None,"ABC transporter, membrane component",2.23726E-89,,,,,,,,,,
PMN2A_1435,AAZ58923.1,None,FeS assembly ATPase SufC,PMM0072,CAE18531.1,None,"ABC transporter, ATP binding component",2.05386E-129,PMM0973,CAE19432.1,urtD,putative ATP binding subunit of urea ABC transport system,3.77721E-15,PMM0449,CAE18908.1,None,putative multidrug efflux ABC transporter,1.58688E-13
PMN2A_1436,AAZ58924.1,None,Iron-regulated ABC transporter membrane component SufB,PMM0073,CAE18532.1,None,"ABC transporter, membrane component",0.00000E+00,,,,,,,,,,
PMN2A_1437,AAZ58925.1,None,conserved hypothetical protein,PMM0074,CAE18533.1,None,conserved hypothetical,8.15617E-17,,,,,,,,,,
PMN2A_1438,AAZ58926.1,None,conserved hypothetical protein,PMM0075,CAE18534.1,None,conserved hypothetical protein,4.87186E-138,,,,,,,,,,
PMN2A_1439,AAZ58927.1,None,membrane protein,PMM1803,CAP16305.1,None,membrane protein,7.23286E-25,,,,,,,,,,
PMN2A_1440,AAZ58928.1,None,phosphoglucomutase,PMM0076,CAE18535.1,pgm,Phosphoglucomutase,0.00000E+00,PMM0278,CAE18737.1,None,Phosphotransferase superclass,6.73999E-24,,,,,
PMN2A_1441,AAZ58929.1,None,Recombination protein MgsA,PMM0077,CAE18536.1,yrvN,"putative ATPase, AAA family",3.56202E-159,,,,,,,,,,
PMN2A_1442,AAZ58930.1,None,possible 4'-phosphopantetheinyl transferase family protein,PMM0078,CAE18537.1,None,possible 4'-phosphopantetheinyl transferase family protein,4.75458E-39,,,,,,,,,,
PMN2A_1443,AAZ58931.1,None,putative bacterioferritin comigratory (BCP) protein,PMM0079,CAE18538.1,bcp,putative bacterioferritin comigratory (BCP) protein,4.19715E-68,PMM0345,CAE18804.1,None,putative bacterioferritin comigratory protein,2.78261E-26,PMM0903,CAE19362.1,None,Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein,2.43806E-21
PMN2A_1444,AAZ58932.1,None,bordetella pertussis Bvg accessory factor,PMM0080,CAE18539.1,None,conserved hypothetical protein,5.60207E-51,,,,,,,,,,
PMN2A_1445,AAZ58933.1,None,phosphoadenylylsulfate reductase (thioredoxin),PMM0081,CAE18540.1,cysH,Phosphoadenosine phosphosulfate reductase,6.56916E-99,,,,,,,,,,
PMN2A_1446,AAZ58934.1,None,"NADH dehydrogenase, FAD-containing subunit",PMM0082,CAE18541.1,None,"putative NADH dehydrogenase, transport associated",3.99541E-88,,,,,,,,,,
PMN2A_1447,AAZ58935.1,None,di/tricarboxylate transporter,PMM0083,CAE18542.1,None,"putative sodium/sulfate transporter, DASS family",0.00000E+00,,,,,,,,,,
PMN2A_1448,AAZ58936.1,None,"trk-type K+ transport system, membrane component",PMM0084,CAE18543.1,None,"possible sodium transporter, Trk family",0.00000E+00,,,,,,,,,,
PMN2A_1449,AAZ58937.1,None,"K+ transport system, NAD-binding component",PMM0085,CAE18544.1,None,"putative potassium channel, VIC family",3.90303E-141,,,,,,,,,,
PMN2A_1451,AAZ58939.1,None,conserved hypothetical protein,PMM0086,CAE18545.1,None,Conserved hypothetical protein,5.26270E-37,,,,,,,,,,
PMN2A_1452,AAZ58940.1,None,membrane protein,PMM0087,CAE18546.1,None,conserved hypothetical protein,2.31627E-32,,,,,,,,,,
PMN2A_1453,AAZ58941.1,None,conserved hypothetical protein,PMM0088,CAE18547.1,None,conserved hypothetical protein,4.65232E-27,,,,,,,,,,
PMN2A_1454,AAZ58942.1,None,hypothetical protein,PMM1804,CAP16306.1,None,Conserved hypothetical protein,7.74479E-18,,,,,,,,,,
PMN2A_1455,AAZ58943.1,None,ATPase,PMM0089,CAE18548.1,None,"ABC transporter, ATP binding component",0.00000E+00,PMM0089,CAE18548.1,None,"ABC transporter, ATP binding component",1.43070E-19,PMM0449,CAE18908.1,None,putative multidrug efflux ABC transporter,1.08873E-19
PMN2A_1456,AAZ58944.1,None,PDZ/DHR/GLGF protein,PMM0090,CAE18549.1,None,possible serine protease,5.96360E-120,PMM1490,CAE19949.1,None,Serine protease,1.86141E-95,PMM1425,CAE19884.1,None,"Serine proteases, trypsin family:HtrA/DegQ protease family",1.09505E-25
PMN2A_1457,AAZ58945.1,None,uncharacterized membrane protein,PMM0091,CAE18550.1,None,conserved hypothetical protein,9.48819E-15,,,,,,,,,,
PMN2A_1458,AAZ58946.1,None,conserved hypothetical protein,PMM0092,CAE18551.1,None,conserved hypothetical protein,2.64215E-65,,,,,,,,,,
PMN2A_1459,AAZ58947.1,None,possible high light inducible protein,PMM0093,CAE18552.1,hli1,possible high light inducible protein,7.49366E-22,,,,,,,,,,
PMN2A_1463,AAZ58951.1,None,putative serum resistance locus BrkB,PMM0095,CAE18554.1,None,similar to serum resistance locus BrkB,5.74132E-137,,,,,,,,,,
PMN2A_1464,AAZ58952.1,None,inositol monophosphatase family protein,PMM0096,CAE18555.1,None,inositol monophosphate family protein,5.93885E-115,PMM0899,CAE19358.1,None,Possible myo-inositol-1(or 4)-monophosphatase,2.09116E-18,,,,,
PMN2A_1465,AAZ58953.1,None,outer membrane efflux protein,PMM0097,CAE18556.1,None,possible RND family outer membrane efflux protein,5.35818E-69,,,,,,,,,,
PMN2A_1466,AAZ58954.1,None,possible Fe-S oxidoreductase,PMM0098,CAE18557.1,None,possible Fe-S oxidoreductase,0.00000E+00,,,,,,,,,,
PMN2A_1467,AAZ58955.1,None,uncharacterized membrane protein,PMM0099,CAE18558.1,None,conserved hypothetical protein,6.43918E-67,,,,,,,,,,
PMN2A_1468,AAZ58956.1,None,L-aspartate oxidase,PMM0100,CAE18559.1,nadB,L-aspartate oxidase,0.00000E+00,,,,,,,,,,
PMN2A_1469,AAZ58957.1,None,thioredoxin domain 2,PMM0101,CAE18560.1,None,conserved hypothetical protein,7.85248E-106,,,,,,,,,,
PMN2A_1471,AAZ58959.1,None,dihydropteroate synthase,PMM0103,CAE18562.1,None,conserved hypothetical protein,1.59174E-39,,,,,,,,,,
PMN2A_1473,AAZ58961.1,None,conserved hypothetical protein,PMM0104,CAE18563.1,None,conserved hypothetical protein,3.90593E-147,,,,,,,,,,
PMN2A_1474,AAZ58962.1,None,pyrimidine reductase,PMM0105,CAE18564.1,ribG,RibD/ribG C-terminal domain,8.62930E-56,,,,,,,,,,
PMN2A_1475,AAZ58963.1,None,6-pyruvoyl-tetrahydropterin synthase-like protein,PMM0106,CAE18565.1,None,6-pyruvoyl tetrahydropterin synthase,3.85234E-157,,,,,,,,,,
PMN2A_1476,AAZ58964.1,None,shikimate kinase,PMM0107,CAE18566.1,aroK,Shikimate kinase,7.87477E-59,,,,,,,,,,
PMN2A_1909,ABU23847.1,None,conserved hypothetical protein,PMM0108,CAE18567.1,None,conserved hypothetical protein,2.34513E-18,,,,,,,,,,
PMN2A_1477,AAZ58965.1,None,conserved hypothetical protein,PMM0109,CAE18568.1,None,possible POLO box duplicated region.,9.41324E-45,,,,,,,,,,
PMN2A_1478,AAZ58966.1,None,glutathione S-transferase zeta class,PMM0110,CAE18569.1,None,putative glutathione S-transferase,2.06964E-63,,,,,,,,,,
PMN2A_1479,AAZ58967.1,None,uncharacterized membrane protein,PMM0111,CAE18570.1,None,conserved hypothetical protein,4.41181E-20,,,,,,,,,,
PMN2A_1480,AAZ58968.1,None,ribosome-binding factor A,PMM0112,CAE18571.1,rbfA,Ribosome-binding factor A,1.35475E-27,,,,,,,,,,
PMN2A_1482,AAZ58970.1,None,uroporphyrinogen-III synthase,PMM0113,CAE18572.1,hemD,putative uroporphyrinogen III synthase,2.24612E-92,,,,,,,,,,
PMN2A_1483,AAZ58971.1,None,oligoketide cyclase/lipid transport protein-like protein,PMM0114,CAE18573.1,None,conserved hypothetical protein,2.81669E-70,,,,,,,,,,
PMN2A_1484,AAZ58972.1,None,zeta-carotene desaturase,PMM0115,CAE18574.1,crtQ,zeta-carotene desaturase,0.00000E+00,PMM0144,CAE18603.1,"pds,crtD",phytoene desaturase,8.48314E-80,,,,,
PMN2A_1485,AAZ58973.1,None,HesB/YadR/YfhF,PMM0116,CAE18575.1,None,conserved hypothetical protein,2.11781E-61,,,,,,,,,,
PMN2A_1486,AAZ58974.1,None,"TPR-repeat protein, specific for cyanobacteria",PMM0117,CAE18576.1,None,conserved hypothetical protein,3.14375E-47,,,,,,,,,,
PMN2A_1487,AAZ58975.1,None,Conserved hypothetical protein YfcH,PMM0120,CAE18579.1,None,putative cell division inhibitor,2.53721E-115,,,,,,,,,,
PMN2A_1488,AAZ58976.1,None,conserved hypothetical protein,PMM0121,CAE18580.1,None,conserved hypothetical protein,2.35018E-27,,,,,,,,,,
PMN2A_1489,AAZ58977.1,None,"Heat shock protein DnaJ, N-terminal protein",PMM0122,CAE18581.1,None,possible heat shock protein DnaJ,2.42544E-57,,,,,,,,,,
PMN2A_1490,AAZ58978.1,None,cysteine synthase,PMM0123,CAE18582.1,cysK2,O-acetylserine (thiol)-lyase A,1.38488E-149,PMM0407,CAE18866.1,cysK1,O-acetylserine (thiol)-lyase A,1.48207E-95,,,,,
PMN2A_1492,AAZ58980.1,None,conserved hypothetical protein in cyanobacteria,PMM0124,CAE18583.1,None,conserved hypothetical protein in cyanobacteria,1.30153E-27,,,,,,,,,,
PMN2A_1493,AAZ58981.1,None,ATPase,PMM0125,CAE18584.1,None,"possible ABC transporter, ATP-binding component",2.98487E-75,PMM0666,CAE19125.1,None,"possible ABC transporter, ATP-binding component",7.39275E-21,PMM1239,CAE19698.1,hetA,ABC transporter,8.82865E-21
PMN2A_1494,AAZ58982.1,None,"two component transcriptional regulator, winged helix family",PMM0128,CAE18587.1,rpaA,two-component response regulator,4.65630E-162,PMM0134,CAE18593.1,rpaB,two-component response regulator,1.64787E-55,PMM0705,CAE19164.1,phoB,"two-component response regulator, phosphate",2.86989E-49
PMN2A_1495,AAZ58983.1,None,"DNA polymerase III, delta prime subunit",PMM0129,CAE18588.1,holB,"DNA polymerase III, delta prime subunit",6.85677E-69,PMM1658,CAE20117.1,dnaX,"DNA polymerase, gamma and tau subunits",1.62472E-18,,,,,
PMN2A_1496,AAZ58984.1,None,thymidylate kinase,PMM0130,CAE18589.1,None,Thymidylate kinase,5.14547E-76,,,,,,,,,,
PMN2A_1497,AAZ58985.1,None,"ATPase, E1-E2 type:Copper-translocating P-type ATPase:Heavy metal translocating P-type ATPase",PMM0131,CAE18590.1,None,putative P-type ATPase transporter for copper,0.00000E+00,,,,,,,,,,
PMN2A_1498,AAZ58986.1,None,TPR repeat,PMM0132,CAE18591.1,None,cyanobacterial conserved hypothetical,3.75867E-101,,,,,,,,,,
PMN2A_1499,AAZ58987.1,None,DNA repair protein RadA,PMM0133,CAE18592.1,radA,putative DNA repair protein RadA,0.00000E+00,,,,,,,,,,
PMN2A_1500,AAZ58988.1,None,"two component transcriptional regulator, winged helix family",PMM0134,CAE18593.1,rpaB,two-component response regulator,1.07218E-159,PMM1619,CAE20078.1,None,two-component response regulator,8.75816E-90,PMM0128,CAE18587.1,rpaA,two-component response regulator,2.58229E-53
PMN2A_1501,AAZ58989.1,None,phosphate:acyl-[acyl carrier protein,PMM0135,CAE18594.1,plsX,fatty acid/phospholipid synthesis protein PlsX,0.00000E+00,,,,,,,,,,
PMN2A_1502,AAZ58990.1,None,3-oxoacyl-[acyl-carrier-protein,PMM0136,CAE18595.1,fabH,3-oxoacyl-[acyl-carrier-protein,6.41351E-150,,,,,,,,,,
