Locus tag,Protein ID,Gene,Protein name
[locus_tag=PMN2A_1359],[protein_id=AAZ58848.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1360],[protein_id=AAZ58849.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1361],[protein_id=AAZ58850.1],[gene=None],[protein=serine-pyruvate/aspartate aminotransferase related enzyme]
[locus_tag=PMN2A_1362],[protein_id=AAZ58851.1],[gene=None],[protein=cobalamin (vitamin B12) biosynthesis CbiD protein]
[locus_tag=PMN2A_1363],[protein_id=AAZ58852.1],[gene=None],[protein=GMP synthase (glutamine-hydrolyzing)]
[locus_tag=PMN2A_1364],[protein_id=AAZ58853.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif:TPR repeat]
[locus_tag=PMN2A_1368],[protein_id=AAZ58856.1],[gene=None],[protein=kef-type K+ transport system predicted NAD-binding component]
[locus_tag=PMN2A_1371],[protein_id=AAZ58859.1],[gene=None],[protein=membrane protein]
[locus_tag=PMN2A_1372],[protein_id=AAZ58860.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1373],[protein_id=AAZ58861.1],[gene=None],[protein=peptidoglycan glycosyltransferase]
[locus_tag=PMN2A_1374],[protein_id=AAZ58862.1],[gene=None],[protein=flavoprotein]
[locus_tag=PMN2A_1375],[protein_id=AAZ58863.1],[gene=None],[protein=flavodoxin:flavin reductase-like domain]
[locus_tag=PMN2A_1376],[protein_id=AAZ58864.1],[gene=None],[protein=metallo-beta-lactamase superfamily:flavin reductase-like domain]
[locus_tag=PMN2A_1377],[protein_id=AAZ58865.1],[gene=None],[protein=alanyl-tRNA synthetase]
[locus_tag=PMN2A_1378],[protein_id=AAZ58866.1],[gene=None],[protein=arginine decarboxylase]
[locus_tag=PMN2A_1379],[protein_id=AAZ58867.1],[gene=None],[protein=nucleoside diphosphate kinase]
[locus_tag=PMN2A_1380],[protein_id=AAZ58868.1],[gene=None],[protein=glycine/D-amino acid oxidase family enzyme]
[locus_tag=PMN2A_1381],[protein_id=AAZ58869.1],[gene=None],[protein=aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B]
[locus_tag=PMN2A_1382],[protein_id=AAZ58870.1],[gene=None],[protein=dephospho-CoA kinase]
[locus_tag=PMN2A_1383],[protein_id=AAZ58871.1],[gene=None],[protein=N-acetylglutamate synthase / glutamate N-acetyltransferase]
[locus_tag=PMN2A_1390],[protein_id=AAZ58878.1],[gene=None],[protein=cyanase]
[locus_tag=PMN2A_1399],[protein_id=AAZ58887.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1402],[protein_id=AAZ58890.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1407],[protein_id=AAZ58895.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1408],[protein_id=AAZ58896.1],[gene=None],[protein=short-chain dehydrogenase/reductase family enzyme]
[locus_tag=PMN2A_1411],[protein_id=AAZ58899.1],[gene=None],[protein=ATPase]
[locus_tag=PMN2A_1413],[protein_id=AAZ58901.1],[gene=None],[protein=mannosyltransferase]
[locus_tag=PMN2A_1414],[protein_id=AAZ58902.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1415],[protein_id=AAZ58903.1],[gene=None],[protein=putative RNA methylase family UPF0020]
[locus_tag=PMN2A_1416],[protein_id=AAZ58904.1],[gene=None],[protein=membrane protein]
[locus_tag=PMN2A_1417],[protein_id=AAZ58905.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1419],[protein_id=AAZ58907.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1420],[protein_id=AAZ58908.1],[gene=None],[protein=condensin subunit Smc]
[locus_tag=PMN2A_1421],[protein_id=AAZ58909.1],[gene=None],[protein=protein implicated in RNA metabolism (PRC-barrel domain)]
[locus_tag=PMN2A_1422],[protein_id=AAZ58910.1],[gene=None],[protein=cyanobacteria-specific protein related to lipid A disaccharide synthetase]
[locus_tag=PMN2A_1423],[protein_id=AAZ58911.1],[gene=None],"[protein=acetyl-CoA carboxylase, biotin carboxylase]"
[locus_tag=PMN2A_1424],[protein_id=AAZ58912.1],[gene=None],"[protein=YGGT family, conserved hypothetical protein integral membrane protein]"
[locus_tag=PMN2A_1426],[protein_id=AAZ58914.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1427],[protein_id=AAZ58915.1],[gene=None],[protein=high light inducible protein hli5]
[locus_tag=PMN2A_1428],[protein_id=AAZ58916.1],[gene=None],[protein=ATPase]
[locus_tag=PMN2A_1430],[protein_id=AAZ58918.1],[gene=None],[protein=HIT family hydrolase]
[locus_tag=PMN2A_1431],[protein_id=AAZ58919.1],[gene=None],[protein=peptide deformylase]
[locus_tag=PMN2A_1432],[protein_id=AAZ58920.1],[gene=None],[protein=dienelactone hydrolase]
[locus_tag=PMN2A_1433],[protein_id=AAZ58921.1],[gene=None],[protein=cysteine desulfurase]
[locus_tag=PMN2A_1434],[protein_id=AAZ58922.1],[gene=None],[protein=ABC-type transport system involved in Fe-S cluster assembly permease component]
[locus_tag=PMN2A_1435],[protein_id=AAZ58923.1],[gene=None],[protein=FeS assembly ATPase SufC]
[locus_tag=PMN2A_1436],[protein_id=AAZ58924.1],[gene=None],[protein=Iron-regulated ABC transporter membrane component SufB]
[locus_tag=PMN2A_1437],[protein_id=AAZ58925.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1438],[protein_id=AAZ58926.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1439],[protein_id=AAZ58927.1],[gene=None],[protein=membrane protein]
[locus_tag=PMN2A_1440],[protein_id=AAZ58928.1],[gene=None],[protein=phosphoglucomutase]
[locus_tag=PMN2A_1441],[protein_id=AAZ58929.1],[gene=None],[protein=Recombination protein MgsA]
[locus_tag=PMN2A_1443],[protein_id=AAZ58931.1],[gene=None],[protein=putative bacterioferritin comigratory (BCP) protein]
[locus_tag=PMN2A_1444],[protein_id=AAZ58932.1],[gene=None],[protein=bordetella pertussis Bvg accessory factor]
[locus_tag=PMN2A_1445],[protein_id=AAZ58933.1],[gene=None],[protein=phosphoadenylylsulfate reductase (thioredoxin)]
[locus_tag=PMN2A_1446],[protein_id=AAZ58934.1],[gene=None],"[protein=NADH dehydrogenase, FAD-containing subunit]"
[locus_tag=PMN2A_1447],[protein_id=AAZ58935.1],[gene=None],[protein=di/tricarboxylate transporter]
[locus_tag=PMN2A_1448],[protein_id=AAZ58936.1],[gene=None],"[protein=trk-type K+ transport system, membrane component]"
[locus_tag=PMN2A_1449],[protein_id=AAZ58937.1],[gene=None],"[protein=K+ transport system, NAD-binding component]"
[locus_tag=PMN2A_1450],[protein_id=AAZ58938.1],[gene=None],"[protein=conserved hypothetical protein, transport associated]"
[locus_tag=PMN2A_1451],[protein_id=AAZ58939.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1452],[protein_id=AAZ58940.1],[gene=None],[protein=membrane protein]
[locus_tag=PMN2A_1453],[protein_id=AAZ58941.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1455],[protein_id=AAZ58943.1],[gene=None],[protein=ATPase]
[locus_tag=PMN2A_1456],[protein_id=AAZ58944.1],[gene=None],[protein=PDZ/DHR/GLGF protein]
[locus_tag=PMN2A_1457],[protein_id=AAZ58945.1],[gene=None],[protein=uncharacterized membrane protein]
[locus_tag=PMN2A_1458],[protein_id=AAZ58946.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1459],[protein_id=AAZ58947.1],[gene=None],[protein=possible high light inducible protein]
[locus_tag=PMN2A_1460],[protein_id=AAZ58948.1],[gene=None],[protein=Exodeoxyribonuclease VII large subunit]
[locus_tag=PMN2A_1461],[protein_id=AAZ58949.1],[gene=None],[protein=exodeoxyribonuclease VII small subunit]
[locus_tag=PMN2A_1462],[protein_id=AAZ58950.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1463],[protein_id=AAZ58951.1],[gene=None],[protein=putative serum resistance locus BrkB]
[locus_tag=PMN2A_1464],[protein_id=AAZ58952.1],[gene=None],[protein=inositol monophosphatase family protein]
[locus_tag=PMN2A_1465],[protein_id=AAZ58953.1],[gene=None],[protein=outer membrane efflux protein]
[locus_tag=PMN2A_1466],[protein_id=AAZ58954.1],[gene=None],[protein=possible Fe-S oxidoreductase]
[locus_tag=PMN2A_1467],[protein_id=AAZ58955.1],[gene=None],[protein=uncharacterized membrane protein]
[locus_tag=PMN2A_1468],[protein_id=AAZ58956.1],[gene=None],[protein=L-aspartate oxidase]
[locus_tag=PMN2A_1469],[protein_id=AAZ58957.1],[gene=None],[protein=thioredoxin domain 2]
[locus_tag=PMN2A_1471],[protein_id=AAZ58959.1],[gene=None],[protein=dihydropteroate synthase]
[locus_tag=PMN2A_1473],[protein_id=AAZ58961.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1474],[protein_id=AAZ58962.1],[gene=None],[protein=pyrimidine reductase]
[locus_tag=PMN2A_1475],[protein_id=AAZ58963.1],[gene=None],[protein=6-pyruvoyl-tetrahydropterin synthase-like protein]
[locus_tag=PMN2A_1476],[protein_id=AAZ58964.1],[gene=None],[protein=shikimate kinase]
[locus_tag=PMN2A_1909],[protein_id=ABU23847.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1477],[protein_id=AAZ58965.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1478],[protein_id=AAZ58966.1],[gene=None],[protein=glutathione S-transferase zeta class]
[locus_tag=PMN2A_1479],[protein_id=AAZ58967.1],[gene=None],[protein=uncharacterized membrane protein]
[locus_tag=PMN2A_1480],[protein_id=AAZ58968.1],[gene=None],[protein=ribosome-binding factor A]
[locus_tag=PMN2A_1481],[protein_id=AAZ58969.1],[gene=None],[protein=beta-N-acetylhexosaminidase]
[locus_tag=PMN2A_1482],[protein_id=AAZ58970.1],[gene=None],[protein=uroporphyrinogen-III synthase]
[locus_tag=PMN2A_1483],[protein_id=AAZ58971.1],[gene=None],[protein=oligoketide cyclase/lipid transport protein-like protein]
[locus_tag=PMN2A_1484],[protein_id=AAZ58972.1],[gene=None],[protein=zeta-carotene desaturase]
[locus_tag=PMN2A_1485],[protein_id=AAZ58973.1],[gene=None],[protein=HesB/YadR/YfhF]
[locus_tag=PMN2A_1486],[protein_id=AAZ58974.1],[gene=None],"[protein=TPR-repeat protein, specific for cyanobacteria]"
[locus_tag=PMN2A_1487],[protein_id=AAZ58975.1],[gene=None],[protein=Conserved hypothetical protein YfcH]
[locus_tag=PMN2A_1488],[protein_id=AAZ58976.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1489],[protein_id=AAZ58977.1],[gene=None],"[protein=Heat shock protein DnaJ, N-terminal protein]"
[locus_tag=PMN2A_1490],[protein_id=AAZ58978.1],[gene=None],[protein=cysteine synthase]
[locus_tag=PMN2A_1492],[protein_id=AAZ58980.1],[gene=None],[protein=conserved hypothetical protein in cyanobacteria]
[locus_tag=PMN2A_1493],[protein_id=AAZ58981.1],[gene=None],[protein=ATPase]
[locus_tag=PMN2A_1494],[protein_id=AAZ58982.1],[gene=None],"[protein=two component transcriptional regulator, winged helix family]"
[locus_tag=PMN2A_1495],[protein_id=AAZ58983.1],[gene=None],"[protein=DNA polymerase III, delta prime subunit]"
[locus_tag=PMN2A_1496],[protein_id=AAZ58984.1],[gene=None],[protein=thymidylate kinase]
[locus_tag=PMN2A_1497],[protein_id=AAZ58985.1],[gene=None],"[protein=ATPase, E1-E2 type:Copper-translocating P-type ATPase:Heavy metal translocating P-type ATPase]"
[locus_tag=PMN2A_1498],[protein_id=AAZ58986.1],[gene=None],[protein=TPR repeat]
[locus_tag=PMN2A_1499],[protein_id=AAZ58987.1],[gene=None],[protein=DNA repair protein RadA]
[locus_tag=PMN2A_1500],[protein_id=AAZ58988.1],[gene=None],"[protein=two component transcriptional regulator, winged helix family]"
[locus_tag=PMN2A_1501],[protein_id=AAZ58989.1],[gene=None],[protein=phosphate:acyl-[acyl carrier protein]
[locus_tag=PMN2A_1502],[protein_id=AAZ58990.1],[gene=None],[protein=3-oxoacyl-[acyl-carrier-protein]
[locus_tag=PMN2A_1503],[protein_id=AAZ58991.1],[gene=None],[protein=Malonyl CoA-acyl carrier protein transacylase]
[locus_tag=PMN2A_1504],[protein_id=AAZ58992.1],[gene=None],[protein=1-acyl-sn-glycerol-3-phosphate acyltransferase]
[locus_tag=PMN2A_1505],[protein_id=AAZ58993.1],[gene=None],[protein=inactive putative metal-dependent protease]
[locus_tag=PMN2A_1506],[protein_id=AAZ58994.1],[gene=None],[protein=putative Ycf34]
[locus_tag=PMN2A_1507],[protein_id=AAZ58995.1],[gene=None],[protein=tRNA nucleotidyltransferase/poly(A) polymerase]
[locus_tag=PMN2A_1508],[protein_id=AAZ58996.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)]
[locus_tag=PMN2A_1509],[protein_id=AAZ58997.1],[gene=None],[protein=phytoene synthase]
[locus_tag=PMN2A_1510],[protein_id=AAZ58998.1],[gene=None],[protein=zeta-carotene desaturase / three-step phytoene desaturase]
[locus_tag=PMN2A_1511],[protein_id=AAZ58999.1],[gene=None],[protein=NADH dehydrogenase I subunit M]
[locus_tag=PMN2A_1512],[protein_id=AAZ59000.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1513],[protein_id=AAZ59001.1],[gene=None],[protein=RuBisCO operon transcriptional regulator]
[locus_tag=PMN2A_1514],[protein_id=AAZ59002.1],[gene=None],[protein=conserved NnrU/NnuR ortholog membrane enzyme]
[locus_tag=PMN2A_1515],[protein_id=AAZ59003.1],[gene=None],[protein=NADH dehydrogenase subunit L]
[locus_tag=PMN2A_1516],[protein_id=AAZ59004.1],[gene=None],[protein=NADH dehydrogenase subunit M]
[locus_tag=PMN2A_1517],[protein_id=AAZ59005.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1518],[protein_id=AAZ59006.1],[gene=None],[protein=putative sugar-phosphate nucleotidyl transferase]
[locus_tag=PMN2A_1519],[protein_id=AAZ59007.1],[gene=None],[protein=conserved hyopthetical protein]
[locus_tag=PMN2A_1520],[protein_id=AAZ59008.1],[gene=None],"[protein=regulatory protein, LuxR]"
[locus_tag=PMN2A_1522],[protein_id=AAZ59010.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1523],[protein_id=AAZ59011.1],[gene=None],[protein=NAD(+) kinase]
[locus_tag=PMN2A_1524],[protein_id=AAZ59012.1],[gene=None],[protein=NADH dehydrogenase subunit K]
[locus_tag=PMN2A_1525],[protein_id=AAZ59013.1],[gene=None],[protein=NADH dehydrogenase subunit J]
[locus_tag=PMN2A_1526],[protein_id=AAZ59014.1],[gene=None],"[protein=NADH-plastoquinone oxidoreductase, subunit I:NADH-quinone oxidoreductase, chain I]"
[locus_tag=PMN2A_1527],[protein_id=AAZ59015.1],[gene=None],[protein=NADH dehydrogenase subunit H]
[locus_tag=PMN2A_1528],[protein_id=AAZ59016.1],[gene=None],[protein=citrate synthase]
[locus_tag=PMN2A_1529],[protein_id=AAZ59017.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMN2A_1530],[protein_id=AAZ59018.1],[gene=None],[protein=rhodanese-like protein]
[locus_tag=PMN2A_1531],[protein_id=AAZ59019.1],[gene=None],"[protein=tryptophan synthase, beta chain]"
[locus_tag=PMN2A_1532],[protein_id=AAZ59020.1],[gene=None],[protein=translation initiation factor 1 (eIF-1/SUI1)]
[locus_tag=PMN2A_1533],[protein_id=AAZ59021.1],[gene=None],[protein=adenylylsulfate kinase]
[locus_tag=PMN2A_1534],[protein_id=AAZ59022.1],[gene=None],[protein=5-(carboxyamino)imidazole ribonucleotide mutase]
[locus_tag=PMN2A_1535],[protein_id=AAZ59023.1],[gene=None],[protein=N-acetylglucosamine 6-phosphate deacetylase]
[locus_tag=PMN2A_1536],[protein_id=AAZ59024.1],[gene=None],[protein=Mg-protoporphyrin IX methyltransferase]
[locus_tag=PMN2A_1537],[protein_id=AAZ59025.1],[gene=None],"[protein=two component transcriptional regulator, LuxR family]"
[locus_tag=PMN2A_1538],[protein_id=AAZ59026.1],[gene=None],[protein=NifS-like aminotransferase class-V]
[locus_tag=PMN2A_1539],[protein_id=AAZ59027.1],[gene=None],[protein=bacterial methyltransferase]
[locus_tag=PMN2A_1540],[protein_id=AAZ59028.1],[gene=None],[protein=NADH dehydrogenase subunit D]
[locus_tag=PMN2A_1541],[protein_id=AAZ59029.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1542],[protein_id=AAZ59030.1],[gene=None],[protein=O-succinylbenzoate--CoA ligase]
[locus_tag=PMN2A_1543],[protein_id=AAZ59031.1],[gene=None],[protein=O-succinylbenzoate-CoA synthase]
[locus_tag=PMN2A_1544],[protein_id=AAZ59032.1],[gene=None],"[protein=1,4-dihydroxy-2-naphthoate phytyltransferase]"
[locus_tag=PMN2A_1545],[protein_id=AAZ59033.1],[gene=None],[protein=isochorismate synthase]
[locus_tag=PMN2A_1546],[protein_id=AAZ59034.1],[gene=None],[protein=glutathione synthase]
[locus_tag=PMN2A_1547],[protein_id=AAZ59035.1],[gene=None],"[protein=glutaredoxin, GrxC]"
[locus_tag=PMN2A_1548],[protein_id=AAZ59036.1],[gene=None],[protein=bacterial peptide chain release factor 2 (bRF-2)]
[locus_tag=PMN2A_1549],[protein_id=AAZ59037.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1550],[protein_id=AAZ59038.1],[gene=None],[protein=Protein of unknown function UPF0054]
[locus_tag=PMN2A_1551],[protein_id=AAZ59039.1],[gene=None],[protein=prokaryotic diacylglycerol kinase]
[locus_tag=PMN2A_1552],[protein_id=AAZ59040.1],[gene=None],"[protein=anthranilate synthase, component II]"
[locus_tag=PMN2A_1553],[protein_id=AAZ59041.1],[gene=None],[protein=histidinol phosphate aminotransferase apoenzyme]
[locus_tag=PMN2A_1554],[protein_id=AAZ59042.1],[gene=None],[protein=arginyl-tRNA synthetase]
[locus_tag=PMN2A_1555],[protein_id=AAZ59043.1],[gene=None],[protein=nicotinate-nucleotide pyrophosphorylase (carboxylating)]
[locus_tag=PMN2A_1556],[protein_id=AAZ59044.1],[gene=None],[protein=tRNA modification GTPase trmE]
[locus_tag=PMN2A_1557],[protein_id=AAZ59045.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1558],[protein_id=AAZ59046.1],[gene=None],[protein=metal dependent phosphohydrolase]
[locus_tag=PMN2A_1559],[protein_id=AAZ59047.1],[gene=None],[protein=ATPase]
[locus_tag=PMN2A_1560],[protein_id=AAZ59048.1],[gene=None],[protein=ribosomal large subunit pseudouridine synthase D]
[locus_tag=PMN2A_1561],[protein_id=AAZ59049.1],[gene=None],[protein=Ras superfamily GTP-binding protein YlqF]
[locus_tag=PMN2A_1562],[protein_id=AAZ59050.1],[gene=None],[protein=phosphoglycerate kinase]
[locus_tag=PMN2A_1563],[protein_id=AAZ59051.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1564],[protein_id=AAZ59052.1],[gene=None],[protein=UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase]
[locus_tag=PMN2A_1565],[protein_id=AAZ59053.1],[gene=None],[protein=L-threonine O-3-phosphate decarboxylase]
[locus_tag=PMN2A_1566],[protein_id=AAZ59054.1],[gene=None],[protein=dihydroorotate oxidase A]
[locus_tag=PMN2A_1567],[protein_id=AAZ59055.1],[gene=None],[protein=possible ribonuclease HI]
[locus_tag=PMN2A_1568],[protein_id=AAZ59056.1],[gene=None],[protein=LSU ribosomal protein L12P]
[locus_tag=PMN2A_1569],[protein_id=AAZ59057.1],[gene=None],[protein=LSU ribosomal protein L10P]
[locus_tag=PMN2A_1570],[protein_id=AAZ59058.1],[gene=None],[protein=LSU ribosomal protein L1P]
[locus_tag=PMN2A_1571],[protein_id=AAZ59059.1],[gene=None],[protein=LSU ribosomal protein L11P]
[locus_tag=PMN2A_1572],[protein_id=AAZ59060.1],[gene=None],[protein=transcription antitermination protein nusG]
[locus_tag=PMN2A_1573],[protein_id=AAZ59061.1],[gene=None],[protein=protein translocase subunit secE/sec61 gamma]
[locus_tag=PMN2A_1574],[protein_id=AAZ59062.1],[gene=None],[protein=ATPase]
[locus_tag=PMN2A_1575],[protein_id=AAZ59063.1],[gene=None],[protein=enolase]
[locus_tag=PMN2A_1576],[protein_id=AAZ59064.1],[gene=None],[protein=protein kinase]
[locus_tag=PMN2A_1577],[protein_id=AAZ59065.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1578],[protein_id=AAZ59066.1],[gene=None],[protein=thioredoxin-disulfide reductase]
[locus_tag=PMN2A_1581],[protein_id=AAZ59069.1],[gene=None],[protein=putative sulfate transporter]
[locus_tag=PMN2A_1582],[protein_id=AAZ59070.1],[gene=None],"[protein=Heat shock protein DnaJ, N-terminal protein]"
[locus_tag=PMN2A_1583],[protein_id=AAZ59071.1],[gene=None],[protein=porphobilinogen synthase]
[locus_tag=PMN2A_1584],[protein_id=AAZ59072.1],[gene=None],"[protein=lactoylglutathione lyase/catechol 2,3-dioxygenase related enzyme]"
[locus_tag=PMN2A_1585],[protein_id=AAZ59073.1],[gene=None],[protein=MutS 2 protein]
[locus_tag=PMN2A_1586],[protein_id=AAZ59074.1],[gene=None],[protein=GTPase]
[locus_tag=PMN2A_1588],[protein_id=AAZ59076.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1589],[protein_id=AAZ59077.1],[gene=None],[protein=conserved hypothetical membrane protein]
[locus_tag=PMN2A_1590],[protein_id=AAZ59078.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1591],[protein_id=AAZ59079.1],[gene=None],[protein=aspartoacylase]
[locus_tag=PMN2A_1592],[protein_id=AAZ59080.1],[gene=None],[protein=Photosystem II reaction centre protein PsbA/D1]
[locus_tag=PMN2A_1593],[protein_id=AAZ59081.1],[gene=None],[protein=chorismate synthase]
[locus_tag=PMN2A_1594],[protein_id=AAZ59082.1],[gene=None],[protein=2-keto-3-deoxy-phosphogluconate aldolase]
[locus_tag=PMN2A_1595],[protein_id=AAZ59083.1],[gene=None],[protein=membrane protease FtsH catalytic subunit]
[locus_tag=PMN2A_1596],[protein_id=AAZ59084.1],[gene=None],[protein=sulfate adenylyltransferase]
[locus_tag=PMN2A_1597],[protein_id=AAZ59085.1],[gene=None],[protein=photosystem II manganese-stabilizing protein PsbO]
[locus_tag=PMN2A_1598],[protein_id=AAZ59086.1],[gene=None],[protein=Phosphopantothenate-cysteine ligase / Phosphopantothenoylcysteine decarboxylase]
[locus_tag=PMN2A_1599],[protein_id=AAZ59087.1],[gene=None],[protein=uncharacterized secreted or membrane protein]
[locus_tag=PMN2A_1600],[protein_id=AAZ59088.1],[gene=None],[protein=aspartate carbamoyltransferase]
[locus_tag=PMN2A_1601],[protein_id=AAZ59089.1],[gene=None],[protein=methylpurine-DNA glycosylase (MPG)]
[locus_tag=PMN2A_1602],[protein_id=AAZ59090.1],[gene=None],[protein=aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C]
[locus_tag=PMN2A_1603],[protein_id=AAZ59091.1],[gene=None],[protein=beta-carotene hydroxylase]
[locus_tag=PMN2A_1604],[protein_id=AAZ59092.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1605],[protein_id=AAZ59093.1],[gene=None],[protein=Isoleucyl-tRNA synthetase]
[locus_tag=PMN2A_1606],[protein_id=AAZ59094.1],[gene=None],[protein=uncharacterized membrane protein]
[locus_tag=PMN2A_1607],[protein_id=AAZ59095.1],[gene=None],[protein=tRNA (guanine-N(7)-)-methyltransferase]
[locus_tag=PMN2A_1608],[protein_id=AAZ59096.1],[gene=None],[protein=thioredoxin-like protein TxlA]
[locus_tag=PMN2A_1610],[protein_id=AAZ59098.1],[gene=None],[protein=deoxycytidine triphosphate deaminase]
