[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0013],[protein_id=AHF62439.1],[gene=None],[protein=serine phosphatase],[locus_tag=PMT_0012],[protein_id=CAE20187.1],[gene=None],[protein=Protein phosphatase 2C domain],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0014],[protein_id=AHF62440.1],[gene=argH],[protein=argininosuccinate lyase],[locus_tag=PMT_0013],[protein_id=CAE20188.1],[gene=argH],[protein=Fumarate lyase:Delta crystallin],[evalue=0.00000E+00],[locus_tag=PMT_1484],[protein_id=CAE21659.1],[gene=purB],[protein=Fumarate lyase:Adenylosuccinate lyase],[evalue=5.87060E-13],[locus_tag=PMT_1485],[protein_id=CAE21660.1],[gene=fumC],[protein=Fumarate lyase],[evalue=7.55204E-06]
[locus_tag=Syncc8109_0015],[protein_id=AHF62441.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[locus_tag=PMT_0014],[protein_id=CAE20189.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=2.32817E-57],[locus_tag=PMT_1081],[protein_id=CAE21256.1],[gene=rbpD],[protein=RNA-binding protein RbpD],[evalue=5.67414E-36],[locus_tag=PMT_2002],[protein_id=CAE22176.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=9.94513E-07]
[locus_tag=Syncc8109_0016],[protein_id=AHF62442.1],[gene=None],[protein=uncharacterized protein family UPF0034],[locus_tag=PMT_0015],[protein_id=CAE20190.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00],[locus_tag=PMT_0200],[protein_id=CAE20375.1],[gene=None],[protein=putative nitrogen regulation protein NifR3 family homolog],[evalue=1.97413E-19]
[locus_tag=Syncc8109_0017],[protein_id=AHF62443.1],[gene=None],[protein=Methionine sulfoxide reductase B],[locus_tag=PMT_0016],[protein_id=CAE20191.1],[gene=None],[protein=Domain of unknown function DUF25],[evalue=4.42708E-75],[locus_tag=PMT_1586],[protein_id=CAE21761.1],[gene=None],[protein=putative methionine sulfoxide reductase family],[evalue=1.04974E-37]
[locus_tag=Syncc8109_0018],[protein_id=AHF62444.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0017],[protein_id=CAE20192.1],[gene=None],[protein=conserved hypohetical protein],[evalue=7.68887E-178]
[locus_tag=Syncc8109_0019],[protein_id=AHF62445.1],[gene=None],[protein=Type II secretory pathway component PulF-like protein],[locus_tag=PMT_0018],[protein_id=CAE20193.1],[gene=pilC],[protein=pili biogenesis protein],[evalue=5.00643E-19]
[locus_tag=Syncc8109_0022],[protein_id=AHF62448.1],[gene=grpE],[protein=putative heat shock protein GrpE],[locus_tag=PMT_0021],[protein_id=CAE20196.1],[gene=grpE],[protein=Heat shock protein GrpE],[evalue=3.16931E-100]
[locus_tag=Syncc8109_0023],[protein_id=AHF62449.1],[gene=dnaJ],[protein=Heat shock protein DnaJ],[locus_tag=PMT_0022],[protein_id=CAE20197.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=0.00000E+00],[locus_tag=PMT_1548],[protein_id=CAE21723.1],[gene=dnaJ3],[protein=DnaJ3 protein],[evalue=3.34946E-20],[locus_tag=PMT_0704],[protein_id=CAE20879.1],[gene=dnaJ2],[protein=DnaJ2 protein],[evalue=1.53868E-15]
[locus_tag=Syncc8109_0024],[protein_id=AHF62450.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0023],[protein_id=CAE20198.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.21937E-26]
[locus_tag=Syncc8109_0025],[protein_id=AHF62451.1],[gene=None],[protein=GTPase EngC],[locus_tag=PMT_0024],[protein_id=CAE20199.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.88372E-119]
[locus_tag=Syncc8109_0026],[protein_id=AHF62452.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0025],[protein_id=CAE20200.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.83623E-64]
[locus_tag=Syncc8109_0027],[protein_id=AHF62453.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[locus_tag=PMT_0026],[protein_id=CAE20201.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[evalue=1.09687E-153]
[locus_tag=Syncc8109_0028],[protein_id=AHF62454.1],[gene=murC],[protein=UDP-N-acetylmuramate--alanine ligase],[locus_tag=PMT_0027],[protein_id=CAE20202.1],[gene=murC],[protein=Probable UDP-N-acetylmuramate-alanine ligase],[evalue=0.00000E+00],[locus_tag=PMT_1434],[protein_id=CAE21609.1],[gene=murD],[protein=UDP-N-acetylmuramoylalanine--D-glutamate ligase],[evalue=9.34806E-08]
[locus_tag=Syncc8109_0030],[protein_id=AHF62456.1],[gene=gap2],"[protein=glyceraldehyde-3-phosphate dehydrogenase, type I]",[locus_tag=PMT_0028],[protein_id=CAE20203.1],[gene=gap2],[protein=Glyceraldehyde 3-phosphate dehydrogenase(NADP+; phosphorylating)],[evalue=0.00000E+00],[locus_tag=PMT_1000],[protein_id=CAE21175.1],[gene=None],[protein=Putative glyceraldehyde 3-phosphate dehydrogenase],[evalue=9.20717E-92]
[locus_tag=Syncc8109_0031],[protein_id=AHF62457.1],[gene=thiL],[protein=thiamine-monophosphate kinase],[locus_tag=PMT_0029],[protein_id=CAE20204.1],[gene=thiL],[protein=putative thiamine monophosphate kinase],[evalue=6.01053E-132]
[locus_tag=Syncc8109_0032],[protein_id=AHF62458.1],[gene=None],[protein=putative cyclophilin-type peptidyl-prolyl cis-trans isomerase],[locus_tag=PMT_0030],[protein_id=CAE20205.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=1.67890E-149],[locus_tag=PMT_1177],[protein_id=CAE21352.1],[gene=ppiB],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=2.07840E-22]
[locus_tag=Syncc8109_0033],[protein_id=AHF62459.1],[gene=efp],[protein=translation elongation factor P],[locus_tag=PMT_0031],[protein_id=CAE20206.1],[gene=efp],[protein=Elongation factor P (EF-P)],[evalue=3.37158E-128]
[locus_tag=Syncc8109_0034],[protein_id=AHF62460.1],[gene=accB],"[protein=acetyl-CoA carboxylase, biotin carboxyl carrier protein]",[locus_tag=PMT_0032],[protein_id=CAE20207.1],[gene=accB],"[protein=acetyl-CoA carboxylase, biotin carboxyl carrier protein]",[evalue=3.46943E-81]
[locus_tag=Syncc8109_0035],[protein_id=AHF62461.1],[gene=pdxA],[protein=4-hydroxythreonine-4-phosphate dehydrogenase],[locus_tag=PMT_0033],[protein_id=CAE20208.1],[gene=pdxA],[protein=putative pyridoxal phosphate biosynthetic protein PdxA],[evalue=1.47750E-160]
[locus_tag=Syncc8109_0037],[protein_id=AHF62463.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0034],[protein_id=CAE20209.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.32974E-118]
[locus_tag=Syncc8109_0038],[protein_id=AHF62464.1],[gene=None],[protein=putative Squash family serine protease inhibit],[locus_tag=PMT_0035],[protein_id=CAE20210.1],[gene=None],[protein=possible Squash family serine protease inhibit],[evalue=4.09156E-12]
[locus_tag=Syncc8109_0039],[protein_id=AHF62465.1],[gene=mcrA],[protein=HNH nuclease],[locus_tag=PMT_0036],[protein_id=CAE20211.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[evalue=3.46793E-33]
[locus_tag=Syncc8109_0040],[protein_id=AHF62466.1],[gene=None],[protein=DEAD/DEAH box helicase-like protein],[locus_tag=PMT_0037],[protein_id=CAE20212.1],[gene=None],[protein=SWI/SNF family helicase_2],[evalue=0.00000E+00],[locus_tag=PMT_2158],[protein_id=CAE22332.1],[gene=None],[protein=SNF2 related domain:DEAD/DEAH box helicase],[evalue=2.89814E-25]
[locus_tag=Syncc8109_0043],[protein_id=AHF62469.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0038],[protein_id=CAE20213.1],[gene=None],[protein=possible Penicillin amidase],[evalue=1.30544E-42]
[locus_tag=Syncc8109_0044],[protein_id=AHF62470.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0039],[protein_id=CAE20214.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.94783E-57]
[locus_tag=Syncc8109_0046],[protein_id=AHF62472.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0040],[protein_id=CAE20215.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.13295E-27]
[locus_tag=Syncc8109_0047],[protein_id=AHF62473.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0041],[protein_id=CAE20216.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.05757E-18]
[locus_tag=Syncc8109_0048],[protein_id=AHF62474.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0042],[protein_id=CAE20217.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.55134E-13]
[locus_tag=Syncc8109_0050],[protein_id=AHF62475.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[locus_tag=PMT_0043],[protein_id=CAE20218.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[evalue=0.00000E+00],[locus_tag=PMT_0600],[protein_id=CAE20775.1],"[gene=spt, agt]",[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[evalue=3.98844E-56]
[locus_tag=Syncc8109_0051],[protein_id=AHF62476.1],[gene=cbiD],[protein=cobalamin biosynthesis protein CbiD],[locus_tag=PMT_0044],[protein_id=CAE20219.1],[gene=cbiD],[protein=CbiD protein],[evalue=1.50430E-132]
[locus_tag=Syncc8109_0052],[protein_id=AHF62477.1],[gene=guaA],[protein=GMP synthase],[locus_tag=PMT_0045],[protein_id=CAE20220.1],[gene=guaA],[protein=Glutamine amidotransferase class-I:GMP synthase],[evalue=0.00000E+00],[locus_tag=PMT_2067],[protein_id=CAE22241.1],[gene=pabA],[protein=para-aminobenzoate synthase component II],[evalue=1.18152E-07],[locus_tag=PMT_0653],[protein_id=CAE20828.1],"[gene=carA, pyrA]",[protein=carbamoyl-phosphate synthase small chain],[evalue=1.64894E-06]
[locus_tag=Syncc8109_0053],[protein_id=AHF62478.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0046],[protein_id=CAE20221.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.72648E-102]
[locus_tag=Syncc8109_0054],[protein_id=AHF62479.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0047],[protein_id=CAE20222.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.56197E-31]
[locus_tag=Syncc8109_0055],[protein_id=AHF62480.1],[gene=None],[protein=Peptidoglycan glycosyltransferase],[locus_tag=PMT_0048],[protein_id=CAE20223.1],[gene=None],[protein=Putative penicillin-binding protein],[evalue=0.00000E+00],[locus_tag=PMT_1249],[protein_id=CAE21424.1],[gene=ftsI],[protein=putative peptidoglycan synthetase (pbp transpeptidase domain)],[evalue=2.54574E-33],[locus_tag=PMT_0271],[protein_id=CAE20446.1],[gene=None],[protein=putative penicillin binding protein],[evalue=4.43644E-09]
[locus_tag=Syncc8109_0056],[protein_id=AHF62481.1],[gene=sqdX],[protein=SqdX],[locus_tag=PMT_0049],[protein_id=CAE20224.1],[gene=sqdX],[protein=SqdX],[evalue=0.00000E+00],[locus_tag=PMT_0209],[protein_id=CAE20384.1],[gene=None],[protein=Glycosyl transferases group 1],[evalue=1.29349E-18],[locus_tag=PMT_0310],[protein_id=CAE20485.1],[gene=None],[protein=probable glycosyltransferase],[evalue=6.48883E-09]
[locus_tag=Syncc8109_0057],[protein_id=AHF62482.1],[gene=sqdB],[protein=sulfolipid (UDP-sulfoquinovose) biosynthesis protein],[locus_tag=PMT_0050],[protein_id=CAE20225.1],[gene=sqdB],[protein=sulfolipid (UDP-sulfoquinovose) biosynthesis protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0058],[protein_id=AHF62483.1],[gene=None],[protein=high light-inducible protein-like protein],[locus_tag=PMT_0051],[protein_id=CAE20226.1],[gene=None],[protein=similar to high light inducible protein],[evalue=2.12677E-15],[locus_tag=PMT_1153],[protein_id=CAE21328.1],[gene=hli6],[protein=possible high light inducible protein],[evalue=1.48519E-06]
[locus_tag=Syncc8109_0059],[protein_id=AHF62484.1],[gene=thiG],[protein=thiamin biosynthesis protein],[locus_tag=PMT_0052],[protein_id=CAE20227.1],[gene=thiG],[protein=thiamin biosynthesis protein],[evalue=2.84152E-155]
[locus_tag=Syncc8109_0060],[protein_id=AHF62485.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0053],[protein_id=CAE20228.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.14658E-57]
[locus_tag=Syncc8109_0061],[protein_id=AHF62486.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0054],[protein_id=CAE20229.1],[gene=None],[protein=putative photosystem I assembly related protein Ycf37],[evalue=1.52253E-79]
[locus_tag=Syncc8109_0062],[protein_id=AHF62487.1],[gene=rpl20],[protein=ribosomal protein L20],[locus_tag=PMT_0055],[protein_id=CAE20230.1],"[gene=rpl20, rplT]",[protein=50S ribosomal protein L20],[evalue=1.22922E-60]
[locus_tag=Syncc8109_0063],[protein_id=AHF62488.1],[gene=rpmI],[protein=LSU ribosomal protein L35P],[locus_tag=PMT_0056],[protein_id=CAE20231.1],"[gene=rpl35, rpmI]",[protein=50S ribosomal protein L35],[evalue=4.56324E-35]
[locus_tag=Syncc8109_0064],[protein_id=AHF62489.1],[gene=None],[protein=putative amidase enhancer],[locus_tag=PMT_0057],[protein_id=CAE20232.1],[gene=None],[protein=possible amidase enhancer],[evalue=1.46794E-179],[locus_tag=PMT_1425],[protein_id=CAE21600.1],[gene=spoIID],[protein=possible sporulation protein SpoIID],[evalue=6.63671E-15]
[locus_tag=Syncc8109_0065],[protein_id=AHF62490.1],[gene=None],[protein=putative glycosyltransferase],[locus_tag=PMT_0058],[protein_id=CAE20233.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=0.00000E+00],[locus_tag=PMT_1766],[protein_id=CAE21941.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=2.23342E-08],[locus_tag=PMT_0543],[protein_id=CAE20718.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=1.93283E-07]
[locus_tag=Syncc8109_0066],[protein_id=AHF62491.1],[gene=dnaX],[protein=DNA-directed DNA polymerase],[locus_tag=PMT_0059],[protein_id=CAE20234.1],[gene=dnaX],"[protein=DNA polymerase, gamma and tau subunits]",[evalue=0.00000E+00],[locus_tag=PMT_1989],[protein_id=CAE22163.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]",[evalue=1.14530E-11]
[locus_tag=Syncc8109_0067],[protein_id=AHF62492.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0060],[protein_id=CAE20235.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.69447E-79]
[locus_tag=Syncc8109_0068],[protein_id=AHF62493.1],[gene=clpX],"[protein=ATP-dependent Clp protease, ATP-binding subunit ClpX]",[locus_tag=PMT_0061],[protein_id=CAE20236.1],[gene=clpX],"[protein=putative Clp protease ATP-binding subunit, ClpX]",[evalue=0.00000E+00],[locus_tag=PMT_0156],[protein_id=CAE20331.1],[gene=ruvB],[protein=Holliday junction DNA helicase RuvB],[evalue=3.57972E-06],[locus_tag=PMT_0756],[protein_id=CAE20931.1],[gene=ftsH4],[protein=cell division protein FtsH4],[evalue=7.09131E-06]
[locus_tag=Syncc8109_0069],[protein_id=AHF62494.1],[gene=clpP2],"[protein=ATP-dependent Clp protease, proteolytic subunit ClpP]",[locus_tag=PMT_0062],[protein_id=CAE20237.1],[gene=clpP2],[protein=Clp protease proteolytic subunit],[evalue=4.80209E-147],[locus_tag=PMT_0676],[protein_id=CAE20851.1],[gene=clpP1],[protein=Clp protease proteolytic subunit],[evalue=3.04807E-96],[locus_tag=PMT_0314],[protein_id=CAE20489.1],[gene=clpP3],[protein=Clp protease subunit],[evalue=7.88904E-85]
[locus_tag=Syncc8109_0070],[protein_id=AHF62495.1],[gene=None],[protein=trigger factor],[locus_tag=PMT_0063],[protein_id=CAE20238.1],[gene=None],[protein=FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase)],[evalue=0.00000E+00],[locus_tag=PMT_1011],[protein_id=CAE21186.1],[gene=tig],[protein=putative trigger factor],[evalue=3.28851E-39]
[locus_tag=Syncc8109_0071],[protein_id=AHF62496.1],[gene=asd],"[protein=Aspartate-semialdehyde dehydrogenase, USG-1 related protein]",[locus_tag=PMT_0064],[protein_id=CAE20239.1],[gene=asd],[protein=aspartate Semialdehyde dehydrogenase],[evalue=7.60657E-174],[locus_tag=PMT_2280],[protein_id=CAX31802.1],[gene=None],[protein=Hypothetical protein],[evalue=4.12063E-18]
[locus_tag=Syncc8109_0072],[protein_id=AHF62497.1],[gene=dapA],[protein=dihydrodipicolinate synthase],[locus_tag=PMT_0065],[protein_id=CAE20240.1],[gene=dapA],[protein=Dihydrodipicolinate synthetase],[evalue=8.79935E-154]
[locus_tag=Syncc8109_0073],[protein_id=AHF62498.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0066],[protein_id=CAE20241.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0078],[protein_id=AHF62501.1],[gene=lysC],[protein=aspartate kinase],[locus_tag=PMT_0073],[protein_id=CAE20248.1],[gene=lysC],[protein=Aspartate kinase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0079],[protein_id=AHF62502.1],[gene=None],"[protein=DNA polymerase III, delta subunit]",[locus_tag=PMT_0074],[protein_id=CAE20249.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.38870E-167]
[locus_tag=Syncc8109_0080],[protein_id=AHF62503.1],[gene=cobH],[protein=putative precorrin-8X methylmutase CobH],[locus_tag=PMT_0075],[protein_id=CAE20250.1],[gene=cobH],[protein=putative Precorrin-8X methylmutase CobH],[evalue=7.65346E-99]
[locus_tag=Syncc8109_0081],[protein_id=AHF62504.1],[gene=mesJ],[protein=putative MesJ],[locus_tag=PMT_0068],[protein_id=CAE20243.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.11973E-109]
[locus_tag=Syncc8109_0082],[protein_id=AHF62505.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0069],[protein_id=CAE20244.1],[gene=ycf23],[protein=conserved hypothetical protein],[evalue=5.57849E-125]
[locus_tag=Syncc8109_0083],[protein_id=AHF62506.1],[gene=ycf9],[protein=photosystem II reaction center protein Z],[locus_tag=PMT_0080],[protein_id=CAE20255.1],[gene=psbZ],[protein=possible Photosystem II reaction center Z protein (PsbZ)],[evalue=7.73785E-11]
[locus_tag=Syncc8109_0084],[protein_id=AHF62507.1],[gene=ribH],"[protein=6,7-dimethyl-8-ribityllumazine synthase]",[locus_tag=PMT_0081],[protein_id=CAE20256.1],[gene=ribH],"[protein=Putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain]",[evalue=1.15749E-96]
[locus_tag=Syncc8109_0085],[protein_id=AHF62508.1],[gene=mutS],[protein=DNA mismatch repair protein MutS],[locus_tag=PMT_0079],[protein_id=CAE20254.1],"[gene=mutS,fdv]",[protein=putative DNA mismatch repair protein],[evalue=0.00000E+00],[locus_tag=PMT_1546],[protein_id=CAE21721.1],[gene=mutS],[protein=putative DNA mismatch repair protein MutS family],[evalue=4.66653E-17]
[locus_tag=Syncc8109_0086],[protein_id=AHF62509.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0082],[protein_id=CAE20257.1],[gene=None],[protein=None],[evalue=2.39594E-64],[locus_tag=PMT_1191],[protein_id=CAE21366.1],[gene=None],[protein=possible acetyltransferase],[evalue=8.98554E-10]
[locus_tag=Syncc8109_0087],[protein_id=AHF62510.1],[gene=uvrB],"[protein=excinuclease ABC, B subunit]",[locus_tag=PMT_0071],[protein_id=CAE20246.1],[gene=uvrB],"[protein=excinuclease ABC, subunit B]",[evalue=0.00000E+00],[locus_tag=PMT_0775],[protein_id=CAE20950.1],[gene=None],[protein=Transcriptional-repair coupling factor],[evalue=6.38641E-07],[locus_tag=PMT_0581],[protein_id=CAE20756.1],[gene=None],[protein=putative DNA helicase],[evalue=6.25537E-06]
[locus_tag=Syncc8109_0090],[protein_id=AHF62512.1],[gene=None],[protein=putative bacterial sugar transferase],[locus_tag=PMT_1908],[protein_id=CAE22083.1],[gene=None],[protein=possible sugar transferase],[evalue=2.67342E-144],[locus_tag=PMT_0311],[protein_id=CAE20486.1],[gene=None],[protein=galactosyl-1-phosphate transferase],[evalue=8.91401E-25]
[locus_tag=Syncc8109_0091],[protein_id=AHF62513.1],[gene=None],[protein=putative transporter component],[locus_tag=PMT_0076],[protein_id=CAE20251.1],[gene=None],[protein=possible transporter component],[evalue=5.43465E-157],[locus_tag=PMT_0094],[protein_id=CAE20269.1],[gene=None],[protein=possible transporter for efflux],[evalue=2.58107E-45],[locus_tag=PMT_0589],[protein_id=CAE20764.1],[gene=None],[protein=possible ABC transporter component],[evalue=1.31940E-09]
[locus_tag=Syncc8109_0092],[protein_id=AHF62514.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[locus_tag=PMT_0077],[protein_id=CAE20252.1],[gene=None],"[protein=ABC transporter, multi drug efflux family]",[evalue=0.00000E+00],[locus_tag=PMT_0093],[protein_id=CAE20268.1],[gene=None],[protein=multidrug efflux family ABC transporter],[evalue=0.00000E+00],[locus_tag=PMT_1080],[protein_id=CAE21255.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=7.83040E-75]
[locus_tag=Syncc8109_0093],[protein_id=AHF62515.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0078],[protein_id=CAE20253.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=8.93863E-69]
[locus_tag=Syncc8109_0094],[protein_id=AHF62516.1],[gene=secA],"[protein=preprotein translocase, SecA subunit]",[locus_tag=PMT_0083],[protein_id=CAE20258.1],[gene=secA],[protein=Preprotein translocase SecA subunit],[evalue=0.00000E+00],[locus_tag=PMT_0111],[protein_id=CAE20286.1],[gene=None],[protein=putative SecA-type protein translocase],[evalue=6.13147E-06]
[locus_tag=Syncc8109_0095],[protein_id=AHF62517.1],[gene=None],[protein=putative glycosyltransferase],[locus_tag=PMT_0085],[protein_id=CAE20260.1],[gene=None],[protein=glycosyltransferase],[evalue=6.35696E-116]
[locus_tag=Syncc8109_0097],[protein_id=AHF62519.1],[gene=None],[protein=putative glycosyltransferase],[locus_tag=PMT_0087],[protein_id=CAE20262.1],[gene=None],[protein=glycosyltransferase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0099],[protein_id=AHF62521.1],[gene=None],[protein=putative acyltransferase],[locus_tag=PMT_0089],[protein_id=CAE20264.1],[gene=None],[protein=possible acyltransferase],[evalue=6.87694E-24]
[locus_tag=Syncc8109_0105],[protein_id=AHF62526.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0107],[protein_id=CAE20282.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.20762E-13]
[locus_tag=Syncc8109_0106],[protein_id=AHF62527.1],[gene=None],"[protein=ABC transporter, ATP binding protein]",[locus_tag=PMT_0108],[protein_id=CAE20283.1],[gene=None],"[protein=ABC transporter, ATP binding protein]",[evalue=0.00000E+00],[locus_tag=PMT_0553],[protein_id=CAE20728.1],[gene=None],"[protein=ABC transporter, ATP binding component, glycine betaine/proline family]",[evalue=4.62314E-22],[locus_tag=PMT_1338],[protein_id=CAE21513.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=8.33203E-22]
[locus_tag=Syncc8109_0107],[protein_id=AHF62528.1],[gene=cysE],[protein=serine acetyltransferase],[locus_tag=PMT_0117],[protein_id=CAE20292.1],[gene=cysE],[protein=Serine acetyltransferase],[evalue=1.63098E-08]
[locus_tag=Syncc8109_0108],[protein_id=AHF62529.1],[gene=gntR],"[protein=transcriptional regulator, GntR family]",[locus_tag=PMT_0118],[protein_id=CAE20293.1],[gene=None],[protein=possible transcriptional regulator],[evalue=0.00000E+00]
