[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_0038],[protein_id=CAE20213.1],[gene=None],[protein=possible Penicillin amidase],[locus_tag=Syncc8109_0043],[protein_id=AHF62469.1],[gene=None],[protein=hypothetical protein],[evalue=8.05540E-43]
[locus_tag=PMT_0039],[protein_id=CAE20214.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0044],[protein_id=AHF62470.1],[gene=None],[protein=hypothetical protein],[evalue=3.80810E-72]
[locus_tag=PMT_0040],[protein_id=CAE20215.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0046],[protein_id=AHF62472.1],[gene=None],[protein=hypothetical protein],[evalue=3.30242E-21]
[locus_tag=PMT_0041],[protein_id=CAE20216.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0047],[protein_id=AHF62473.1],[gene=None],[protein=hypothetical protein],[evalue=1.33488E-18]
[locus_tag=PMT_0042],[protein_id=CAE20217.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0048],[protein_id=AHF62474.1],[gene=None],[protein=hypothetical protein],[evalue=2.28793E-13]
[locus_tag=PMT_0043],[protein_id=CAE20218.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[locus_tag=Syncc8109_0050],[protein_id=AHF62475.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[evalue=0.00000E+00],[locus_tag=Syncc8109_1473],[protein_id=AHF63835.1],[gene=spt],[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[evalue=1.82026E-52]
[locus_tag=PMT_0044],[protein_id=CAE20219.1],[gene=cbiD],[protein=CbiD protein],[locus_tag=Syncc8109_0051],[protein_id=AHF62476.1],[gene=cbiD],[protein=cobalamin biosynthesis protein CbiD],[evalue=1.26482E-130]
[locus_tag=PMT_0045],[protein_id=CAE20220.1],[gene=guaA],[protein=Glutamine amidotransferase class-I:GMP synthase],[locus_tag=Syncc8109_0052],[protein_id=AHF62477.1],[gene=guaA],[protein=GMP synthase],[evalue=0.00000E+00]
[locus_tag=PMT_0046],[protein_id=CAE20221.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0053],[protein_id=AHF62478.1],[gene=None],[protein=hypothetical protein],[evalue=1.54838E-102]
[locus_tag=PMT_0047],[protein_id=CAE20222.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0054],[protein_id=AHF62479.1],[gene=None],[protein=hypothetical protein],[evalue=1.57954E-32]
[locus_tag=PMT_0048],[protein_id=CAE20223.1],[gene=None],[protein=Putative penicillin-binding protein],[locus_tag=Syncc8109_0055],[protein_id=AHF62480.1],[gene=None],[protein=Peptidoglycan glycosyltransferase],[evalue=0.00000E+00],[locus_tag=Syncc8109_0774],[protein_id=AHF63154.1],[gene=ftsI],[protein=Peptidoglycan glycosyltransferase],[evalue=7.29226E-33]
[locus_tag=PMT_0049],[protein_id=CAE20224.1],[gene=sqdX],[protein=SqdX],[locus_tag=Syncc8109_0056],[protein_id=AHF62481.1],[gene=sqdX],[protein=SqdX],[evalue=0.00000E+00],[locus_tag=Syncc8109_2109],[protein_id=AHF64447.1],[gene=rfaG],[protein=putative glycosyltransferase],[evalue=1.03886E-15],[locus_tag=Syncc8109_1892],[protein_id=AHF64240.1],[gene=None],[protein=putative glycosyltransferase],[evalue=3.42625E-12]
[locus_tag=PMT_0050],[protein_id=CAE20225.1],[gene=sqdB],[protein=sulfolipid (UDP-sulfoquinovose) biosynthesis protein],[locus_tag=Syncc8109_0057],[protein_id=AHF62482.1],[gene=sqdB],[protein=sulfolipid (UDP-sulfoquinovose) biosynthesis protein],[evalue=0.00000E+00]
[locus_tag=PMT_0051],[protein_id=CAE20226.1],[gene=None],[protein=similar to high light inducible protein],[locus_tag=Syncc8109_0058],[protein_id=AHF62483.1],[gene=None],[protein=high light-inducible protein-like protein],[evalue=1.54898E-11]
[locus_tag=PMT_0052],[protein_id=CAE20227.1],[gene=thiG],[protein=thiamin biosynthesis protein],[locus_tag=Syncc8109_0059],[protein_id=AHF62484.1],[gene=thiG],[protein=thiamin biosynthesis protein],[evalue=2.90442E-155]
[locus_tag=PMT_0053],[protein_id=CAE20228.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0060],[protein_id=AHF62485.1],[gene=None],[protein=hypothetical protein],[evalue=9.03311E-58]
[locus_tag=PMT_0054],[protein_id=CAE20229.1],[gene=None],[protein=putative photosystem I assembly related protein Ycf37],[locus_tag=Syncc8109_0061],[protein_id=AHF62486.1],[gene=None],[protein=hypothetical protein],[evalue=1.97044E-76]
[locus_tag=PMT_0055],[protein_id=CAE20230.1],"[gene=rpl20, rplT]",[protein=50S ribosomal protein L20],[locus_tag=Syncc8109_0062],[protein_id=AHF62487.1],[gene=rpl20],[protein=ribosomal protein L20],[evalue=8.10903E-61]
[locus_tag=PMT_0056],[protein_id=CAE20231.1],"[gene=rpl35, rpmI]",[protein=50S ribosomal protein L35],[locus_tag=Syncc8109_0063],[protein_id=AHF62488.1],[gene=rpmI],[protein=LSU ribosomal protein L35P],[evalue=4.09251E-35]
[locus_tag=PMT_0057],[protein_id=CAE20232.1],[gene=None],[protein=possible amidase enhancer],[locus_tag=Syncc8109_0064],[protein_id=AHF62489.1],[gene=None],[protein=putative amidase enhancer],[evalue=0.00000E+00],[locus_tag=Syncc8109_2225],[protein_id=AHF64552.1],[gene=None],[protein=stage II sporulation protein D-like protein],[evalue=8.78753E-13]
[locus_tag=PMT_0058],[protein_id=CAE20233.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[locus_tag=Syncc8109_0065],[protein_id=AHF62490.1],[gene=None],[protein=putative glycosyltransferase],[evalue=0.00000E+00]
[locus_tag=PMT_0059],[protein_id=CAE20234.1],[gene=dnaX],"[protein=DNA polymerase, gamma and tau subunits]",[locus_tag=Syncc8109_0066],[protein_id=AHF62491.1],[gene=dnaX],[protein=DNA-directed DNA polymerase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2488],[protein_id=AHF64795.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]",[evalue=7.02574E-14]
[locus_tag=PMT_0060],[protein_id=CAE20235.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0067],[protein_id=AHF62492.1],[gene=None],[protein=hypothetical protein],[evalue=2.33495E-86]
[locus_tag=PMT_0061],[protein_id=CAE20236.1],[gene=clpX],"[protein=putative Clp protease ATP-binding subunit, ClpX]",[locus_tag=Syncc8109_0068],[protein_id=AHF62493.1],[gene=clpX],"[protein=ATP-dependent Clp protease, ATP-binding subunit ClpX]",[evalue=0.00000E+00]
[locus_tag=PMT_0062],[protein_id=CAE20237.1],[gene=clpP2],[protein=Clp protease proteolytic subunit],[locus_tag=Syncc8109_0069],[protein_id=AHF62494.1],[gene=clpP2],"[protein=ATP-dependent Clp protease, proteolytic subunit ClpP]",[evalue=4.30672E-147],[locus_tag=Syncc8109_1237],[protein_id=AHF63605.1],[gene=clpP1],"[protein=ATP-dependent Clp protease, proteolytic subunit ClpP]",[evalue=5.29474E-100],[locus_tag=Syncc8109_1888],[protein_id=AHF64236.1],[gene=clpP3],[protein=Endopeptidase Clp],[evalue=4.68849E-81]
[locus_tag=PMT_0063],[protein_id=CAE20238.1],[gene=None],[protein=FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase)],[locus_tag=Syncc8109_0070],[protein_id=AHF62495.1],[gene=None],[protein=trigger factor],[evalue=0.00000E+00]
[locus_tag=PMT_0064],[protein_id=CAE20239.1],[gene=asd],[protein=aspartate Semialdehyde dehydrogenase],[locus_tag=Syncc8109_0071],[protein_id=AHF62496.1],[gene=asd],"[protein=Aspartate-semialdehyde dehydrogenase, USG-1 related protein]",[evalue=3.62280E-163]
[locus_tag=PMT_2280],[protein_id=CAX31802.1],[gene=None],[protein=Hypothetical protein],[locus_tag=Syncc8109_0071],[protein_id=AHF62496.1],[gene=asd],"[protein=Aspartate-semialdehyde dehydrogenase, USG-1 related protein]",[evalue=3.46137E-19]
[locus_tag=PMT_0065],[protein_id=CAE20240.1],[gene=dapA],[protein=Dihydrodipicolinate synthetase],[locus_tag=Syncc8109_0072],[protein_id=AHF62497.1],[gene=dapA],[protein=dihydrodipicolinate synthase],[evalue=1.68952E-146]
[locus_tag=PMT_0066],[protein_id=CAE20241.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0073],[protein_id=AHF62498.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMT_0068],[protein_id=CAE20243.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0081],[protein_id=AHF62504.1],[gene=mesJ],[protein=putative MesJ],[evalue=3.77765E-99]
[locus_tag=PMT_0069],[protein_id=CAE20244.1],[gene=ycf23],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0082],[protein_id=AHF62505.1],[gene=None],[protein=hypothetical protein],[evalue=2.57928E-123]
[locus_tag=PMT_0071],[protein_id=CAE20246.1],[gene=uvrB],"[protein=excinuclease ABC, subunit B]",[locus_tag=Syncc8109_0087],[protein_id=AHF62510.1],[gene=uvrB],"[protein=excinuclease ABC, B subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_0073],[protein_id=CAE20248.1],[gene=lysC],[protein=Aspartate kinase],[locus_tag=Syncc8109_0078],[protein_id=AHF62501.1],[gene=lysC],[protein=aspartate kinase],[evalue=0.00000E+00]
[locus_tag=PMT_0074],[protein_id=CAE20249.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0079],[protein_id=AHF62502.1],[gene=None],"[protein=DNA polymerase III, delta subunit]",[evalue=1.25779E-158]
[locus_tag=PMT_0075],[protein_id=CAE20250.1],[gene=cobH],[protein=putative Precorrin-8X methylmutase CobH],[locus_tag=Syncc8109_0080],[protein_id=AHF62503.1],[gene=cobH],[protein=putative precorrin-8X methylmutase CobH],[evalue=2.73040E-85]
[locus_tag=PMT_0076],[protein_id=CAE20251.1],[gene=None],[protein=possible transporter component],[locus_tag=Syncc8109_0091],[protein_id=AHF62513.1],[gene=None],[protein=putative transporter component],[evalue=2.28274E-155]
[locus_tag=PMT_0077],[protein_id=CAE20252.1],[gene=None],"[protein=ABC transporter, multi drug efflux family]",[locus_tag=Syncc8109_0092],[protein_id=AHF62514.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=0.00000E+00],[locus_tag=Syncc8109_0860],[protein_id=AHF63238.1],[gene=mdlB],[protein=ATPase],[evalue=8.13197E-79],[locus_tag=Syncc8109_0984],[protein_id=AHF63358.1],[gene=mdlB],[protein=ATPase],[evalue=1.11869E-77]
[locus_tag=PMT_0078],[protein_id=CAE20253.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=Syncc8109_0093],[protein_id=AHF62515.1],[gene=None],[protein=hypothetical protein],[evalue=8.74218E-69]
[locus_tag=PMT_0079],[protein_id=CAE20254.1],"[gene=mutS,fdv]",[protein=putative DNA mismatch repair protein],[locus_tag=Syncc8109_0085],[protein_id=AHF62508.1],[gene=mutS],[protein=DNA mismatch repair protein MutS],[evalue=0.00000E+00],[locus_tag=Syncc8109_0561],[protein_id=AHF62948.1],[gene=mutS2],[protein=MutS2 family protein],[evalue=4.90047E-18]
[locus_tag=PMT_0080],[protein_id=CAE20255.1],[gene=psbZ],[protein=possible Photosystem II reaction center Z protein (PsbZ)],[locus_tag=Syncc8109_0083],[protein_id=AHF62506.1],[gene=ycf9],[protein=photosystem II reaction center protein Z],[evalue=7.38735E-11]
[locus_tag=PMT_0081],[protein_id=CAE20256.1],[gene=ribH],"[protein=Putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain]",[locus_tag=Syncc8109_0084],[protein_id=AHF62507.1],[gene=ribH],"[protein=6,7-dimethyl-8-ribityllumazine synthase]",[evalue=1.07053E-96]
[locus_tag=PMT_0082],[protein_id=CAE20257.1],[gene=None],[protein=None],[locus_tag=Syncc8109_0086],[protein_id=AHF62509.1],[gene=None],[protein=hypothetical protein],[evalue=5.06850E-76],[locus_tag=Syncc8109_1716],[protein_id=AHF64072.1],[gene=None],[protein=putative acetyltransferase],[evalue=2.05794E-13]
[locus_tag=PMT_0083],[protein_id=CAE20258.1],[gene=secA],[protein=Preprotein translocase SecA subunit],[locus_tag=Syncc8109_0094],[protein_id=AHF62516.1],[gene=secA],"[protein=preprotein translocase, SecA subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_0084],[protein_id=CAE20259.1],[gene=None],[protein=putative glucose-1-phosphate thymidylyltransferase],[locus_tag=Syncc8109_2125],[protein_id=AHF64462.1],[gene=rmlA],[protein=glucose-1-phosphate thymidylyltransferase],[evalue=1.80100E-11]
[locus_tag=PMT_0085],[protein_id=CAE20260.1],[gene=None],[protein=glycosyltransferase],[locus_tag=Syncc8109_0095],[protein_id=AHF62517.1],[gene=None],[protein=putative glycosyltransferase],[evalue=5.65767E-116]
[locus_tag=PMT_0086],[protein_id=CAE20261.1],[gene=None],[protein=Possible UDP-glucose-4-epimerase],[locus_tag=Syncc8109_0189],[protein_id=AHF62604.1],[gene=None],[protein=putative nucleotide sugar epimerase],[evalue=1.81747E-27],[locus_tag=Syncc8109_0187],[protein_id=AHF62602.1],[gene=None],[protein=putative nucleoside-diphosphate sugar epimerase],[evalue=3.96192E-27],[locus_tag=Syncc8109_0185],[protein_id=AHF62600.1],[gene=galE],[protein=UDP-glucose 4-epimerase],[evalue=5.55649E-21]
[locus_tag=PMT_0087],[protein_id=CAE20262.1],[gene=None],[protein=glycosyltransferase],[locus_tag=Syncc8109_0097],[protein_id=AHF62519.1],[gene=None],[protein=putative glycosyltransferase],[evalue=0.00000E+00]
[locus_tag=PMT_0088],[protein_id=CAE20263.1],[gene=None],[protein=possible protease],[locus_tag=Syncc8109_0600],[protein_id=AHF62987.1],[gene=None],[protein=Large exoprotein involved in heme utilization or adhesion],[evalue=5.12605E-22],[locus_tag=Syncc8109_1804],[protein_id=AHF64158.1],[gene=None],[protein=hypothetical protein],[evalue=3.88483E-19],[locus_tag=Syncc8109_1762],[protein_id=AHF64118.1],[gene=None],[protein=hypothetical protein],[evalue=5.04060E-19]
[locus_tag=PMT_0089],[protein_id=CAE20264.1],[gene=None],[protein=possible acyltransferase],[locus_tag=Syncc8109_0099],[protein_id=AHF62521.1],[gene=None],[protein=putative acyltransferase],[evalue=1.80524E-23]
[locus_tag=PMT_0093],[protein_id=CAE20268.1],[gene=None],[protein=multidrug efflux family ABC transporter],[locus_tag=Syncc8109_0092],[protein_id=AHF62514.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=0.00000E+00],[locus_tag=Syncc8109_0984],[protein_id=AHF63358.1],[gene=mdlB],[protein=ATPase],[evalue=1.75302E-71],[locus_tag=Syncc8109_1717],[protein_id=AHF64073.1],[gene=None],[protein=ATPase],[evalue=8.39674E-60]
[locus_tag=PMT_0094],[protein_id=CAE20269.1],[gene=None],[protein=possible transporter for efflux],[locus_tag=Syncc8109_0091],[protein_id=AHF62513.1],[gene=None],[protein=putative transporter component],[evalue=2.72624E-42]
[locus_tag=PMT_0096],[protein_id=CAE20271.1],[gene=None],[protein=capsular polysaccharide biosynthesis protein],[locus_tag=Syncc8109_0206],[protein_id=AHF62621.1],[gene=degT],[protein=putative pleiotropic regulatory protein],[evalue=1.14588E-47]
[locus_tag=PMT_0099],[protein_id=CAE20274.1],[gene=HisH],"[protein=imidazoleglycerol-phosphate synthase, glutamine amidotransferase subunit]",[locus_tag=Syncc8109_2041],[protein_id=AHF64382.1],[gene=hisH],"[protein=imidazole glycerol phosphate synthase, glutamine amidotransferase subunit]",[evalue=7.13285E-26]
[locus_tag=PMT_0100],[protein_id=CAE20275.1],[gene=hisF],"[protein=imidazoleglycerol-phosphate synthase, cyclase subunit]",[locus_tag=Syncc8109_1902],[protein_id=AHF64247.1],[gene=hisF],"[protein=imidazoleglycerol phosphate synthase, cyclase subunit]",[evalue=5.24874E-47],[locus_tag=Syncc8109_0804],[protein_id=AHF63184.1],[gene=hisA],[protein=Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase],[evalue=7.27866E-20]
[locus_tag=PMT_0103],[protein_id=CAE20278.1],[gene=None],"[protein=aminotransferase, Class III pyridoxal-phosphate dependent]",[locus_tag=Syncc8109_0723],[protein_id=AHF63103.1],[gene=hemL],"[protein=glutamate-1-semialdehyde-2,1-aminomutase]",[evalue=1.21305E-61],[locus_tag=Syncc8109_1867],[protein_id=AHF64217.1],[gene=argD],[protein=acetylornithine and succinylornithine aminotransferase],[evalue=2.03469E-25]
