[locus_tag=PMT_0019],[protein_id=CAE20194.1],[gene=pilT1],[protein=homologous to PilT1 protein]
[locus_tag=PMT_2306],[protein_id=CAX31825.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2307],[protein_id=CAX31826.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2308],[protein_id=CAX31827.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2309],[protein_id=CAX31828.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0218],[protein_id=CAE20393.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2310_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2311],[protein_id=CAX31830.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2312],[protein_id=CAX31831.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0221],[protein_id=CAE20396.1],[gene=None],[protein=NHL repeat]
[locus_tag=PMT_2313],[protein_id=CAX31832.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0222],[protein_id=CAE20397.1],[gene=None],[protein=putative amino acid permease]
[locus_tag=PMT_2314],[protein_id=CAX31833.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2315_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2316],[protein_id=CAX31835.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2317],[protein_id=CAX31836.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2318],[protein_id=CAX31837.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0231],[protein_id=CAE20406.1],[gene=None],[protein=putative alpha/beta hydrolase family protein]
[locus_tag=PMT_0234],[protein_id=CAE20409.1],[gene=None],[protein=Phage integrase]
[locus_tag=PMT_0235],[protein_id=CAE20410.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0236],[protein_id=CAE20411.1],[gene=None],[protein=possible Ser/Thr protein phosphatase]
[locus_tag=PMT_2319],[protein_id=CAX31838.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2320],[protein_id=CAX31839.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0237],[protein_id=CAE20412.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0238],[protein_id=CAE20413.1],[gene=None],"[protein=possible DNA polymerase III beta subunit, cent]"
[locus_tag=PMT_0239],[protein_id=CAE20414.1],[gene=None],[protein=possible Indole-3-glycerol phosphate synthase]
[locus_tag=PMT_0240],[protein_id=CAE20415.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0241],[protein_id=CAE20416.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2321],[protein_id=CAX31840.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2322],[protein_id=CAX31841.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0242],[protein_id=CAE20417.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0243],[protein_id=CAE20418.1],[gene=None],[protein=possible REJ domain]
[locus_tag=PMT_0244],[protein_id=CAE20419.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2323],[protein_id=CAX31842.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0245],[protein_id=CAE20420.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2324],[protein_id=CAX31843.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2325],[protein_id=CAX31844.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0246],[protein_id=CAE20421.1],[gene=None],[protein=possible Profilin]
[locus_tag=PMT_0247],[protein_id=CAE20422.1],[gene=None],[protein=possible (M20568) ORF 11 [Azotobacter vinelandii]
[locus_tag=PMT_0248],[protein_id=CAE20423.1],[gene=None],[protein=possible Lysyl hydrolase]
[locus_tag=PMT_0250],[protein_id=CAE20425.1],[gene=None],[protein=possible similar to MrsD protein]
[locus_tag=PMT_0251],[protein_id=CAE20426.1],[gene=None],[protein=possible Replication protein]
[locus_tag=PMT_2326],[protein_id=CAX31845.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2327],[protein_id=CAX31846.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2328],[protein_id=CAX31847.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0252],[protein_id=CAE20427.1],[gene=lemA],[protein=putative lemA protein]
[locus_tag=PMT_0253],[protein_id=CAE20428.1],[gene=None],[protein=possible Galanin]
[locus_tag=PMT_0256],[protein_id=CAE20431.1],[gene=None],[protein=Hemolysin-type calcium-binding region:RTX N-terminal domain]
[locus_tag=PMT_2329],[protein_id=CAX31848.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0258],[protein_id=CAE20433.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_2330],[protein_id=CAX31849.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0259],[protein_id=CAE20434.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_0260],[protein_id=CAE20435.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_0261],[protein_id=CAE20436.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_0262],[protein_id=CAE20437.1],[gene=None],[protein=possible pilin]
[locus_tag=PMT_0263],[protein_id=CAE20438.1],[gene=None],[protein=possible pilin]
[locus_tag=PMT_2331],[protein_id=CAX31850.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2332],[protein_id=CAX31851.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0264],[protein_id=CAE20439.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0267],[protein_id=CAE20442.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2333],[protein_id=CAX31852.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2334],[protein_id=CAX31853.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0278],[protein_id=CAE20453.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0281],[protein_id=CAE20456.1],[gene=None],"[protein=possible Resolvase, N terminal domain]"
[locus_tag=PMT_2335],[protein_id=CAX31854.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2336],[protein_id=CAX31855.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2337_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0288],[protein_id=CAE20463.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0289],[protein_id=CAE20464.1],[gene=None],[protein=ComEC/Rec2-related protein]
[locus_tag=PMT_2338],[protein_id=CAX31857.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2339],[protein_id=CAX31858.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0290],[protein_id=CAE20465.1],[gene=None],[protein=Phage integrase]
[locus_tag=PMT_0291],[protein_id=CAE20466.1],[gene=None],"[protein=possible Zinc finger, C3HC4 type (RING finger)]"
[locus_tag=PMT_2340],[protein_id=CAX31859.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2341],[protein_id=CAX31860.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0292],[protein_id=CAE20467.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2342],[protein_id=CAX31861.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2343],[protein_id=CAX31862.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0293],[protein_id=CAE20468.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2344],[protein_id=CAX31863.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0294],[protein_id=CAE20469.1],[gene=None],[protein=Site-specific recombinase]
[locus_tag=PMT_0295],[protein_id=CAE20470.1],[gene=None],[protein=TPR repeat]
[locus_tag=PMT_2345],[protein_id=CAX31864.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0299],[protein_id=CAE20474.1],[gene=None],[protein=possible Cation-dependent mannose-6-phosphate]
[locus_tag=PMT_2346],[protein_id=CAX31865.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2347_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0301],[protein_id=CAE20476.1],[gene=None],[protein=possible Fanconi anaemia group C protein]
[locus_tag=PMT_0302],[protein_id=CAE20477.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0303],[protein_id=CAE20478.1],[gene=None],[protein=possible Kelch motif]
[locus_tag=PMT_2348],[protein_id=CAX31867.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0304],[protein_id=CAE20479.1],[gene=None],[protein=None]
[locus_tag=PMT_0306],[protein_id=CAE20481.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2349],[protein_id=CAX31868.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2350],[protein_id=CAX31869.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2352],[protein_id=CAX31870.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0324],[protein_id=CAE20499.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2353],[protein_id=CAX31871.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2354_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0328],[protein_id=CAE20503.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_0337],[protein_id=CAE20512.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0342],[protein_id=CAE20517.1],[gene=None],[protein=possible Zn-finger in Ran binding protein and]
[locus_tag=PMT_2355],[protein_id=CAX31873.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2356],[protein_id=CAX31874.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2357],[protein_id=CAX31875.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2358],[protein_id=CAX31876.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0353],[protein_id=CAE20528.1],[gene=None],[protein=possible sodium dependent transporter]
[locus_tag=PMT_0359],[protein_id=CAE20534.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0372],[protein_id=CAE20547.1],[gene=None],[protein=Hemolysin-type calcium-binding protein]
[locus_tag=PMT_0376],[protein_id=CAE20551.1],[gene=None],[protein=Potassium channel]
[locus_tag=PMT_2361],[protein_id=CAX31879.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2362_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0381],[protein_id=CAE20556.1],[gene=None],[protein=possible M protein repeat]
[locus_tag=PMT_0382],[protein_id=CAE20557.1],[gene=None],[protein=possible Signal peptidase I]
[locus_tag=PMT_0383],[protein_id=CAE20558.1],[gene=None],[protein=possible Carbohydrate phosphorylase]
[locus_tag=PMT_0385],[protein_id=CAE20560.1],[gene=None],[protein=Esterase/lipase/thioesterase family active site]
[locus_tag=PMT_0390],[protein_id=CAE20565.1],[gene=None],[protein=possible Coproporphyrinogen III oxidase]
[locus_tag=PMT_2363],[protein_id=CAX31881.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0410],[protein_id=CAE20585.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0411],[protein_id=CAE20586.1],[gene=None],[protein=possible Transaldolase]
[locus_tag=PMT_0412],[protein_id=CAE20587.1],[gene=None],[protein=Chalcone synthase (CHS)]
[locus_tag=PMT_0413],[protein_id=CAE20588.1],[gene=None],[protein=NAD binding site]
[locus_tag=PMT_0414],[protein_id=CAE20589.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif]
[locus_tag=PMT_0415],[protein_id=CAE20590.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2364],[protein_id=CAX31882.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2365],[protein_id=CAX31883.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2366],[protein_id=CAX31884.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2367],[protein_id=CAX31885.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0429],[protein_id=CAE20604.1],[gene=None],"[protein=possible Arginine repressor, C-terminal domain]"
[locus_tag=PMT_2368],[protein_id=CAX31886.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0430],[protein_id=CAE20605.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2369],[protein_id=CAX31887.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2370],[protein_id=CAX31888.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0431],[protein_id=CAE20606.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0432],[protein_id=CAE20607.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0433],[protein_id=CAE20608.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0443],[protein_id=CAE20618.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMT_0451],[protein_id=CAE20626.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0452],[protein_id=CAE20627.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2371],[protein_id=CAX31889.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0459],[protein_id=CAE20634.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMT_2372],[protein_id=CAX31890.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2373],[protein_id=CAX31891.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2374],[protein_id=CAX31892.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0472],[protein_id=CAE20647.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0473],[protein_id=CAE20648.1],[gene=None],[protein=possible NADH-Ubiquinone/plastoquinone (comple]
[locus_tag=PMT_0474],[protein_id=CAE20649.1],[gene=gadA],[protein=Glutamate decarboxylase]
[locus_tag=PMT_0475],[protein_id=CAE20650.1],[gene=None],[protein=GCN5-related N-acetyltransferase]
[locus_tag=PMT_0476],[protein_id=CAE20651.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0477],[protein_id=CAE20652.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2375],[protein_id=CAX31893.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2376],[protein_id=CAX31894.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0481],[protein_id=CAE20656.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_0483],[protein_id=CAE20658.1],[gene=None],[protein=possible Malic enzyme]
[locus_tag=PMT_2377],[protein_id=CAX31895.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2378_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0484],[protein_id=CAE20659.1],[gene=None],[protein=possible Domain of unknown function DUF33]
[locus_tag=PMT_2379],[protein_id=CAX31897.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0485],[protein_id=CAE20660.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0486],[protein_id=CAE20661.1],[gene=None],"[protein=possible DNA polymerase III beta subunit, cent]"
[locus_tag=PMT_2380],[protein_id=CAX31898.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0487],[protein_id=CAE20662.1],[gene=None],[protein=possible Fibronectin type I domain]
[locus_tag=PMT_2381],[protein_id=CAX31899.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2382],[protein_id=CAX31900.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0490],[protein_id=CAE20665.1],[gene=None],[protein=possible acylamino-acid-releasing enzyme]
[locus_tag=PMT_0491],[protein_id=CAE20666.1],[gene=None],[protein=possible dipeptidyl anminopeptidase.]
[locus_tag=PMT_2383],[protein_id=CAX31901.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2384],[protein_id=CAX31902.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2385],[protein_id=CAX31903.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2386],[protein_id=CAX31904.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0498],[protein_id=CAE20673.1],[gene=None],[protein=possible Gram-negative pili assembly chaperone]
[locus_tag=PMT_0500],[protein_id=CAE20675.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2387],[protein_id=CAX31905.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2388],[protein_id=CAX31906.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0511],[protein_id=CAE20686.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0514],[protein_id=CAE20689.1],[gene=MTG10.17],[protein=putative protein]
[locus_tag=PMT_2389],[protein_id=CAX31907.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2390],[protein_id=CAX31908.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0533],[protein_id=CAE20708.1],[gene=None],[protein=putative type 4 prepilin peptidase]
[locus_tag=PMT_0541],[protein_id=CAE20716.1],[gene=None],"[protein=Putative oxidoreductase, Fe-S subunit]"
[locus_tag=PMT_2391],[protein_id=CAX31909.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0542],[protein_id=CAE20717.1],[gene=None],"[protein=possible Na+/H+ antiporter, CPA1 family]"
[locus_tag=PMT_2392],[protein_id=CAX31910.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2393],[protein_id=CAX31911.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0544],[protein_id=CAE20719.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2394],[protein_id=CAX31912.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2395_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0545],[protein_id=CAE20720.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2397],[protein_id=CAX31915.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0546],[protein_id=CAE20721.1],[gene=None],[protein=probable periplasmic protein]
[locus_tag=PMT_2398],[protein_id=CAX31916.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0547],[protein_id=CAE20722.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2399],[protein_id=CAX31917.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0549],[protein_id=CAE20724.1],[gene=None],[protein=possible Ribosomal protein L11]
[locus_tag=PMT_0550],[protein_id=CAE20725.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2400],[protein_id=CAX31918.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0552],[protein_id=CAE20727.1],[gene=gsmt],[protein=probable glycine-sarcosine methyltransferase]
[locus_tag=PMT_2401],[protein_id=CAX31919.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0554],[protein_id=CAE20729.1],[gene=None],"[protein=ABC transporter,membrane component, glycine betaine/proline family]"
[locus_tag=PMT_0555],[protein_id=CAE20730.1],[gene=None],"[protein=ABC transporter substrate binding protein, glycine betaine/proline family]"
[locus_tag=PMT_0563],[protein_id=CAE20738.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2402],[protein_id=CAX31920.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2403],[protein_id=CAX31921.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2404],[protein_id=CAX31922.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0596],[protein_id=CAE20771.1],[gene=None],[protein=possible Carbamoyl-phosphate synthase L chain]
[locus_tag=PMT_2405],[protein_id=CAX31923.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2406_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2407],[protein_id=CAX31925.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2408],[protein_id=CAX31926.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0613],[protein_id=CAE20788.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2409],[protein_id=CAX31927.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0614],[protein_id=CAE20789.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2411],[protein_id=CAX31929.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0622],[protein_id=CAE20797.1],[gene=None],[protein=possible Methyl-coenzyme M reductase alpha sub]
[locus_tag=PMT_2412],[protein_id=CAX31930.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0623],[protein_id=CAE20798.1],[gene=gdhA],[protein=Glutamate dehydrogenase]
[locus_tag=PMT_0624],[protein_id=CAE20799.1],[gene=None],[protein=Uncharacterised protein family UPF0102]
[locus_tag=PMT_0625],[protein_id=CAE20800.1],[gene=None],"[protein=Integral membrane protein, DUF6]"
[locus_tag=PMT_2413],[protein_id=CAX31931.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0630],[protein_id=CAE20805.1],[gene=None],[protein=possible Gonadotropin-releasing hormone]
[locus_tag=PMT_0631],[protein_id=CAE20806.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0633],[protein_id=CAE20808.1],[gene=None],[protein=hypothetical]
