[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=1.18003E-157]
[locus_tag=PMT_0021],[protein_id=CAE20196.1],[gene=grpE],[protein=Heat shock protein GrpE],[locus_tag=PMM0016],[protein_id=CAE18475.1],[gene=grpE],[protein=Heat shock protein GrpE],[evalue=1.45030E-89]
[locus_tag=PMT_0022],[protein_id=CAE20197.1],[gene=dnaJ],[protein=DnaJ protein],[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=0.00000E+00],[locus_tag=PMM0896],[protein_id=CAE19355.1],[gene=dnaJ2],[protein=DnaJ2 protein],[evalue=1.04383E-22]
[locus_tag=PMT_0023],[protein_id=CAE20198.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0018],[protein_id=CAE18477.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.92298E-15]
[locus_tag=PMT_0024],[protein_id=CAE20199.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0019],[protein_id=CAE18478.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.62880E-74]
[locus_tag=PMT_0025],[protein_id=CAE20200.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0020],[protein_id=CAE18479.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.89068E-50]
[locus_tag=PMT_0026],[protein_id=CAE20201.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[locus_tag=PMM0021],[protein_id=CAE18480.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[evalue=1.85636E-94]
[locus_tag=PMT_0027],[protein_id=CAE20202.1],[gene=murC],[protein=Probable UDP-N-acetylmuramate-alanine ligase],[locus_tag=PMM0022],[protein_id=CAE18481.1],[gene=murC],[protein=Probable UDP-N-acetylmuramate-alanine ligase],[evalue=5.18131E-143]
[locus_tag=PMT_0028],[protein_id=CAE20203.1],[gene=gap2],[protein=None],[locus_tag=PMM0023],[protein_id=CAE18482.1],[gene=gap2],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0713],[protein_id=CAE19172.1],[gene=gap1],[protein=Putative glyceraldehyde 3-phosphate dehydrogenase],[evalue=5.67216E-86]
[locus_tag=PMT_0029],[protein_id=CAE20204.1],[gene=thiL],[protein=putative thiamine monophosphate kinase],[locus_tag=PMM0024],[protein_id=CAE18483.1],[gene=thiL],[protein=putative thiamine-monophosphate kinase],[evalue=3.13486E-84]
[locus_tag=PMT_0030],[protein_id=CAE20205.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[locus_tag=PMM0025],[protein_id=CAE18484.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=1.92695E-130]
[locus_tag=PMT_0031],[protein_id=CAE20206.1],[gene=efp],[protein=None],[locus_tag=PMM0026],[protein_id=CAE18485.1],[gene=efp],[protein=None],[evalue=3.49805E-112]
[locus_tag=PMT_0032],[protein_id=CAE20207.1],[gene=accB],"[protein=acetyl-CoA carboxylase, biotin carboxyl carrier protein]",[locus_tag=PMM0027],[protein_id=CAE18486.1],[gene=None],[protein=None],[evalue=9.04024E-60]
[locus_tag=PMT_0033],[protein_id=CAE20208.1],[gene=pdxA],[protein=putative pyridoxal phosphate biosynthetic protein PdxA],[locus_tag=PMM0028],[protein_id=CAE18487.1],[gene=pdxA],[protein=putative pyridoxal phosphate biosynthetic protein PdxA],[evalue=1.02358E-116]
[locus_tag=PMT_0034],[protein_id=CAE20209.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0029],[protein_id=CAE18488.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.02572E-105]
[locus_tag=PMT_0036],[protein_id=CAE20211.1],[gene=None],[protein=None],[locus_tag=PMM0031],[protein_id=CAE18490.1],[gene=None],[protein=None],[evalue=2.65857E-69],[locus_tag=PMM1403],[protein_id=CAE19862.1],[gene=None],[protein=None],[evalue=2.43502E-67],[locus_tag=PMM0982],[protein_id=CAE19441.1],[gene=None],[protein=None],[evalue=3.19212E-54]
[locus_tag=PMT_0038],[protein_id=CAE20213.1],[gene=None],[protein=possible Penicillin amidase],[locus_tag=PMM0032],[protein_id=CAE18491.1],[gene=None],[protein=possible Bacterial type II secretion system pr],[evalue=1.39022E-20]
[locus_tag=PMT_0039],[protein_id=CAE20214.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0033],[protein_id=CAE18492.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.08314E-75]
[locus_tag=PMT_0041],[protein_id=CAE20216.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0034],[protein_id=CAE18493.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.51026E-19]
[locus_tag=PMT_0043],[protein_id=CAE20218.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[locus_tag=PMM0035],[protein_id=CAE18494.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[evalue=0.00000E+00],[locus_tag=PMM0919],[protein_id=CAE19378.1],[gene=None],[protein=None],[evalue=1.68519E-60]
[locus_tag=PMT_0044],[protein_id=CAE20219.1],[gene=cbiD],[protein=CbiD protein],[locus_tag=PMM0036],[protein_id=CAE18495.1],[gene=None],[protein=CbiD protein],[evalue=6.84438E-113]
[locus_tag=PMT_0045],[protein_id=CAE20220.1],[gene=guaA],[protein=None],[locus_tag=PMM0037],[protein_id=CAE18496.1],[gene=guaA],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0184],[protein_id=CAE18643.1],[gene=pabA],[protein=para-aminobenzoate synthase component II],[evalue=4.58155E-16]
[locus_tag=PMT_0046],[protein_id=CAE20221.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0039],[protein_id=CAE18498.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.59045E-88]
[locus_tag=PMT_0048],[protein_id=CAE20223.1],[gene=None],[protein=Putative penicillin-binding protein],[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein],[evalue=0.00000E+00],[locus_tag=PMM0518],[protein_id=CAE18977.1],[gene=ftsI],[protein=None],[evalue=3.02249E-26]
[locus_tag=PMT_0049],[protein_id=CAE20224.1],[gene=sqdX],[protein=SqdX],[locus_tag=PMM1666],[protein_id=CAE20125.1],[gene=sqdX],[protein=SqdX],[evalue=0.00000E+00],[locus_tag=PMM1178],[protein_id=CAE19637.1],[gene=None],[protein=Glycosyl transferases group 1],[evalue=1.01872E-11]
[locus_tag=PMT_0050],[protein_id=CAE20225.1],[gene=sqdB],[protein=None],[locus_tag=PMM1665],[protein_id=CAE20124.1],[gene=sqdB],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMT_0052],[protein_id=CAE20227.1],[gene=thiG],[protein=thiamin biosynthesis protein],[locus_tag=PMM1664],[protein_id=CAE20123.1],[gene=thiG],[protein=thiamin biosynthesis protein],[evalue=1.39012E-115]
[locus_tag=PMT_0054],[protein_id=CAE20229.1],[gene=None],[protein=putative photosystem I assembly related protein Ycf37],[locus_tag=PMM1663],[protein_id=CAE20122.1],[gene=None],[protein=putative photosystem I assembly related protein Ycf37],[evalue=2.68798E-43]
[locus_tag=PMT_0055],[protein_id=CAE20230.1],[gene=None],[protein=50S ribosomal protein L20],[locus_tag=PMM1662],[protein_id=CAE20121.1],[gene=None],[protein=50S ribosomal protein L20],[evalue=5.09325E-50]
[locus_tag=PMT_0056],[protein_id=CAE20231.1],[gene=None],[protein=50S ribosomal protein L35],[locus_tag=PMM1661],[protein_id=CAE20120.1],[gene=None],[protein=50S ribosomal protein L35],[evalue=2.89402E-36]
[locus_tag=PMT_0057],[protein_id=CAE20232.1],[gene=None],[protein=possible amidase enhancer],[locus_tag=PMM1660],[protein_id=CAE20119.1],[gene=None],[protein=possible amidase enhancer],[evalue=2.91923E-105],[locus_tag=PMM1348],[protein_id=CAE19807.1],[gene=spoIID],[protein=possible sporulation protein SpoIID],[evalue=1.39770E-22]
[locus_tag=PMT_0058],[protein_id=CAE20233.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[locus_tag=PMM1659],[protein_id=CAE20118.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=8.01838E-160]
[locus_tag=PMT_0059],[protein_id=CAE20234.1],[gene=dnaX],"[protein=DNA polymerase, gamma and tau subunits]",[locus_tag=PMM1658],[protein_id=CAE20117.1],[gene=dnaX],"[protein=DNA polymerase, gamma and tau subunits]",[evalue=1.54557E-169]
[locus_tag=PMT_0061],[protein_id=CAE20236.1],[gene=clpX],"[protein=putative Clp protease ATP-binding subunit, ClpX]",[locus_tag=PMM1657],[protein_id=CAE20116.1],[gene=clpX],"[protein=Clp protease ATP-binding subunit, ClpX]",[evalue=0.00000E+00]
[locus_tag=PMT_0062],[protein_id=CAE20237.1],[gene=clpP2],[protein=Clp protease proteolytic subunit],[locus_tag=PMM1656],[protein_id=CAE20115.1],[gene=clpP2],[protein=Clp protease proteolytic subunit],[evalue=1.50098E-120],[locus_tag=PMM0742],[protein_id=CAE19201.1],[gene=clpP1],[protein=Clp protease subunit],[evalue=1.03352E-90],[locus_tag=PMM1314],[protein_id=CAE19773.1],[gene=clpP3],[protein=Clp protease proteolytic subunit],[evalue=2.55540E-78]
[locus_tag=PMT_0063],[protein_id=CAE20238.1],[gene=None],[protein=None],[locus_tag=PMM1655],[protein_id=CAE20114.1],[gene=None],[protein=None],[evalue=1.48135E-158]
[locus_tag=PMT_0064],[protein_id=CAE20239.1],[gene=asd],[protein=aspartate Semialdehyde dehydrogenase],[locus_tag=PMM1654],[protein_id=CAE20113.1],[gene=asd],[protein=aspartate Semialdehyde dehydrogenase],[evalue=1.71597E-138]
[locus_tag=PMT_2280],[protein_id=CAX31802.1],[gene=None],[protein=Hypothetical protein],[locus_tag=PMM1654],[protein_id=CAE20113.1],[gene=asd],[protein=aspartate Semialdehyde dehydrogenase],[evalue=2.23384E-17]
[locus_tag=PMT_0065],[protein_id=CAE20240.1],[gene=dapA],[protein=Dihydrodipicolinate synthetase],[locus_tag=PMM1653],[protein_id=CAE20112.1],[gene=dapA],[protein=Dihydrodipicolinate synthetase],[evalue=6.23411E-131]
[locus_tag=PMT_0066],[protein_id=CAE20241.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1652],[protein_id=CAE20111.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMT_0068],[protein_id=CAE20243.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1651],[protein_id=CAE20110.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.74126E-97]
[locus_tag=PMT_0069],[protein_id=CAE20244.1],[gene=ycf23],[protein=conserved hypothetical protein],[locus_tag=PMM1650],[protein_id=CAE20109.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.55801E-93]
[locus_tag=PMT_0071],[protein_id=CAE20246.1],[gene=uvrB],"[protein=excinuclease ABC, subunit B]",[locus_tag=PMM1649],[protein_id=CAE20108.1],[gene=uvrB],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMT_0073],[protein_id=CAE20248.1],[gene=lysC],[protein=Aspartate kinase],[locus_tag=PMM1648],[protein_id=CAE20107.1],[gene=lysC],[protein=Aspartate kinase],[evalue=0.00000E+00],[locus_tag=PMM1648],[protein_id=CAE20107.1],[gene=lysC],[protein=Aspartate kinase],[evalue=1.91421E-18]
[locus_tag=PMT_0074],[protein_id=CAE20249.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1647],[protein_id=CAE20106.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.73173E-78]
[locus_tag=PMT_0075],[protein_id=CAE20250.1],[gene=cobH],[protein=putative Precorrin-8X methylmutase CobH],[locus_tag=PMM1646],[protein_id=CAE20105.1],[gene=cobH],[protein=putative Precorrin-8X methylmutase CobH],[evalue=4.84271E-64]
[locus_tag=PMT_0077],[protein_id=CAE20252.1],[gene=None],"[protein=ABC transporter, multi drug efflux family]",[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=6.97764E-67],[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=2.92438E-66],[locus_tag=PMM0827],[protein_id=CAE19286.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]",[evalue=1.87914E-63]
[locus_tag=PMT_0079],[protein_id=CAE20254.1],[gene=None],[protein=putative DNA mismatch repair protein],[locus_tag=PMM1645],[protein_id=CAE20104.1],[gene=None],[protein=putative DNA mismatch repair protein],[evalue=0.00000E+00],[locus_tag=PMM0217],[protein_id=CAE18676.1],[gene=mutS],[protein=putative DNA mismatch repair protein MutS family],[evalue=1.60363E-15]
[locus_tag=PMT_0080],[protein_id=CAE20255.1],[gene=psbZ],[protein=None],[locus_tag=PMM1644],[protein_id=CAE20103.1],[gene=psbZ],[protein=None],[evalue=5.47725E-15]
[locus_tag=PMT_0081],[protein_id=CAE20256.1],[gene=ribH],"[protein=Putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain]",[locus_tag=PMM1643],[protein_id=CAE20102.1],[gene=ribH],"[protein=Putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain]",[evalue=4.36418E-82]
[locus_tag=PMT_0082],[protein_id=CAE20257.1],[gene=None],[protein=None],[locus_tag=PMM1640],[protein_id=CAE20099.1],[gene=None],"[protein=putative acetyltransferase, GNAT family]",[evalue=4.76424E-54],[locus_tag=PMM0562],[protein_id=CAE19021.1],[gene=None],[protein=possible acetyltransferase],[evalue=4.77227E-12]
[locus_tag=PMT_0083],[protein_id=CAE20258.1],[gene=secA],[protein=Preprotein translocase SecA subunit],[locus_tag=PMM1639],[protein_id=CAE20098.1],[gene=secA],[protein=Preprotein translocase SecA subunit],[evalue=0.00000E+00]
[locus_tag=PMT_0086],[protein_id=CAE20261.1],[gene=None],[protein=Possible UDP-glucose-4-epimerase],[locus_tag=PMM1201],[protein_id=CAE19660.1],[gene=None],[protein=None],[evalue=1.74617E-26],[locus_tag=PMM1260],[protein_id=CAE19719.1],[gene=None],[protein=Nucleoside-diphosphate-sugar epimerase],[evalue=7.18373E-26],[locus_tag=PMM1210],[protein_id=CAE19669.1],[gene=None],[protein=Putative nucleotide sugar epimerase],[evalue=6.83968E-25]
[locus_tag=PMT_0093],[protein_id=CAE20268.1],[gene=None],[protein=multidrug efflux family ABC transporter],[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=3.07441E-68],[locus_tag=PMM0827],[protein_id=CAE19286.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]",[evalue=3.19893E-59],[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=2.21554E-58]
[locus_tag=PMT_0096],[protein_id=CAE20271.1],[gene=None],[protein=capsular polysaccharide biosynthesis protein],[locus_tag=PMM1258],[protein_id=CAE19717.1],[gene=None],[protein=pyridoxal-phosphate-dependent aminotransferase],[evalue=1.15072E-42],[locus_tag=PMM1259],[protein_id=CAE19718.1],[gene=None],[protein=pyridoxal-phosphate-dependent aminotransferase],[evalue=1.23880E-41],[locus_tag=PMM0284],[protein_id=CAE18743.1],[gene=degT],[protein=putative pleiotropic regulatory protein],[evalue=3.89462E-39]
[locus_tag=PMT_0099],[protein_id=CAE20274.1],[gene=HisH],"[protein=imidazoleglycerol-phosphate synthase, glutamine amidotransferase subunit]",[locus_tag=PMM1060],[protein_id=CAE19519.1],[gene=None],[protein=Glutamine amidotransferase class-I],[evalue=7.30960E-31]
[locus_tag=PMT_0100],[protein_id=CAE20275.1],[gene=hisF],"[protein=imidazoleglycerol-phosphate synthase, cyclase subunit]",[locus_tag=PMM0430],[protein_id=CAE18889.1],[gene=hisF],[protein=None],[evalue=4.50842E-45],[locus_tag=PMM0796],[protein_id=CAE19255.1],[gene=hisA],[protein=PHOSPHORIBOSYLFORMIMINO-5-AMINOIMIDAZOLE CARBOXAMIDE RIBOTIDE ISOMERASE],[evalue=3.20425E-20]
[locus_tag=PMT_0103],[protein_id=CAE20278.1],[gene=None],"[protein=aminotransferase, Class III pyridoxal-phosphate dependent]",[locus_tag=PMM0483],[protein_id=CAE18942.1],[gene=None],"[protein=glutamate-1-semialdehyde 2,1-aminomutase]",[evalue=1.60349E-63],[locus_tag=PMM1301],[protein_id=CAE19760.1],[gene=argD],[protein=N-acetylornithine aminotransferase],[evalue=2.42344E-20]
[locus_tag=PMT_0108],[protein_id=CAE20283.1],[gene=None],"[protein=ABC transporter, ATP binding protein]",[locus_tag=PMM0976],[protein_id=CAE19435.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.59569E-20],[locus_tag=PMM0192],[protein_id=CAE18651.1],[gene=None],"[protein=ABC transporter, ATP binding component, possibly for oligopeptides]",[evalue=5.01131E-18],[locus_tag=PMM0449],[protein_id=CAE18908.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.32183E-16]
[locus_tag=PMT_0112],[protein_id=CAE20287.1],[gene=None],[protein=glucose-1-phosphate thymidylyltransferase],[locus_tag=PMM0152],[protein_id=CAE18611.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[evalue=5.77453E-12]
[locus_tag=PMT_0115],[protein_id=CAE20290.1],[gene=rfbB],"[protein=dTDP-glucose-4,6-dehydratase]",[locus_tag=PMM1201],[protein_id=CAE19660.1],[gene=None],[protein=None],[evalue=8.15814E-23],[locus_tag=PMM1257],[protein_id=CAE19716.1],[gene=None],"[protein=possible dTDP-glucose 4,6-dehydratase]",[evalue=6.86194E-22],[locus_tag=PMM1203],[protein_id=CAE19662.1],[gene=rfbG],"[protein=CDP-glucose 4,6-dehydratase]",[evalue=1.47607E-19]
[locus_tag=PMT_0117],[protein_id=CAE20292.1],[gene=cysE],[protein=Serine acetyltransferase],[locus_tag=PMM1638],[protein_id=CAE20097.1],[gene=cysE],[protein=Serine acetyltransferase],[evalue=3.73031E-124]
[locus_tag=PMT_0118],[protein_id=CAE20293.1],[gene=None],[protein=possible transcriptional regulator],[locus_tag=PMM1637],[protein_id=CAE20096.1],[gene=None],[protein=possible transcriptional regulator],[evalue=7.01110E-174]
[locus_tag=PMT_0119],[protein_id=CAE20294.1],[gene=infC],[protein=Translatioin Initiation factor 3],[locus_tag=PMM1636],[protein_id=CAE20095.1],[gene=infC],[protein=Translation Initiation factor 3],[evalue=1.39055E-109]
[locus_tag=PMT_0120],[protein_id=CAE20295.1],[gene=None],[protein=None],[locus_tag=PMM1635],[protein_id=CAE20094.1],[gene=None],[protein=None],[evalue=4.24955E-107]
[locus_tag=PMT_0121],[protein_id=CAE20296.1],[gene=gyrB],"[protein=DNA gyrase, subunit B]",[locus_tag=PMM1634],[protein_id=CAE20093.1],[gene=gyrB],"[protein=DNA gyrase, subunit B]",[evalue=0.00000E+00]
[locus_tag=PMT_0122],[protein_id=CAE20297.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM1633],[protein_id=CAE20092.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.51690E-12]
[locus_tag=PMT_0125],[protein_id=CAE20300.1],[gene=None],[protein=Glutathione peroxidase],[locus_tag=PMM1006],[protein_id=CAE19465.1],[gene=None],[protein=Glutathione peroxidase],[evalue=2.70483E-68]
[locus_tag=PMT_0126],[protein_id=CAE20301.1],[gene=None],"[protein=MgtE family, putative magnesium transport protein]",[locus_tag=PMM1630],[protein_id=CAE20089.1],[gene=None],"[protein=MgtE family, putative magnesium transport protein]",[evalue=0.00000E+00]
[locus_tag=PMT_0127],[protein_id=CAE20302.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[locus_tag=PMM1629],[protein_id=CAE20088.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=8.31904E-179],[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=2.40590E-83],[locus_tag=PMM0496],[protein_id=CAE18955.1],[gene=None],[protein=Putative principal RNA polymerase sigma factor],[evalue=1.04037E-82]
[locus_tag=PMT_0128],[protein_id=CAE20303.1],[gene=None],"[protein=possible hydrolase, alpha/beta hydrolase superfamily]",[locus_tag=PMM1628],[protein_id=CAE20087.1],[gene=None],[protein=possible alpha/beta hydrolase superfamily],[evalue=7.25049E-121],[locus_tag=PMM1599],[protein_id=CAE20058.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.47616E-42],[locus_tag=PMM1153],[protein_id=CAE19612.1],[gene=None],[protein=predicted alpha/beta hydrolase superfamily protein],[evalue=2.73577E-32]
[locus_tag=PMT_0132],[protein_id=CAE20307.1],[gene=sdhA],"[protein=succinate dehydrogenase, flavoprotein subunit]",[locus_tag=PMM0100],[protein_id=CAE18559.1],[gene=nadB],[protein=L-aspartate oxidase],[evalue=8.25714E-25]
[locus_tag=PMT_0136],[protein_id=CAE20311.1],[gene=None],[protein=Putative carbohydrate kinase],[locus_tag=PMM1627],[protein_id=CAE20086.1],[gene=None],[protein=Putative carbohydrate kinase],[evalue=1.78451E-82]
[locus_tag=PMT_0137],[protein_id=CAE20312.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1626],[protein_id=CAE20085.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.08536E-41]
[locus_tag=PMT_0138],[protein_id=CAE20313.1],[gene=None],[protein=putative adenosylhomocysteinase],[locus_tag=PMM1625],[protein_id=CAE20084.1],[gene=None],[protein=putative adenosylhomocysteinase],[evalue=0.00000E+00]
[locus_tag=PMT_0140],[protein_id=CAE20315.1],[gene=None],[protein=None],[locus_tag=PMM1624],[protein_id=CAE20083.1],[gene=None],[protein=None],[evalue=3.66225E-71]
[locus_tag=PMT_0141],[protein_id=CAE20316.1],[gene=ssb],[protein=single-stranded DNA-binding protein],[locus_tag=PMM1623],[protein_id=CAE20082.1],[gene=ssb],[protein=single-stranded DNA-binding protein],[evalue=4.97068E-59]
[locus_tag=PMT_0142],[protein_id=CAE20317.1],[gene=mreB],[protein=Rod shape determining protein],[locus_tag=PMM1622],[protein_id=CAE20081.1],[gene=mreB],[protein=Rod shape determining protein],[evalue=0.00000E+00]
[locus_tag=PMT_0143],[protein_id=CAE20318.1],[gene=mreC],[protein=putative rod shape-determining protein],[locus_tag=PMM1621],[protein_id=CAE20080.1],[gene=mreC],[protein=putative rod shape-determining protein],[evalue=3.48755E-67]
[locus_tag=PMT_0144],[protein_id=CAE20319.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1620],[protein_id=CAE20079.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.42484E-28]
